year,ARE,SGP,USA,MWI,ARG,TUR,KEN,KOR,MUS,HUN,NOR,OMN,KWT,GHA,BRA,JOR,EGY,DNK,AUS,NGA,ESP,MYS,IND,QAT,CZE,GBR,THA,UGA,ZAF,SAU,LBN,ZMB,IRQ,YEM,RUS,SYC,ITA,URY,SYR,JPN,FRA,NZL
2016,38526.0,55799.0,67455.0,881.0,22308.0,12733.0,2152.0,29158.0,10434.0,11031.0,85350.0,47.0,49385.0,2114.0,11156.0,7942.0,5782.0,58336.0,57469.0,2071.0,25342.0,10896.0,2179.0,14690.0,16224.0,49506.0,6194.0,921.0,9374.0,30596.0,10859.0,2499.0,5080.0,4289.0,10558.0,8302.0,32276.0,16597.0,7669.0,31137.0,39680.0,44453.0
2015,38526.0,55799.0,67455.0,881.0,22308.0,12608.0,2152.0,28559.0,10434.0,11031.0,85350.0,47.0,49385.0,2114.0,11156.0,7942.0,5782.0,58336.0,57469.0,2071.0,25342.0,10896.0,2179.0,14690.0,16224.0,49506.0,5923.0,921.0,9374.0,30596.0,10859.0,2499.0,5080.0,4289.0,10558.0,8302.0,32276.0,16597.0,7669.0,31137.0,39680.0,44453.0
2014,38526.0,55799.0,67455.0,881.0,22308.0,12459.0,2152.0,28137.0,10434.0,11031.0,85350.0,47.0,49385.0,2114.0,11879.0,7942.0,5704.0,58336.0,57052.0,2071.0,25342.0,10896.0,2179.0,14690.0,15338.0,49506.0,5802.0,921.0,9374.0,30596.0,10859.0,2499.0,5080.0,4289.0,11059.0,8302.0,32276.0,16597.0,7669.0,31137.0,39680.0,44453.0
2013,38526.0,55520.0,66211.0,881.0,22308.0,12360.0,2152.0,27788.0,10434.0,11031.0,85350.0,47.0,49385.0,2114.0,12690.0,7942.0,5625.0,58336.0,56937.0,2071.0,25342.0,10896.0,2179.0,14690.0,15068.0,49121.0,5734.0,921.0,9374.0,30596.0,11168.0,2499.0,5080.0,4289.0,11003.0,8302.0,32276.0,16597.0,7669.0,31137.0,39446.0,43390.0
2012,38526.0,54214.0,65976.0,881.0,22308.0,12158.0,2152.0,27478.0,10434.0,11031.0,85350.0,47.0,53098.0,2114.0,12192.0,8039.0,5547.0,58336.0,56518.0,2071.0,25342.0,10896.0,2093.0,14690.0,15214.0,48717.0,5784.0,921.0,9374.0,30596.0,12313.0,2499.0,5080.0,4289.0,11046.0,8302.0,32276.0,16597.0,7669.0,31137.0,39337.0,41972.0
2011,38526.0,54044.0,64269.0,881.0,22308.0,12198.0,2152.0,27214.0,10434.0,11031.0,85350.0,47.0,56810.0,2114.0,12016.0,8137.0,5550.0,58336.0,54854.0,2071.0,25945.0,10927.0,2047.0,14704.0,15154.0,49273.0,5619.0,921.0,9444.0,30596.0,13171.0,2499.0,5080.0,4289.0,10714.0,8302.0,32276.0,16960.0,7669.0,31137.0,39995.0,41443.0
2010,38526.0,52161.0,63043.0,881.0,22308.0,11395.0,2152.0,26661.0,10186.0,11031.0,85646.0,47.0,60523.0,2114.0,11691.0,8234.0,5553.0,58336.0,54129.0,2071.0,26513.0,10294.0,1940.0,14719.0,14870.0,49030.0,5541.0,921.0,9220.0,30596.0,13332.0,2499.0,5080.0,4289.0,9965.0,8302.0,32276.0,16053.0,7669.0,31137.0,39349.0,40509.0
2009,38526.0,45831.0,61246.0,881.0,22308.0,10544.0,2152.0,24938.0,10514.0,11031.0,85463.0,47.0,64236.0,2114.0,11203.0,8629.0,5652.0,56364.0,54469.0,2071.0,26582.0,9372.0,1812.0,14733.0,14669.0,49596.0,5213.0,921.0,8922.0,30596.0,13108.0,2499.0,5080.0,4289.0,9550.0,8302.0,32276.0,15378.0,7669.0,29537.0,38620.0,40803.0
2008,42037.0,48140.0,63819.0,881.0,22308.0,11517.0,2152.0,25382.0,10715.0,11031.0,89467.0,47.0,67948.0,2114.0,11485.0,9024.0,5752.0,59976.0,54564.0,2071.0,27724.0,10832.0,1744.0,14748.0,15935.0,52299.0,5322.0,921.0,9053.0,30596.0,12787.0,2499.0,5080.0,4289.0,10558.0,8302.0,34390.0,15378.0,7669.0,31734.0,40559.0,40012.0
2007,45548.0,48944.0,65104.0,881.0,22308.0,11712.0,2152.0,25338.0,10469.0,11096.0,90462.0,47.0,71661.0,2114.0,11254.0,8790.0,5540.0,60190.0,53498.0,2071.0,28096.0,9961.0,1695.0,14762.0,15803.0,52386.0,5369.0,921.0,8958.0,30596.0,12122.0,2499.0,5080.0,4289.0,10155.0,8302.0,35657.0,15378.0,7669.0,32610.0,41035.0,41191.0
