year,Singapore,USA,Netherlands,Finland,Korea,Norway,Denmark,Czech,United-Kingdom,Russian,Taiwan,Italy,Japan,France
2016,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,
2013,,,,,687510646.0,,,,,,,,,
2012,,,,,706075885.0,,,,614838.0,,,,,
2011,,,,,772310911.0,,,,,,,,,
2010,,,,,719389780.0,,,,,,,,,
2009,,,,,,,,,630283.0,,,,,
2008,,,,,,,,,,,,,,
2007,,,,,659409117.0,,,,,,,,,
2006,,,,,593048783.0,,,,653426.0,,,,,
2005,,,,,522165150.0,,,,630927.0,,,,,
2004,,,,,561052893.0,,,,,,,,,
2003,,,,,475886255.0,,,,582677.0,,,,,
2002,,,,,505089172.0,,,,558952.0,,,,,
2001,,,,,475784062.0,,,,533568.0,,,,,
2000,,,,,573949732.0,,,,469398.0,,,,,
1999,,,,,,,,,435296.0,,,,,
1998,,,,,,,,,,,,,,
1997,,,,,,,,,379126.0,,,,,
1996,,,,,,,,,346580.0,,,,,
1995,,,,,,,,,340032.0,,,,,
1994,,,,,,,,,354240.0,,,,,
1993,,,,,,,,,352259.0,,,,,
1992,,,,,,,,,339106.0,,,,,
1991,,,,,,,,,,,,,,
1990,,,,,,,,,352870.0,,,,,
1989,,,,,,,,,396251.0,,,,,
1988,,,,,,,,,377303.0,,,,,
1987,,,,,,,,,344117.0,,,,,
1986,,,,,,,,,278989.0,,,,,
1985,,,,,,,,,261233.0,,,,,
1984,,,,,,,,,249941.0,,,,,
1983,,,,,,,,,239756.0,,,,,
1982,,,,,,,,,216990.0,,,,,
1981,,,,,,,,,207932.0,,,,,
1980,,,,,,,,,224277.0,,,,,
1979,,,,,,,,,219048.0,,,,,
1978,,,,,,,,,215981.0,,,,,
1977,,,,,,,,,188009.0,,,,,
1976,,,,,,,,,216062.0,,,,,
1975,,,,,,,,,225221.0,,,,,
1974,,,,,,,,,248541.0,,,,,
1973,,,,,,,,,311989.0,,,,,
1972,,,,,,,,,308276.0,,,,,
1971,,,,,,,,,254428.0,,,,,
1970,,,,,,,,,249373.0,,,,,
1969,,,,,,,,,248086.0,,,,,
1968,,,,,,,,,267356.0,,,,,
1967,,,,,,,,,261678.0,,,,,
1966,,,,,,,,,246635.0,,,,,
1965,,,,,,,,,254391.0,,,,,
1964,,,,,,,,,259979.0,,,,,
1963,,,,,,,,,246484.0,,,,,
1962,,,,,,,,,225888.0,,,,,
1961,,,,,,,,,228319.0,,,,,
1960,,,,,,,,,224544.0,,,,,
1959,,,,,,,,,235739.0,,,,,
1958,,,,,,,,,219076.0,,,,,
1957,,,,,,,,,205956.0,,,,,
1956,,,,,,,,,199638.0,,,,,
1955,,,,,,,,,205505.0,,,,,
1954,,,,,,,,,214488.0,,,,,
1953,,,,,,,,,201318.0,,,,,
1952,,,,,,,,,228059.0,,,,,
1951,,,,,,,,,243495.0,,,,,
1950,,,,,,,,,276824.0,,,,,
1949,,,,,,,,,,,,,,
1948,,,,,,,,,,,,,,
1947,,,,,,,,,,,,,,
1946,,,,,,,,,,,,,,
1945,,,,,,,,,,,,,,
1944,,,,,,,,,,,,,,
1943,,,,,,,,,,,,,,
1942,,,,,,,,,,,,,,
1941,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,
1939,,,,,,,,,,,,,,
1938,,,,,,,,,352698.0,,,,,
1937,,,,,,,,,,,,,,
1936,,,,,,,,,352222.0,,,,,
1935,,,,,,,,,,,,,,
1934,,,,,,,,,,,,,,
1933,,,,,,,,,,,,,,
1932,,,,,,,,,,,,,,
1931,,,,,,,,,,,,,,
1930,,,,,,,,,317999.0,,,,,
1929,,,,,,,,,289584.0,,,,,
1928,,,,,,,,,303767.0,,,,,
1927,,,,,,,,,316033.0,,,,,
1926,,,,,,,,,292165.0,,,,,
1925,,,,,,,,,291228.0,,,,,
1924,,,,,,,,,278347.0,,,,,
1923,,,,,,,,,,,,,,
1922,,,,,,,,,,,,,,
1921,,,,,,,,,,,,,,
1920,,,,,,,,,199717.0,,,,,
1919,,,,,,,,,,,,,,
1918,,,,,,,,,,,,,,
1917,,,,,,,,,,,,,,
1916,,,,,,,,,,,,,,
1915,,,,,,,,,,,,,,
1914,,,,,,,,,376660.0,,,,,
1913,,,,,,,,,351000.0,,,,,
1912,,,,,,,,,347371.0,,,,,
1911,,,,,,,,,340507.0,,,,,
1910,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,
1887,,,,,,,,,,,,,,
1877,,,,,,,,,,,,,,
1875,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,
1867,,,,,,,,,,,,,,
1857,,,,,,,,,,,,,,
1847,,,,,,,,,,,,,,
1837,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,
1817,,,,,,,,,,,,,,
1807,,,,,,,,,,,,,,
