,year,AFG,AGO,ALB,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGR,BHR,BIH,BLR,BLZ,BRA,BRB,BRN,BTN,BWA,BGD,BOL,MMR,CAN,CHE,CHL,CHN,CMR,COL,CPV,CUB,CYP,CAF,COM,CRI,CZE,CIV,DEU,DJI,DMA,DNK,DZA,COD,DOM,ECU,EGY,ERI,ESP,EST,ETH,SLV,FIN,FJI,FRA,GAB,GEO,GHA,GIN,GNB,GNQ,GRC,GUY,GTM,HKG,HRV,HTI,HND,HUN,IDN,IND,IRL,IRQ,ISL,ISR,ITA,IRN,JOR,JPN,JAM,KAZ,KEN,KHM,KIR,KWT,XKX,KGZ,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,Laos,MAR,MDG,MDV,MEX,MLI,MLT,MNE,MNG,MRT,MUS,MWI,MAC,MKD,MYS,FSM,MDA,MOZ,NAM,NGA,NOR,NPL,NZL,NLD,NIC,NER,PRK,OMN,PER,PNG,POL,PRT,PAK,PAN,PRY,PHL,QAT,ROU,RWA,COG,RUS,SAU,SEN,SGP,SLB,SLE,SOM,SUR,SVK,SVN,SWE,SWZ,SYC,Serbia ,KOR,SDN,SYR,STP,TCD,TGO,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,THA,BHS,GMB,UGA,UKR,UZB,ARE,GBR,USA,URY,VCT,VUT,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
0,1995,,25.0,59.0,58.4,,77.0,81.0,,,,,,72.4,78.4,,60.0,42.0,56.4,,,,46.2,0.0,65.4,,75.2,,63.0,20.0,25.0,65.0,,60.0,,,,78.0,76.0,12.6,77.8,,,,54.2,49.0,31.0,61.0,25.0,,77.8,77.0,27.0,65.0,,52.6,77.8,23.6,,31.2,51.0,,,77.8,66.0,52.4,90.0,,80.0,61.0,61.0,45.0,0.0,77.8,,,80.4,77.8,,59.2,82.0,65.0,,53.6,,,,,,,,,,,54.2,,,,,,49.8,37.6,,66.2,65.0,63.6,,55.0,,,64.0,,,67.0,,17.6,75.0,,45.0,,,,,54.4,,0.0,73.0,51.0,,57.0,77.8,32.4,64.4,58.4,42.0,,79.0,,,52.0,,,83.0,,45.0,,,75.0,,77.0,58.0,,,69.2,37.0,,,,,,,,,,45.4,74.8,75.2,53.8,66.4,19.0,,57.8,55.0,,,77.8,78.4,63.0,,,65.0,44.6,,45.0,43.0,61.2,51.8
1,1996,,25.0,59.0,60.0,69.0,77.0,81.0,55.0,,77.8,0.0,55.0,71.0,77.0,,60.0,27.0,57.0,49.0,,,46.2,38.0,65.4,50.0,75.2,78.0,65.0,20.0,25.0,65.0,45.0,60.0,68.4,,,63.0,75.0,12.6,77.8,,,77.8,54.2,49.0,55.0,61.0,25.0,,77.8,74.0,27.0,73.0,77.8,59.0,77.8,23.6,69.0,31.2,51.0,,,77.8,51.0,69.0,90.0,69.0,65.0,63.0,59.0,73.0,14.0,77.8,40.0,,81.0,77.8,45.0,59.2,82.0,65.0,,67.0,,,77.0,,,75.0,,39.0,,,61.0,45.0,65.0,79.0,55.0,81.0,59.0,37.6,,63.0,65.0,61.0,,65.0,55.0,,64.0,,,67.0,,75.0,75.0,,45.0,69.0,53.2,78.6,77.8,56.0,65.0,0.0,73.0,55.0,45.8,57.0,77.8,31.0,65.0,69.0,47.0,,61.6,,52.4,52.0,59.0,45.0,83.0,,61.0,,25.0,75.0,59.0,77.0,58.0,,,77.0,37.0,43.0,,,,,,,,35.0,35.0,75.0,75.2,53.8,66.4,19.0,,57.8,66.0,,77.0,77.8,78.4,63.0,,,65.0,44.6,0.0,45.0,56.4,61.2,25.0
2,1997,,25.0,59.0,60.0,83.0,77.0,63.6,55.0,70.2,77.8,58.8,55.0,71.0,77.0,,77.2,33.0,57.0,49.0,,,25.0,38.0,65.4,50.0,77.0,80.6,73.0,30.0,25.0,61.0,45.0,60.0,68.4,,,63.0,76.0,34.0,75.0,51.0,,77.8,54.2,49.0,17.0,67.0,41.0,,77.8,74.0,58.0,75.0,77.8,57.6,77.8,23.6,69.0,60.0,19.0,,,77.8,49.8,67.0,90.0,60.8,65.0,63.0,59.0,73.0,13.2,77.8,40.0,80.8,81.0,77.8,45.0,53.0,81.0,67.0,,58.0,15.0,,77.0,,,75.0,,24.0,,,61.0,50.2,79.0,79.0,65.0,66.0,59.0,58.0,,63.0,65.0,62.6,,68.6,44.4,,49.8,,,55.0,,75.0,73.6,36.2,48.4,69.0,63.0,78.6,77.8,56.0,48.4,0.0,73.0,58.6,36.6,49.6,77.8,30.0,65.0,69.0,53.2,,73.0,34.0,52.4,46.0,59.0,37.8,83.0,,16.2,,25.0,73.0,59.0,77.0,46.6,,,69.2,37.0,43.0,,53.4,,,,,,45.0,35.0,77.8,75.2,67.8,66.4,19.0,58.0,57.2,66.0,,77.0,77.8,78.4,69.0,,,65.0,44.6,0.0,45.0,55.0,74.0,25.0
3,1998,,25.0,59.0,60.0,75.0,79.4,78.4,55.0,70.2,77.8,58.8,55.0,49.0,78.4,69.4,79.0,33.0,57.8,62.0,,,61.0,38.0,74.8,50.0,77.0,81.6,73.0,34.0,29.0,61.0,45.0,60.6,71.2,,,63.0,77.4,34.0,79.4,51.0,,77.8,54.2,49.0,52.2,67.0,45.6,,77.8,83.0,52.2,71.0,73.2,58.4,77.8,20.0,69.0,61.6,69.0,,,77.8,51.0,69.0,90.0,60.8,61.8,63.0,61.0,73.0,13.2,77.8,40.0,81.2,81.0,77.8,55.0,56.2,79.0,67.0,61.0,60.6,68.0,,77.0,,65.0,36.6,,49.0,,,61.0,61.0,81.0,79.0,81.0,66.0,45.0,29.2,,74.8,65.0,70.4,,85.0,15.0,,54.6,,,65.0,,75.0,31.0,61.0,48.4,83.0,66.6,78.6,77.8,64.0,48.4,0.0,79.0,65.2,37.0,73.0,77.8,35.0,67.6,69.0,59.0,,74.0,34.0,25.0,58.6,59.0,65.0,83.0,,35.0,,25.0,73.0,59.0,79.4,61.0,,,69.2,37.0,36.8,,65.2,,68.4,40.0,,,50.4,35.0,73.8,77.0,67.8,71.6,19.4,58.0,25.0,53.0,50.0,76.0,77.8,78.4,71.0,,,67.0,51.0,0.0,52.6,61.0,69.0,25.0
4,1999,,25.0,57.8,61.2,75.0,79.4,63.6,55.0,42.2,77.8,59.0,55.0,46.8,78.4,69.4,57.6,33.0,57.4,62.0,,,61.0,34.0,74.8,50.0,77.0,81.6,73.0,38.2,45.0,63.2,45.0,60.6,72.8,,,63.0,79.8,34.0,79.4,51.0,,77.8,54.2,49.0,54.2,69.0,55.8,,77.8,85.0,35.0,73.0,73.2,53.0,77.8,20.0,69.0,61.6,71.0,29.4,54.4,77.8,51.0,69.0,90.0,63.8,61.8,63.0,63.2,73.0,24.0,77.8,40.0,81.8,83.0,77.8,56.0,56.2,79.0,67.0,61.0,57.0,68.0,,78.0,,65.0,36.6,,49.0,,,68.0,61.0,81.0,79.0,81.0,66.0,45.0,27.0,,77.0,65.0,61.0,,85.0,15.0,57.0,38.0,,,72.2,,75.0,63.0,61.0,48.4,82.4,65.0,77.4,77.8,64.2,48.4,0.0,79.0,66.0,37.4,73.0,77.8,29.0,67.6,66.4,58.4,75.0,74.0,39.0,25.0,53.2,59.0,65.0,83.0,,49.0,,25.0,73.0,59.0,79.4,61.0,,,69.6,37.0,27.8,,65.2,63.0,68.4,40.0,,,51.6,46.6,74.4,78.0,67.8,71.2,19.4,56.4,25.0,53.0,50.0,77.0,77.8,78.4,73.0,,,65.4,51.0,62.0,45.0,61.0,73.0,38.2
5,2000,,25.0,57.8,62.0,77.0,79.0,83.0,55.0,42.2,77.8,59.0,55.0,49.8,77.6,69.0,57.6,53.8,51.0,62.0,,,61.0,32.0,75.2,69.0,77.4,81.0,70.4,42.6,47.8,63.8,45.0,60.6,74.4,,,75.6,72.0,34.0,78.0,51.0,,77.8,39.6,49.0,57.8,67.0,55.0,,77.8,85.0,46.0,75.0,78.0,60.2,77.8,20.0,69.0,61.0,71.0,29.4,61.0,77.8,51.0,71.8,90.0,67.0,61.8,63.0,76.6,66.0,19.6,78.0,40.0,82.4,83.0,77.8,51.4,60.6,81.0,67.0,67.0,63.0,68.0,,78.2,,65.2,36.6,,49.0,,,71.0,61.0,81.0,79.0,81.0,66.0,61.0,22.2,,63.0,65.0,61.0,,75.0,35.0,62.6,62.0,,,68.8,,75.0,63.0,61.0,45.0,81.0,47.8,78.6,77.8,56.0,48.0,0.0,81.0,67.8,43.2,74.8,77.8,43.0,69.0,67.6,64.6,75.0,74.0,45.0,25.0,52.4,59.0,65.0,83.0,,48.4,,25.0,71.2,73.6,83.0,61.0,,,69.2,37.0,15.0,,65.2,63.0,75.0,25.0,,,66.8,38.2,75.0,78.0,37.6,73.2,15.0,59.4,25.0,70.0,50.0,77.0,77.8,78.4,72.6,,,65.6,51.0,62.0,61.0,61.0,69.0,49.4
6,2001,,,63.8,65.0,77.0,79.0,78.0,66.8,,78.0,61.0,61.0,57.2,75.4,67.6,70.2,56.0,57.0,46.8,,,61.0,48.8,71.6,69.0,77.8,83.0,71.6,46.0,61.6,69.2,39.4,60.6,77.0,,,71.8,72.8,61.0,78.0,51.0,,78.0,59.6,,59.4,59.0,47.2,,78.0,85.0,46.0,77.2,78.0,60.2,78.0,39.0,75.6,56.0,70.2,64.8,61.0,78.0,51.0,72.6,90.0,71.6,65.0,73.8,77.8,67.2,25.6,78.0,40.0,82.4,83.0,78.0,62.0,65.8,80.6,76.4,65.0,60.6,62.8,,78.6,,65.0,57.0,,49.0,,,70.2,61.0,82.8,78.0,80.0,55.6,61.0,0.0,,83.0,61.0,73.6,,75.0,35.0,60.2,64.8,,,66.0,,76.4,65.0,61.0,27.0,81.0,67.8,78.0,78.0,65.6,61.0,0.0,79.4,66.6,45.2,77.6,78.0,49.4,61.0,65.8,68.4,75.0,73.4,62.4,25.0,52.2,61.0,61.0,83.0,,,,25.0,80.2,67.4,78.0,61.0,,,67.8,,15.0,,53.8,61.0,69.0,25.0,,,66.8,45.2,73.0,78.8,45.0,77.6,19.4,57.4,72.2,70.0,50.0,77.0,78.0,81.0,77.8,,,61.4,51.0,62.0,64.2,61.0,69.4,53.4
7,2002,,,63.4,53.0,81.4,77.4,79.6,74.4,,79.6,61.0,61.0,60.2,76.6,72.6,75.4,66.8,58.0,66.8,,,61.0,50.6,74.2,69.0,78.6,83.0,71.4,48.6,48.2,69.8,46.8,60.6,78.8,48.2,,71.0,73.0,61.0,79.6,51.0,,79.6,60.0,,60.8,62.4,55.0,,79.6,85.0,50.0,77.4,79.6,46.2,79.6,48.2,79.2,55.6,28.0,61.0,48.2,79.6,66.8,73.6,90.0,68.8,68.8,69.8,80.0,72.6,21.8,79.6,40.0,82.2,83.0,79.6,47.2,61.4,80.4,66.8,65.0,65.0,67.0,,76.8,,65.0,53.4,,49.0,,,72.0,61.0,82.8,79.6,80.0,55.6,46.0,22.4,,81.2,61.0,75.4,88.4,71.0,29.0,62.8,65.0,,63.0,66.6,,76.0,57.4,61.0,45.0,82.8,64.2,78.4,79.6,63.2,61.0,0.0,75.4,60.4,,78.8,79.6,59.0,61.0,58.0,71.6,77.0,74.4,59.4,48.2,57.4,63.4,61.0,83.0,,,,66.8,79.8,64.2,79.6,61.0,,88.4,67.6,,15.0,,48.2,61.0,69.0,25.0,,,66.8,27.2,79.6,80.0,46.0,77.8,15.0,65.6,72.2,71.0,50.0,77.0,79.6,79.4,58.0,,,58.8,51.0,,68.6,61.0,67.6,59.8
8,2003,,,56.2,54.0,81.2,77.0,81.4,71.6,,81.4,61.0,61.0,62.4,69.6,78.2,66.0,66.8,59.0,66.8,,,68.0,38.0,66.8,69.0,83.4,83.0,69.0,50.6,48.2,63.0,58.4,63.8,79.4,48.2,,77.6,73.6,61.0,81.4,51.0,,81.4,50.4,,53.4,62.8,57.6,,81.4,84.2,48.8,72.0,81.4,33.8,81.4,48.2,64.8,62.6,19.0,61.0,48.2,81.4,66.8,73.4,90.0,72.8,73.2,68.4,76.0,74.6,23.0,81.4,,77.8,77.0,81.4,72.8,47.2,81.0,65.8,65.0,60.2,68.0,,80.2,,69.4,46.8,,42.4,,,70.2,68.0,80.4,81.4,78.6,55.6,33.4,74.6,,81.0,61.0,65.0,68.4,75.0,65.0,37.4,62.0,,56.0,73.0,,80.4,50.2,68.0,45.0,82.8,49.6,80.4,81.4,79.2,61.0,0.0,75.6,59.8,,70.2,81.4,44.2,69.4,64.0,77.4,73.0,60.2,34.0,48.2,57.4,64.4,61.0,85.0,,31.8,,66.8,72.8,62.2,81.4,68.0,,68.4,73.2,,15.0,,48.2,61.0,69.0,85.0,,,51.0,27.4,73.6,77.2,56.6,64.8,15.0,55.4,72.8,74.6,22.0,77.0,81.4,81.4,59.0,,,58.2,47.6,,70.2,68.0,58.8,52.2
9,2004,,,61.4,61.6,80.0,77.2,79.8,69.2,,79.8,57.0,64.8,63.2,69.6,71.8,65.8,60.0,62.8,52.0,,,62.2,38.0,67.0,70.4,83.2,85.0,73.0,51.4,48.2,63.0,38.0,63.6,79.4,48.2,,76.4,73.4,65.8,79.8,43.0,,79.8,55.0,,44.4,62.4,57.4,,79.8,84.2,63.0,72.2,79.8,60.2,79.8,48.2,65.2,65.6,52.2,56.4,48.2,79.8,65.2,73.8,90.0,65.4,65.0,70.0,76.0,74.2,23.6,79.8,,78.2,77.0,79.8,78.8,58.0,80.8,64.4,65.0,54.0,52.0,,77.0,,69.4,61.0,,42.4,,,70.6,62.2,80.2,79.8,79.8,56.6,34.2,74.4,,81.6,66.2,65.4,,75.0,67.0,36.0,68.6,,57.4,73.4,,80.4,57.4,62.2,45.0,81.8,51.4,80.2,79.8,79.0,58.6,0.0,76.0,59.8,,70.4,79.8,55.6,70.8,59.8,77.0,76.6,57.6,68.8,48.2,63.2,64.0,68.0,85.0,,43.0,,54.4,72.8,65.2,79.8,62.2,,,66.6,,15.0,,48.2,59.8,69.0,85.0,,,75.8,32.4,74.2,78.0,56.0,65.6,17.0,56.2,71.2,74.4,22.0,77.0,79.8,81.4,71.8,,,58.0,54.8,,70.2,62.2,58.8,53.8
