Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;Net foreign income | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;Net foreign income | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Other macro;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Average Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Net foreign income. Net foreign income is the difference between the total value of a country's citizens and companies earned abroad, and the total value of foreign citizens and overseas companies earned in that country.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Total Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Net foreign income. Net foreign income is the difference between the total value of a country's citizens and companies earned abroad, and the total value of foreign citizens and overseas companies earned in that country.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;PPP conversion factor of curent local currency to current PPP EUR.;Official exchange rate of the local currency to EUR.;PPP conversion factor of current local currency to current USD.;Official exchange rate of the local currency to USD.;PPP conversion factor of current local currency to current PPP CNY.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[Net foreign income]=[Property income received from abroad]-[Property income paid abroad]+[Compensation of employees received from abroad]-[Compensation of employees paid to rest of the world];[National income]=[Net domestic product]+[Net foreign income];;;;[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[Net foreign income]=[Property income received from abroad]-[Property income paid abroad]+[Compensation of employees received from abroad]-[Compensation of employees paid to rest of the world];[National income]=[Net domestic product]+[Net foreign income];;;;;;;
Variable Unit;.;.;.;"XCD; East Caribbean dollar | local currency | market";"XCD; East Caribbean dollar | local currency | market";"XCD; East Caribbean dollar | local currency | market";"XCD; East Caribbean dollar | local currency | market";"XCD; East Caribbean dollar | local currency | market";population;"XCD; East Caribbean dollar | local currency | market";"XCD; East Caribbean dollar | local currency | market";"XCD; East Caribbean dollar | local currency | market";"XCD; East Caribbean dollar | local currency | market";"XCD; East Caribbean dollar | local currency | market";;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency
Methodological Notes;.;.;.;From 1970 to 2017, we impute the value of CFC (see methodological note for details).;GDP level in 2016 from the UN SNA main tables. Until 2015, we use the GDP growth rates from the UN SNA main tables.  After 2016, we use the GDP growth rates from the IMF World Economic Outlook (forecast).;Calculated as GDP minus CFC. See subcomponents series for additional information.;From 1976 to 2017, we use NFI as a % of GDP from the IMF.;From 1970 to 1975, we computed net foreign income based on its share in GDP in 1976.;Total 2017 population estimated by extending past year observed population growth rate. Data on other years comes from the UN World Population Prospects (2015);From 1970 to 2017, we impute the value of CFC (see methodological note for details).;GDP level in 2016 from the UN SNA main tables. Until 2015, we use the GDP growth rates from the UN SNA main tables.  After 2016, we use the GDP growth rates from the IMF World Economic Outlook (forecast).;Calculated as GDP minus CFC. See subcomponents series for additional information.;From 1976 to 2017, we use NFI as a % of GDP from the IMF.;From 1970 to 1975, we computed net foreign income based on its share in GDP in 1976.;In 1964, we use the CPI from the World Bank. In 1965, we interpolate assuming a constant inflation rate. From 1966 to 1970, we use the CPI from the World Bank. From 1971 to 2016, we use the GDP deflator from the UN SNA. In 2017, we use the GDP deflator forecast from the IMF World Economic Outlook.;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP.;;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP.;;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP.;
Sources;.;.;.;WID.world computations;"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";WID.world computations using:  http://data.imf.org/BOP (IMF Balance of Payments Statistics);"WID.world computations using:  http://data.imf.org/BOP (IMF Balance of Payments Statistics);  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  https://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018)); value from the next year as a % of GDP";WID.world computations using:  https://esa.un.org/unpd/wpp/ (UN World Population Prospects (2015).);WID.world computations;"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";"WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018))";WID.world computations using:  http://data.imf.org/BOP (IMF Balance of Payments Statistics);"WID.world computations using:  http://data.imf.org/BOP (IMF Balance of Payments Statistics);  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  https://www.imf.org/external/pubs/ft/weo/2018/01/weodata/index.aspx/ (IMF World Economic Outlook (04/2018)); value from the next year as a % of GDP";"WID.world computations using:  http://data.worldbank.org/ (World Bank);  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);  http://www.imf.org/external/pubs/ft/weo/2017/01/weodata/index.aspx (IMF World Economic Outlook (04/2018))";WID.world computations using:  http://data.worldbank.org/ (World Bank);;WID.world computations using:  http://data.worldbank.org/ (World Bank);;WID.world computations using:  http://data.worldbank.org/ (World Bank);
Variable Code;country;year;perc;aconfc999i;agdpro999i;andpro999i;annfin999i;anninc999i;npopul999i;mconfc999i;mgdpro999i;mndpro999i;mnnfin999i;mnninc999i;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;DM;2017;p0p100;2500.25512695;20466.4765625;17966.2226562;-633.180236816;17333.0429688;73926.0;184833856.0;1513004800.0;1328171008.0;-46808484.0;1281362560.0;1.0;2.534100771;3.032548666;1.9243255854;2.6913466454;0.5906959176;0.3981795013
;DM;2016;p0p100;2530.58447266;21468.28125;18937.6972656;-647.003601074;18290.6933594;73543.0;186106768.0;1578841856.0;1392735104.0;-47582588.0;1345152512.0;0.9944033623;2.5470304489;;1.9479913712;2.7000000477;0.5838181376;
;DM;2015;p0p100;2552.89135742;21025.3359375;18472.4453125;-653.933776856;17818.5117188;73162.0;186774640.0;1538255616.0;1351481088.0;-47843104.0;1303638016.0;0.9392182231;2.4238100052;;1.8633593321;2.7000000477;0.5480656028;
