Variable Name;.;.;.;Population | female | Population | 0 to 4 | population;Population | individuals | Population | 0 to 4 | population;Population | male | Population | 0 to 4 | population;Population | female | Population | 5 to 9 | population;Population | individuals | Population | 5 to 9 | population;Population | male | Population | 5 to 9 | population;Population | female | Population | 10 to 14 | population;Population | individuals | Population | 10 to 14 | population;Population | male | Population | 10 to 14 | population;Population | female | Population | 100+ | population;Population | individuals | Population | 100+ | population;Population | male | Population | 100+ | population;Population | female | Population | 15 to 19 | population;Population | individuals | Population | 15 to 19 | population;Population | male | Population | 15 to 19 | population;Population | female | Population | 20 to 24 | population;Population | individuals | Population | 20 to 24 | population;Population | male | Population | 20 to 24 | population;Population | female | Population | 20 to 29 | population;Population | individuals | Population | 20 to 29 | population;Population | male | Population | 20 to 29 | population;Population | female | Population | 25 to 29 | population;Population | individuals | Population | 25 to 29 | population;Population | male | Population | 25 to 29 | population;Population | female | Population | 30 to 34 | population;Population | individuals | Population | 30 to 34 | population;Population | male | Population | 30 to 34 | population;Population | female | Population | 30 to 39 | population;Population | individuals | Population | 30 to 39 | population;Population | male | Population | 30 to 39 | population;Population | female | Population | 35 to 39 | population;Population | individuals | Population | 35 to 39 | population;Population | male | Population | 35 to 39 | population;Population | female | Population | 40 to 44 | population;Population | individuals | Population | 40 to 44 | population;Population | male | Population | 40 to 44 | population;Population | female | Population | 40 to 49  | population;Population | individuals | Population | 40 to 49  | population;Population | male | Population | 40 to 49  | population;Population | female | Population | 45 to 49 | population;Population | individuals | Population | 45 to 49 | population;Population | male | Population | 45 to 49 | population;Population | female | Population | 50 to 54 | population;Population | individuals | Population | 50 to 54 | population;Population | male | Population | 50 to 54 | population;Population | female | Population | 50 to 59 | population;Population | individuals | Population | 50 to 59 | population;Population | male | Population | 50 to 59 | population;Population | female | Population | 55 to 59 | population;Population | individuals | Population | 55 to 59 | population;Population | male | Population | 55 to 59 | population;Population | female | Population | 60 to 64 | population;Population | individuals | Population | 60 to 64 | population;Population | male | Population | 60 to 64 | population;Population | female | Population | 60 to 69 | population;Population | individuals | Population | 60 to 69 | population;Population | male | Population | 60 to 69 | population;Population | female | Population | 65 to 69 | population;Population | individuals | Population | 65 to 69 | population;Population | male | Population | 65 to 69 | population;Population | female | Population | 70 to 74 | population;Population | individuals | Population | 70 to 74 | population;Population | male | Population | 70 to 74 | population;Population | female | Population | 70 to 79 | population;Population | individuals | Population | 70 to 79 | population;Population | male | Population | 70 to 79 | population;Population | female | Population | 75 to 79 | population;Population | individuals | Population | 75 to 79 | population;Population | male | Population | 75 to 79 | population;Population | female | Population | 80 to 84 | population;Population | individuals | Population | 80 to 84 | population;Population | male | Population | 80 to 84 | population;Population | female | Population | 80 to 89 | population;Population | individuals | Population | 80 to 89 | population;Population | male | Population | 80 to 89 | population;Population | female | Population | 85 to 89 | population;Population | individuals | Population | 85 to 89 | population;Population | male | Population | 85 to 89 | population;Population | female | Population | 90 to 94 | population;Population | individuals | Population | 90 to 94 | population;Population | male | Population | 90 to 94 | population;Population | female | Population | 90 to 99 | population;Population | individuals | Population | 90 to 99 | population;Population | male | Population | 90 to 99 | population;Population | female | Population | 95 to 99 | population;Population | individuals | Population | 95 to 99 | population;Population | male | Population | 95 to 99 | population;Population | female | Population | Children | population;Population | individuals | Population | Children | population;Population | male | Population | Children | population;Population | female | Population | Adults | population;Population | individuals | Population | Adults | population;Population | male | Population | Adults | population;Population | female | Population | 20 to 39 | population;Population | individuals | Population | 20 to 39 | population;Population | male | Population | 20 to 39 | population;Population | female | Population | 40 to 59 | population;Population | individuals | Population | 40 to 59 | population;Population | male | Population | 40 to 59 | population;Population | female | Population | Over 60 | population;Population | individuals | Population | Over 60 | population;Population | male | Population | Over 60 | population;Population | female | Population | 20 to 64 | population;Population | individuals | Population | 20 to 64 | population;Population | male | Population | 20 to 64 | population;Population | female | Population | Over 65 | population;Population | individuals | Population | Over 65 | population;Population | male | Population | Over 65 | population;Population | female | Population | Over 80 | population;Population | individuals | Population | Over 80 | population;Population | male | Population | Over 80 | population;Population | female | Population | All Ages | population;Population | individuals | Population | All Ages | population;Population | male | Population | All Ages | population
Variable Category;.;.;.;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Number of individuals in a group. The population is comprised of individuals of in the 0 to 4 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 0 to 4 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 0 to 4 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 5 to 9 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 5 to 9 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 5 to 9 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 10 to 14 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 10 to 14 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 10 to 14 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals over age 99. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals over age 99. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals over age 99. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 15 to 19 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 15 to 19 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 15 to 19 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 24 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 24 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 24 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 29 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 29 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 29 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 25 to 29 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 25 to 29 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 25 to 29 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 34 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 34 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 34 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 39 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 39 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 39 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 35 to 39 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 35 to 39 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 35 to 39 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 44 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 44 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 44 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 49  age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 49  age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 49  age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 45 to 49 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 45 to 49 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 45 to 49 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 54 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 54 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 54 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 59 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 59 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 59 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 55 to 59 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 55 to 59 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 55 to 59 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 64 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 64 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 64 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 69 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 69 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 69 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 65 to 69 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 65 to 69 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 65 to 69 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 74 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 74 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 74 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 79 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 79 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 79 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 75 to 79 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 75 to 79 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 75 to 79 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 84 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 84 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 84 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 89 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 89 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 89 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 85 to 89 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 85 to 89 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 85 to 89 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 94 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 94 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 94 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 99 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 99 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 99 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 95 to 99 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 95 to 99 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 95 to 99 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals below age 20. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals below age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals below age 20. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals over age 20. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals over age 20. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 39. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 39. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 39. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 40 and 59. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 40 and 59. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals between ages 40 and 59. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals over age 60. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals over age 60. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals over age 60. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 64. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 64. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 64. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals over age 65. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals over age 65. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals over age 65. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals over age 80. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals over age 80. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals over age 80. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of all ages. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of all ages. The population looked at is comprised of male individuals only.
Variable Decomposition;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variable Unit;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Methodological Notes;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sources;.;.;.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Variable Code;country;year;perc;npopul001f;npopul001i;npopul001m;npopul051f;npopul051i;npopul051m;npopul101f;npopul101i;npopul101m;npopul111f;npopul111i;npopul111m;npopul151f;npopul151i;npopul151m;npopul201f;npopul201i;npopul201m;npopul202f;npopul202i;npopul202m;npopul251f;npopul251i;npopul251m;npopul301f;npopul301i;npopul301m;npopul302f;npopul302i;npopul302m;npopul351f;npopul351i;npopul351m;npopul401f;npopul401i;npopul401m;npopul402f;npopul402i;npopul402m;npopul451f;npopul451i;npopul451m;npopul501f;npopul501i;npopul501m;npopul502f;npopul502i;npopul502m;npopul551f;npopul551i;npopul551m;npopul601f;npopul601i;npopul601m;npopul602f;npopul602i;npopul602m;npopul651f;npopul651i;npopul651m;npopul701f;npopul701i;npopul701m;npopul702f;npopul702i;npopul702m;npopul751f;npopul751i;npopul751m;npopul801f;npopul801i;npopul801m;npopul802f;npopul802i;npopul802m;npopul851f;npopul851i;npopul851m;npopul901f;npopul901i;npopul901m;npopul902f;npopul902i;npopul902m;npopul951f;npopul951i;npopul951m;npopul991f;npopul991i;npopul991m;npopul992f;npopul992i;npopul992m;npopul993f;npopul993i;npopul993m;npopul994f;npopul994i;npopul994m;npopul995f;npopul995i;npopul995m;npopul996f;npopul996i;npopul996m;npopul997f;npopul997i;npopul997m;npopul998f;npopul998i;npopul998m;npopul999f;npopul999i;npopul999m
;EH;2017;p0p100;27883.0;56372.0;28489.0;25287.0;51091.0;25803.0;23610.0;47592.0;23981.0;0.0;0.0;0.0;23125.0;46764.0;23640.0;24407.0;49617.0;25209.0;49820.0;102510.0;52691.0;25413.0;52893.0;27482.0;24086.0;52256.0;28171.0;45881.0;100141.0;54262.0;21795.0;47885.0;26091.0;18693.0;40343.0;21651.0;33576.0;72584.0;39010.0;14883.0;32241.0;17359.0;11275.0;25412.0;14139.0;20237.0;45744.0;25509.0;8962.0;20332.0;11370.0;6285.0;14257.0;7972.0;9686.0;21926.0;12241.0;3401.0;7669.0;4269.0;1832.0;3812.0;1979.0;2939.0;6053.0;3112.0;1107.0;2241.0;1133.0;592.0;1205.0;613.0;844.0;1689.0;846.0;252.0;484.0;233.0;77.0;141.0;63.0;89.0;162.0;71.0;12.0;21.0;8.0;99905.0;201819.0;101913.0;163072.0;350809.0;187742.0;95701.0;202651.0;106953.0;53813.0;118328.0;64519.0;13558.0;29830.0;16270.0;155799.0;335236.0;179444.0;7273.0;15573.0;8298.0;933.0;1851.0;917.0;262977.0;552628.0;289655.0
;EH;2016;p0p100;27632.0;55863.0;28231.0;24641.0;49774.0;25132.0;23344.0;47046.0;23700.0;0.0;0.0;0.0;22775.0;46071.0;23297.0;24339.0;49452.0;25115.0;49244.0;101578.0;52336.0;24905.0;52126.0;27221.0;23376.0;51045.0;27669.0;44586.0;97522.0;52935.0;21210.0;46477.0;25266.0;17937.0;38612.0;20675.0;32080.0;69469.0;37390.0;14143.0;30857.0;16715.0;10711.0;24379.0;13668.0;19370.0;43977.0;24607.0;8659.0;19598.0;10939.0;5708.0;13078.0;7369.0;8752.0;19896.0;11141.0;3044.0;6818.0;3772.0;1741.0;3586.0;1844.0;2812.0;5791.0;2978.0;1071.0;2205.0;1134.0;570.0;1152.0;581.0;815.0;1623.0;807.0;245.0;471.0;226.0;70.0;128.0;59.0;79.0;145.0;66.0;9.0;17.0;7.0;98392.0;198754.0;100360.0;157738.0;340001.0;182260.0;93830.0;199100.0;105271.0;51450.0;113446.0;61997.0;12458.0;27455.0;14992.0;150988.0;325624.0;174637.0;6750.0;14377.0;7623.0;894.0;1768.0;873.0;256130.0;538755.0;282620.0
;EH;2015;p0p100;27010.0;54611.0;27599.0;24227.0;48909.0;24683.0;23096.0;46531.0;23435.0;0.0;0.0;0.0;22565.0;45616.0;23050.0;24258.0;49319.0;25063.0;48716.0;;52107.0;24458.0;51503.0;27044.0;22824.0;50068.0;27245.0;43511.0;;51754.0;20687.0;45196.0;24509.0;17243.0;37083.0;19837.0;30726.0;;36007.0;13483.0;29652.0;16170.0;10270.0;23546.0;13275.0;18579.0;;23781.0;8309.0;18815.0;10506.0;5197.0;11993.0;6796.0;7951.0;;10155.0;2754.0;6113.0;3359.0;1670.0;3412.0;1742.0;2713.0;;2874.0;1043.0;2175.0;1132.0;550.0;1105.0;553.0;783.0;;767.0;233.0;446.0;214.0;62.0;110.0;49.0;68.0;;54.0;6.0;13.0;5.0;96898.0;195667.0;98767.0;153047.0;330549.0;177499.0;92227.0;196086.0;103861.0;49305.0;109096.0;59788.0;11515.0;25367.0;13850.0;146729.0;317175.0;170445.0;6318.0;13374.0;7054.0;851.0;1674.0;821.0;249945.0;526216.0;276266.0
