Variable Name;.;.;.;Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Share | Adults | share of total (ratio)
Variable Category;.;.;.;Income inequality;Income inequality
Variable Description;.;.;.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.
Variable Decomposition;.;.;.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;share;share
Methodological Notes;.;.;.;;
Sources;.;.;.;;
Variable Code;country;year;perc;sptinc992j;sfiinc992j
;HR;2013;p99p100;0.0839826986;0.0839826986
;HR;2013;p99.9p100;0.0198144;0.0198144
;HR;2013;p99.99p100;0.0050185998;0.0050185998
;HR;2013;p99.999p100;0.0011633;0.0011633
;HR;2013;p90p100;0.3384360969;0.3384360969
;HR;2013;p95p100;0.2243264019;0.2243264019
;HR;2013;p99.5p100;0.0540865995;0.0540865995
;HR;2012;p99p100;0.0835814029;0.0835814029
;HR;2012;p99.9p100;0.0199905001;0.0199905001
;HR;2012;p99.99p100;0.0051476001;0.0051476001
;HR;2012;p99.999p100;0.0012344;0.0012344
;HR;2012;p90p100;0.3376030028;0.3376030028
;HR;2012;p95p100;0.2231198996;0.2231198996
;HR;2012;p99.5p100;0.0539924018;0.0539924018
;HR;2011;p99p100;0.0828946978;0.0828946978
;HR;2011;p99.9p100;0.0199293997;0.0199293997
;HR;2011;p99.99p100;0.0053785001;0.0053785001
;HR;2011;p99.999p100;0.0012948;0.0012948
;HR;2011;p90p100;0.3351762295;0.3351762295
;HR;2011;p95p100;0.2214532048;0.2214532048
;HR;2011;p99.5p100;0.0535681993;0.0535681993
;HR;2010;p99p100;0.0824166015;0.0824166015
