Variable Name;.;.;.;Fiscal capital income [total fiscal income ranking] | individuals | Average | Adults | constant 2015 local currency;Dividends | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Average | All Ages | constant 2015 local currency;Interest | individuals | Average | Adults | constant 2015 local currency;Fiscal labour income [total fiscal income ranking] | individuals | Average | Adults | constant 2015 local currency;Wages and pensions | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | All Ages | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Net personal wealth | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Net personal wealth | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Net personal wealth | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Net personal wealth | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Wealth inequality;Wealth inequality;Income inequality;Income inequality;Income inequality;Income inequality;Wealth inequality;Income inequality;Income inequality;Wealth inequality;Income inequality;Income inequality;Wealth inequality;Income inequality;Income inequality;Wealth inequality;Income inequality
Variable Description;.;.;.;Average Fiscal capital income [total fiscal income ranking] within a given percentile group. Fiscal capital income  is income received by virtue of owning capital.  Reported on income tax returns before any specific deduction. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Dividends within a given percentile group. Dividends are payments from corporations to shareholders, usually as a distribution of profits.  Reported on income tax returns before any specific deduction. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Interest within a given percentile group. Interest is payments from borrowers to lenders above repayments of the principal sum.  Reported on income tax returns before any specific deduction. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Fiscal labour income [total fiscal income ranking] within a given percentile group. Fiscal labour income  is wages and pensions as a remuneration in exchange for labour. Reported on income tax returns before any specific deduction. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Wages and pensions within a given percentile group. Wages and pensions are remunerations paid by employers to employees in exchange for work done, and payments from pension funds or social insurance schemes to support the retirement. Reported on income tax returns before any specific deduction. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Net personal wealth within a given percentile group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Net personal wealth within a given percentile group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages.;Total Net personal wealth within a given percentile group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals of all ages.;Total Pre-tax national income  within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Net personal wealth share held by a given percentile group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Net personal wealth threshold value at a given percentile.  Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income threshold value at a given percentile.  Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
Variable Decomposition;.;.;.;[Fiscal capital income [total fiscal income ranking]]=[Capital component of mixed income]+[Rents]+[Interest]+[Dividends]+[Capital gains];;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];;[Fiscal labour income [total fiscal income ranking]]=[Wages and pensions]+[Labour component of mixed income];;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking]
Variable Unit;.;.;.;"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";;;;"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";share;share;share;"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market";"KRW; South Korean won | local currency | market"
Methodological Notes;.;.;.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000. The figures before liberation are not exactly the income shares of the top 1%. They are income shares of different top income groups from the top 1.4% in 1933 to the top 4.8% in 1942. A portion of interest income is excluded in the estimation before liberation and taxpayers with financial income below 40 million KRW(20 million KRW since 2013) are excluded since 2001.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000. The figures before liberation are not exactly the income shares of the top 1%. They are income shares of different top income groups from the top 1.4% in 1933 to the top 4.8% in 1942. A portion of interest income is excluded in the estimation before liberation and taxpayers with financial income below 40 million KRW(20 million KRW since 2013) are excluded since 2001.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000. The figures before liberation are not exactly the income shares of the top 1%. They are income shares of different top income groups from the top 1.4% in 1933 to the top 4.8% in 1942. A portion of interest income is excluded in the estimation before liberation and taxpayers with financial income below 40 million KRW(20 million KRW since 2013) are excluded since 2001.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000. The figures before liberation are not exactly the income shares of the top 1%. They are income shares of different top income groups from the top 1.4% in 1933 to the top 4.8% in 1942. A portion of interest income is excluded in the estimation before liberation and taxpayers with financial income below 40 million KRW(20 million KRW since 2013) are excluded since 2001.;;The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate.;The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000.;The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate.;Fiscal income rescaled to match the macroeconomic aggregates.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000.;The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate.;Fiscal income rescaled to match the macroeconomic aggregates.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000.;The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate.;Fiscal income rescaled to match the macroeconomic aggregates.;Statistics cover all Korea (North and South combined) before liberation in 1945, and South Korea only after liberation. The unit of the amounts in the colonial period is Yen. To convert into the current KRW the amount should be multiplied by 1/1000.;The inheritance tax data for 2008-2009 was not used here because of inconsistency of figures in the data. The amount of net personal wealth estimated here is much less than the net household wealth in the National Balance Sheets. The difference could be explained as follows. First, the net household wealth in the National Balance Sheets includes the asset of non-profit sector. Second, the estimate of net personal wealth covers only real estate and financial assets, while other kinds of assets are included in the National Balance Sheets. Third, while the real estates in the National Balance Sheets are those in market prices, they are in government appraisal values, lower than market prices. Considering the share of real estate in the net household wealth is 76% (the average in 2000-2013)  and the total amount in government appraisal values is 67% of that in market prices, the net household wealth would be underestimated as much as 25% at least from the difference in government appraisal values and market prices of real estate.;Fiscal income rescaled to match the macroeconomic aggregates.
Sources;.;.;.;"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";;http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/ (Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics);http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/ (Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics);WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/ (Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics);WID.world computations using fiscal and net national income.;"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/ (Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics);WID.world computations using fiscal and net national income.;"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/ (Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics);WID.world computations using fiscal and net national income.;"http://wid.world/document/top-incomes-in-korea-update-1933-2016-wid-world-working-paper-2018-12/ (Kim, Nak Nyeon(2018), Top Incomes in Korea: Update, 1933-2016, WID.world Working Paper 2018/12);  http://wid.world/document/wid_working_paper_2014_2_korea/ (Kim, Nak Nyeon and Jongil Kim (2014), Top Incomes in Korea: Evidence from Income Tax Statistics, WID.world Working Paper 2014/2.)";http://wid.world/document/wealth-inequality-in-korea-2000-2013-journal-of-the-korean-welfare-state-and-social-policy-2018/ (Kim, Nak Nyeon(2018), Wealth Inequality in Korea, 2000-2013: Evidence from Inheritance Tax Statistics);WID.world computations using fiscal and net national income.
Variable Code;country;year;perc;aficap992i;afidiv992i;afiinc992i;afiinc992t;afiinc999i;afiint992i;afilin992i;afiwag992i;ahweal992i;ahweal999i;aptinc992i;aptinc992t;aptinc999i;bfiinc992i;bhweal992i;bptinc992i;mfiinc999i;mhweal999i;mptinc999i;sfiinc992i;shweal992i;sptinc992i;tfiinc992i;thweal992i;tptinc992i
;KR;2016;p0p100;;;21948442.0676;;17671027.4008;;;;;;32982536.0;;26554745.6903;;;;9.05564264907e+14;;1.36081667554e+15;;;;;;
;KR;2016;p99p100;108336399.507;19986285.4076;266977690.019;;;2960285.31937;158641290.512;;;;401194820.349;;;2.0126168728;;2.0126168728;;;;0.1216385589;;0.1216385589;132652016.0;;199339888.0
;KR;2016;p99.9p100;587009894.701;170769890.855;945073838.858;;;20503295.1957;358063944.157;;;;1420188814.17;;;2.2825901508;;2.2825901508;;;;0.0430588113;;0.0430588113;414035712.0;;622183040.0
