Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Pre-tax national income threshold value at a given percentile.  Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages.;Total Pre-tax national income  within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"NGN; Nigerian naira | local currency | market";"NGN; Nigerian naira | local currency | market";"NGN; Nigerian naira | local currency | market";"NGN; Nigerian naira | local currency | market";;;"NGN; Nigerian naira | local currency | market";"NGN; Nigerian naira | local currency | market";"NGN; Nigerian naira | local currency | market";share;share;"NGN; Nigerian naira | local currency | market"
Methodological Notes;.;.;.;Excludes capital gains.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.
Sources;.;.;.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.;WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.;WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.
Variable Code;country;year;perc;afiinc992i;afiinc992t;aptinc992i;aptinc992t;bfiinc992i;bptinc992i;tptinc992i;mfiinc999i;mptinc999i;sfiinc992i;sptinc992i;tfiinc992i
;NG;1959;p0p100;118232.984375;186595.71875;413371.21875;652383.9375;;;;2.6049642496e+12;9.10758825165e+12;;;
;NG;1959;p99.9p100;3869450.5;;13528539.0;;1.5469400883;1.5469400883;8745354.0;;;0.0327269174;0.0327269174;2501357.75
;NG;1959;p99.99p100;8533824.0;;29836322.0;;0.9115656614;0.911565721;32730852.0;;;0.0072190012;0.0072190012;9361722.0
;NG;1959;p99.95p99.99;4337428.0;;15164703.0;;;;18951222.0;;;0.0146744223;0.0146744223;5420453.5
;NG;1959;p99.9p99.95;2561937.75;;8957157.0;;;;8745354.0;;;0.0108334925;0.0108334925;2501357.75
;NG;1959;p99.9p99.99;3351083.75;;11716203.0;;;;8745354.0;;;0.0255079139;0.0255079139;2501357.75
;NG;1959;p99.95p100;5176807.5;;18099376.0;;0.9550506473;0.9550505877;18951222.0;;;0.0218934231;0.0218934231;5420453.5
;NG;1959;p99.995p100;10524506.0;;36796228.0;;;;;;;0.0044514872;0.0044514872;
;NG;1958;p0p100;125286.640625;197701.828125;403432.125;636614.3125;;;;2.68218217267e+12;8.63682271642e+12;;;
;NG;1958;p99.9p100;3849099.25;;12394380.0;;1.6360576153;1.6360576153;7575760.5;;;0.0307219476;0.0307219476;2352667.25
;NG;1958;p99.99p100;8587922.0;;27653736.0;;0.9151751995;0.9151751995;30216878.0;;;0.0068557565;0.0068557565;9383911.0
;NG;1958;p99.95p99.99;4358962.0;;14036175.0;;;;17569984.0;;;0.013917;0.013917;5456393.0
;NG;1958;p99.9p99.95;2493182.0;;8028228.0;;;;7575760.5;;;0.0099491896;0.0099491896;2352667.25
;NG;1958;p99.9p99.99;3322458.75;;10698559.0;;;;7575760.5;;;0.0238661896;0.0238661896;2352667.25
;NG;1958;p99.95p100;5204855.0;;16760012.0;;0.9539002776;0.9539002776;17569984.0;;;0.020772757;0.020772757;5456393.0
;NG;1958;p99.995p100;10737710.0;;34576212.0;;;;;;;0.0042859684;0.0042859684;
;NG;1957;p0p100;135657.953125;214039.59375;416736.96875;657522.875;;;;2.82204386099e+12;8.66923053056e+12;;;
;NG;1957;p99.9p100;3495846.0;;10739129.0;;1.8036401272;1.8036401272;5954142.0;;;0.02576923;0.02576923;1938217.0
;NG;1957;p99.99p100;7817370.5;;24014716.0;;0.8951904178;0.8951904178;26826378.0;;;0.0057635158;0.0057635158;8732634.0
;NG;1957;p99.95p99.99;4042853.25;;12419518.0;;;;15327809.0;;;0.011920928;0.011920928;4989572.0
;NG;1957;p99.9p99.95;2193690.25;;6738947.5;;;;5954142.0;;;0.0080847871;0.0080847871;1938217.0
;NG;1957;p99.9p99.99;3015581.25;;9263771.0;;;;5954142.0;;;0.0200057141;0.0200057141;1938217.0
;NG;1957;p99.95p100;4797846.5;;14738834.0;;0.9615747929;0.9615747333;15327809.0;;;0.0176844448;0.0176844448;4989572.0
;NG;1957;p99.995p100;9739056.0;;29918074.0;;;;;;;0.0035901589;0.0035901589;
;NG;1956;p0p100;133557.9375;210698.53125;406523.1875;641323.5;;;;2.69985880474e+12;8.21782065971e+12;;;
;NG;1956;p99.99p100;7813279.0;;23782032.0;;0.9393584132;0.9393584132;25317314.0;;;0.0058510751;0.0058510751;8317676.0
;NG;1956;p99.95p99.99;3732070.75;;11359664.0;;;;13689557.0;;;0.0111775724;0.0111775724;4497527.0
;NG;1956;p99.95p100;4548409.5;;13844434.0;;1.0113134384;1.0113134384;13689557.0;;;0.0170286465;0.0170286465;4497527.0
;NG;1956;p99.995p100;9946025.0;;30273678.0;;;;;;;0.003724105;0.003724105;
