Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio)
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking]
Variable Unit;.;.;.;"EUR; Euro | local currency | market";;"EUR; Euro | local currency | market";"EUR; Euro | local currency | market";share;share
Methodological Notes;.;.;.;Tax units are individuals aged 20+ minus married women. Excludes capital gains.;Tax units are individuals aged 20+ minus married women. Excludes capital gains.;Tax units are individuals aged 20+ minus married women. Excludes capital gains.;Tax units are individuals aged 20+ minus married women. Excludes capital gains.;Tax units are individuals aged 20+ minus married women. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.
Sources;.;.;.;"Alvaredo, Facundo (2009). Top Incomes and Earnings in Portugal 1936-2005; Explorations in Economic History, 46(4): 404-417. Longer version in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, 2010, chapter 11.";"Alvaredo, Facundo (2009). Top Incomes and Earnings in Portugal 1936-2005; Explorations in Economic History, 46(4): 404-417. Longer version in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, 2010, chapter 11.";"Alvaredo, Facundo (2009). Top Incomes and Earnings in Portugal 1936-2005; Explorations in Economic History, 46(4): 404-417. Longer version in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, 2010, chapter 11.";"Alvaredo, Facundo (2009). Top Incomes and Earnings in Portugal 1936-2005; Explorations in Economic History, 46(4): 404-417. Longer version in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, 2010, chapter 11.";"Alvaredo, Facundo (2009). Top Incomes and Earnings in Portugal 1936-2005; Explorations in Economic History, 46(4): 404-417. Longer version in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, 2010, chapter 11.";WID.world computations using fiscal and net national income.
Variable Code;country;year;perc;afiinc992t;bfiinc992t;tfiinc992t;mfiinc999i;sfiinc992t;sptinc992t
;PT;2005;p0p100;17259.9082031;;;99398877184.0;;
;PT;2005;p99p100;168577.6875;1.6392549276;102837.992188;;0.0976699963;0.0976699963
;PT;2005;p99.9p100;427360.84375;1.7515765429;243986.390625;;0.0247600004;0.0247600004
;PT;2005;p99.99p100;1195913.25;1.8156224489;658679.4375;;0.0069300001;0.0069300001
;PT;2005;p90p100;66020.859375;1.8942342997;34853.5859375;;0.3825100064;0.3825100064
;PT;2005;p90p95;42262.6015625;;34853.5859375;;0.1224299967;0.1224299967
;PT;2005;p95p99;70079.5078125;;51841.5976562;;0.1624100059;0.1624100059
;PT;2005;p99.5p99.9;170182.34375;;134645.265625;;0.0394399986;0.0394399986
;PT;2005;p99.9p99.99;341949.15625;;243986.390625;;0.0178299993;0.0178299993
;PT;2005;p99p99.5;115537.9375;;102837.992188;;0.0334700011;0.0334700011
;PT;2005;p95p100;89779.1171875;1.7317968607;51841.5976562;;0.2600800097;0.2600800097
;PT;2005;p99.5p100;221617.4375;1.6459355354;134645.265625;;0.064199999;0.064199999
;PT;2004;p0p100;17241.1328125;;;97745969152.0;;
;PT;2004;p99p100;165773.640625;1.603964448;103352.445312;;0.0961500034;0.0961500034
;PT;2004;p99.9p100;398447.6875;1.6582241058;240285.796875;;0.0231100004;0.0231100004
;PT;2004;p99.99p100;1029124.8125;1.7087266445;602275.875;;0.0059699998;0.0059699998
;PT;2004;p90p100;65924.90625;1.8847769499;34977.5625;;0.3823699951;0.3823699951
;PT;2004;p90p95;42385.5898438;;34977.5625;;0.1229199991;0.1229199991
;PT;2004;p95p99;70386.8828125;;52022.2421875;;0.1632999927;0.1632999927
;PT;2004;p99.5p99.9;169307.578125;;134995.359375;;0.0392800011;0.0392800011
;PT;2004;p99.9p99.99;328358.53125;;240285.796875;;0.0171399992;0.0171399992
;PT;2004;p99p99.5;116412.234375;;103352.445312;;0.03376;0.03376
;PT;2004;p95p100;89464.21875;1.7197301388;52022.2421875;;0.2594499886;0.2594499886
;PT;2004;p99.5p100;215135.0625;1.5936478376;134995.359375;;0.0623899996;0.0623899996
;PT;2003;p0p100;17236.2617188;;;96198033408.0;;
;PT;2003;p99p100;157367.203125;1.5839371681;99351.9296875;;0.0913000032;0.0913000032
;PT;2003;p99.9p100;389544.5;1.7552700043;221928.53125;;0.0226000007;0.0226000007
;PT;2003;p99.99p100;1171871.25;1.9657136202;596155.625;;0.0068000001;0.0068000001
;PT;2003;p90p100;62757.2109375;1.8813939095;33356.7617188;;0.3641000092;0.3641000092
;PT;2003;p90p95;40401.7851562;;33356.7617188;;0.1172000021;0.1172000021
;PT;2003;p95p99;67049.015625;;49794.3671875;;0.1555999964;0.1555999964
;PT;2003;p99.5p99.9;158142.375;;127074.515625;;0.0366999991;0.0366999991
;PT;2003;p99.9p99.99;302602.03125;;221928.53125;;0.0157999992;0.0157999992
;PT;2003;p99p99.5;110312.171875;;99351.9296875;;0.0320000015;0.0320000015
;PT;2003;p95p100;85112.6328125;1.7092823982;49794.3671875;;0.2469000071;0.2469000071
;PT;2003;p99.5p100;204422.25;1.6086801291;127074.515625;;0.0593000017;0.0593000017
;PT;2002;p0p100;17713.1035156;;;97321304064.0;;
;PT;2002;p99p100;158886.6875;1.5491094589;102566.46875;;0.0896999985;0.0896999985
;PT;2002;p99.9p100;363123.3125;1.5620638132;232463.8125;;0.0205000006;0.0205000006
;PT;2002;p99.99p100;832377.75;1.5641388893;532163.5625;;0.0046999999;0.0046999999
;PT;2002;p90p100;65131.0664062;1.8807132244;34631.046875;;0.3677000105;0.3677000105
;PT;2002;p90p95;42157.1757812;;34631.046875;;0.1190000027;0.1190000027
;PT;2002;p95p99;70409.546875;;51756.2695312;;0.1589999944;0.1589999944
;PT;2002;p99.5p99.9;163403.046875;;130299.5625;;0.0368999988;0.0368999988
;PT;2002;p99.9p99.99;310973.5625;;232463.8125;;0.0157999992;0.0157999992
;PT;2002;p99p99.5;114426.757812;;102566.46875;;0.0322999991;0.0322999991
;PT;2002;p95p100;88104.9609375;1.7023049593;51756.2695312;;0.2486999929;0.2486999929
;PT;2002;p99.5p100;203346.625;1.5606086254;130299.5625;;0.0573999994;0.0573999994
;PT;2001;p0p100;17444.1757812;;;94352588800.0;;
;PT;2001;p99p100;168336.46875;1.6315531731;103175.59375;;0.0965000018;0.0965000018
;PT;2001;p99.9p100;423898.9375;1.6769226789;252783.828125;;0.0242999997;0.0242999997
;PT;2001;p99.99p100;1081359.5;1.6848937273;641796.875;;0.0062000002;0.0062000002
;PT;2001;p90p100;66008.75;1.9124040604;34516.109375;;0.3783999979;0.3783999979
;PT;2001;p90p95;42005.5664062;;34516.109375;;0.1203999966;0.1203999966
;PT;2001;p95p99;70430.8203125;;51708.5351562;;0.1615000069;0.1615000069
;PT;2001;p99.5p99.9;170952.578125;;131859.421875;;0.0392000005;0.0392000005
;PT;2001;p99.9p99.99;350833.25;;252783.828125;;0.0181000009;0.0181000009
;PT;2001;p99p99.5;115131.671875;;103175.59375;;0.0329999998;0.0329999998
;PT;2001;p95p100;90011.9296875;1.7407556772;51708.5351562;;0.2579999864;0.2579999864
;PT;2001;p99.5p100;221541.25;1.6801321507;131859.421875;;0.063500002;0.063500002
;PT;2000;p0p100;17074.6367188;;;90916954112.0;;
;PT;2000;p99p100;155208.59375;1.5730401278;98667.921875;;0.0908999965;0.0908999965
;PT;2000;p99.9p100;358572.0;1.5725636482;228017.484375;;0.0209999997;0.0209999997
;PT;2000;p99.99p100;836518.375;1.5871809721;527046.625;;0.0049000001;0.0049000001
;PT;2000;p90p100;61690.6484375;1.8971517086;32517.5097656;;0.3612999916;0.3612999916
