Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"SEK; Swedish krona | local currency | market";;"SEK; Swedish krona | local currency | market";share;share;"SEK; Swedish krona | local currency | market"
Methodological Notes;.;.;.;"The series includes social benefits. Tax units are: up to 1950, individuals aged 16+ minus married women; between 1951 and 1970, individuals aged 16+ minus married women with low or no income; from 1971, indviduals aged 16. Excludes capital gains.";"The series includes social benefits. Tax units are: up to 1950, individuals aged 16+ minus married women; between 1951 and 1970, individuals aged 16+ minus married women with low or no income; from 1971, indviduals aged 16. Excludes capital gains.";"The series includes social benefits. Tax units are: up to 1950, individuals aged 16+ minus married women; between 1951 and 1970, individuals aged 16+ minus married women with low or no income; from 1971, indviduals aged 16. Excludes capital gains.";"The series includes social benefits. Tax units are: up to 1950, individuals aged 16+ minus married women; between 1951 and 1970, individuals aged 16+ minus married women with low or no income; from 1971, indviduals aged 16. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.;"The series includes social benefits. Tax units are: up to 1950, individuals aged 16+ minus married women; between 1951 and 1970, individuals aged 16+ minus married women with low or no income; from 1971, indviduals aged 16. Excludes capital gains."
Sources;.;.;.;"Roine, Jesper and Waldenström, Daniel (2010). Top Incomes in Sweden over the Twentieth Century; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 7. Series updated by the same authors.";"Roine, Jesper and Waldenström, Daniel (2010). Top Incomes in Sweden over the Twentieth Century; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 7. Series updated by the same authors.";"Roine, Jesper and Waldenström, Daniel (2010). Top Incomes in Sweden over the Twentieth Century; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 7. Series updated by the same authors.";"Roine, Jesper and Waldenström, Daniel (2010). Top Incomes in Sweden over the Twentieth Century; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 7. Series updated by the same authors.";WID.world computations using fiscal and net national income.;"Roine, Jesper and Waldenström, Daniel (2010). Top Incomes in Sweden over the Twentieth Century; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes: A Global Perspective, Oxford University Press, chapter 7. Series updated by the same authors."
Variable Code;country;year;perc;afiinc992t;bfiinc992t;mfiinc999i;sfiinc992t;sptinc992t;tfiinc992t
;SE;2013;p0p100;280448.270717;;2.24262830175e+12;;;
;SE;2013;p99p100;2447403.01221;1.8411595821;;0.08726745;0.08726745;1329272.625
;SE;2013;p99.9p100;8843335.4124;2.4547681808;;0.03153245;0.03153245;3602513.5
