Variable Name;.;.;.;Population | tax unit | Population | Adults | population;Population | individuals | Population | All Ages | population;Number of tax returns | tax unit | Population | Adults | population;National income price index | individuals | Indices | All Ages | population;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Number of individuals in a group. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of reports filed containing information used to calculate taxes. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;PPP conversion factor of curent local currency to current PPP EUR.;Official exchange rate of the local currency to EUR.;PPP conversion factor of current local currency to current USD.;Official exchange rate of the local currency to USD.;PPP conversion factor of current local currency to current PPP CNY.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;;;;;;;;
Variable Unit;.;.;.;population;population;population;;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency
Methodological Notes;.;.;.;;;;;;;;;;
Sources;.;.;.;WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);;WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015)
Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-NJ;2016;p0p100;;;;1.0;1.3099900484;1.1065329313;1.0;1.0;0.299690634;0.1507654935
;US-NJ;2015;p0p100;;;;0.9870161414;1.3047451973;;1.0;1.0;0.2940007746;
;US-NJ;2014;p0p100;4653717.5;;4342620.0;0.9765984416;1.305574894;;1.0;1.0;0.2891286612;
;US-NJ;2013;p0p100;4653697.5;;4326880.0;0.9593613744;1.2936111689;;1.0;1.0;0.285338074;
;US-NJ;2012;p0p100;4599221.5;8864590.0;4307560.0;0.9441343546;1.2888070345;;1.0;1.0;0.2862385511;
;US-NJ;2011;p0p100;4575661.5;;4325769.0;0.9270407557;1.28186059;;1.0;1.0;0.2852630615;
;US-NJ;2010;p0p100;4522089.0;;4285543.0;0.9082964063;1.2697501183;;1.0;1.0;0.3020563126;
;US-NJ;2009;p0p100;4517869.0;;4236533.0;0.897295475;1.262617588;;1.0;1.0;0.3190217614;
;US-NJ;2008;p0p100;4444641.5;;4304848.0;0.890278697;1.2648955584;;1.0;1.0;0.3120010793;
;US-NJ;2007;p0p100;4385371.5;;4576940.0;0.8734274507;1.2665445805;;1.0;1.0;0.3299844563;
;US-NJ;2006;p0p100;4358807.0;;4229622.0;0.8507438302;1.2644462585;;1.0;1.0;0.345580399;
;US-NJ;2005;p0p100;4325767.5;;4152741.25;0.8253771663;1.2506828308;;1.0;1.0;0.3466525674;
;US-NJ;2004;p0p100;4265482.5;;4107118.25;0.7996518016;1.2349227667;;1.0;1.0;0.3501084149;
;US-NJ;2003;p0p100;4332336.5;;4082108.0;0.7782691717;1.2250671387;;1.0;1.0;0.3633489013;
;US-NJ;2002;p0p100;4394152.0;;4072512.0;0.7630601525;1.2275134325;;1.0;1.0;0.3685450256;
;US-NJ;2001;p0p100;4288970.5;;4088063.0;0.7515296936;1.238769412;;1.0;1.0;0.3631632924;
;US-NJ;2000;p0p100;4210413.5;;4067441.0;0.7347952127;1.2406071424;;1.0;1.0;0.3614366651;
;US-NJ;1999;p0p100;4084758.5;;3987660.0;0.7184196711;1.2302194834;;1.0;1.0;0.3772855997;
;US-NJ;1998;p0p100;4026453.75;;3924125.0;0.7082802653;1.2326472998;;1.0;1.0;0.3762110472;
;US-NJ;1997;p0p100;3988580.75;;3861555.0;0.7006801367;1.232254982;;1.0;1.0;0.3748629391;
;US-NJ;1996;p0p100;3974474.0;;3817966.0;0.688826859;1.2088310719;;1.0;1.0;0.3924251497;
;US-NJ;1995;p0p100;3917090.0;;3800545.0;0.6764978766;1.2180724144;;1.0;1.0;0.4256479144;
;US-NJ;1994;p0p100;3978318.25;;3776569.0;0.6626616716;;;1.0;1.0;0.4993232191;
;US-NJ;1993;p0p100;3935634.5;;3759633.0;0.64887923;;;1.0;1.0;0.6194413304;
;US-NJ;1992;p0p100;3927948.75;;3782018.0;0.6337777972;;;1.0;1.0;0.7676845193;
;US-NJ;1991;p0p100;3909963.0;;3827040.0;0.6196454167;;;1.0;1.0;0.8222076297;
;US-NJ;1990;p0p100;3858628.75;;3864727.0;0.5997613072;;;1.0;1.0;0.8252539039;
;US-NJ;1989;p0p100;3864173.75;;3832302.0;0.5782889724;;;1.0;1.0;0.9015800357;
;US-NJ;1988;p0p100;3804812.5;;4012242.0;0.5566461682;;;1.0;1.0;1.0285832882;
;US-NJ;1987;p0p100;3729537.75;;3948154.0;0.5377940536;;;1.0;1.0;1.1488677263;
;US-NJ;1986;p0p100;3693902.5;;3809056.0;0.524953723;;;1.0;1.0;1.1998178959;
;US-NJ;1985;p0p100;3628904.75;;3757859.5;0.5145182014;;;1.0;1.0;1.2409015894;
;US-NJ;1984;p0p100;3566666.0;;3675760.25;0.4985733032;;;1.0;1.0;1.2306629419;
;US-NJ;1983;p0p100;3506454.0;;3560503.5;0.4814707339;;;1.0;1.0;1.1731731892;
;US-NJ;1982;p0p100;3448265.75;;3176623.0;0.4632197618;;;1.0;1.0;1.1410177946;
;US-NJ;1981;p0p100;3396602.5;;3271589.0;0.4366059899;;;1.0;1.0;1.0903964043;
;US-NJ;1980;p0p100;3352063.5;;3354753.0;0.399116993;;;1.0;1.0;1.0109244585;
