Variable Name;.;.;.;Population | tax unit | Population | Adults | population;Population | individuals | Population | All Ages | population;Number of tax returns | tax unit | Population | Adults | population;National income price index | individuals | Indices | All Ages | population;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Number of individuals in a group. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of reports filed containing information used to calculate taxes. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;PPP conversion factor of curent local currency to current PPP EUR.;Official exchange rate of the local currency to EUR.;PPP conversion factor of current local currency to current USD.;Official exchange rate of the local currency to USD.;PPP conversion factor of current local currency to current PPP CNY.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;;;;;;;;
Variable Unit;.;.;.;population;population;population;;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency
Methodological Notes;.;.;.;;;;;;;;;;
Sources;.;.;.;WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);;WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015)
Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-RI;2016;p0p100;;;;1.0;1.3099900484;1.1065329313;1.0;1.0;0.299690634;0.1507654935
;US-RI;2015;p0p100;;;;0.9870161414;1.3047451973;;1.0;1.0;0.2940007746;
;US-RI;2014;p0p100;571951.8125;;521890.0;0.9765984416;1.305574894;;1.0;1.0;0.2891286612;
;US-RI;2013;p0p100;561252.625;;517840.0;0.9593613744;1.2936111689;;1.0;1.0;0.285338074;
;US-RI;2012;p0p100;572835.25;1050292.0;512930.0;0.9441343546;1.2888070345;;1.0;1.0;0.2862385511;
;US-RI;2011;p0p100;574434.875;;513133.96875;0.9270407557;1.28186059;;1.0;1.0;0.2852630615;
;US-RI;2010;p0p100;564612.5;;509091.0;0.9082964063;1.2697501183;;1.0;1.0;0.3020563126;
;US-RI;2009;p0p100;547922.0625;;501586.0;0.897295475;1.262617588;;1.0;1.0;0.3190217614;
;US-RI;2008;p0p100;551109.375;;510709.0;0.890278697;1.2648955584;;1.0;1.0;0.3120010793;
;US-RI;2007;p0p100;554997.8125;;568249.0;0.8734274507;1.2665445805;;1.0;1.0;0.3299844563;
;US-RI;2006;p0p100;557106.8125;;516906.0;0.8507438302;1.2644462585;;1.0;1.0;0.345580399;
;US-RI;2005;p0p100;558935.875;;502440.0;0.8253771663;1.2506828308;;1.0;1.0;0.3466525674;
;US-RI;2004;p0p100;555226.1875;;500314.0;0.7996518016;1.2349227667;;1.0;1.0;0.3501084149;
;US-RI;2003;p0p100;562049.875;;498063.0;0.7782691717;1.2250671387;;1.0;1.0;0.3633489013;
;US-RI;2002;p0p100;553872.5;;498227.0;0.7630601525;1.2275134325;;1.0;1.0;0.3685450256;
;US-RI;2001;p0p100;541126.0;;495959.0;0.7515296936;1.238769412;;1.0;1.0;0.3631632924;
;US-RI;2000;p0p100;537499.0;;494475.0;0.7347952127;1.2406071424;;1.0;1.0;0.3614366651;
;US-RI;1999;p0p100;500546.90625;;481564.0;0.7184196711;1.2302194834;;1.0;1.0;0.3772855997;
;US-RI;1998;p0p100;499047.78125;;472064.0;0.7082802653;1.2326472998;;1.0;1.0;0.3762110472;
;US-RI;1997;p0p100;505213.3125;;463759.0;0.7006801367;1.232254982;;1.0;1.0;0.3748629391;
;US-RI;1996;p0p100;491374.75;;455645.0;0.688826859;1.2088310719;;1.0;1.0;0.3924251497;
;US-RI;1995;p0p100;486950.53125;;451959.0;0.6764978766;1.2180724144;;1.0;1.0;0.4256479144;
;US-RI;1994;p0p100;495148.71875;;448516.0;0.6626616716;;;1.0;1.0;0.4993232191;
;US-RI;1993;p0p100;499473.8125;;446625.0;0.64887923;;;1.0;1.0;0.6194413304;
;US-RI;1992;p0p100;500821.125;;449729.0;0.6337777972;;;1.0;1.0;0.7676845193;
;US-RI;1991;p0p100;508674.25;;458409.0;0.6196454167;;;1.0;1.0;0.8222076297;
;US-RI;1990;p0p100;503283.03125;;468677.0;0.5997613072;;;1.0;1.0;0.8252539039;
;US-RI;1989;p0p100;493309.71875;;476028.0;0.5782889724;;;1.0;1.0;0.9015800357;
;US-RI;1988;p0p100;486518.03125;;473107.0;0.5566461682;;;1.0;1.0;1.0285832882;
;US-RI;1987;p0p100;476416.5;;462777.0;0.5377940536;;;1.0;1.0;1.1488677263;
;US-RI;1986;p0p100;466163.84375;;447240.0;0.524953723;;;1.0;1.0;1.1998178959;
;US-RI;1985;p0p100;457961.25;;441228.75;0.5145182014;;;1.0;1.0;1.2409015894;
;US-RI;1984;p0p100;450106.8125;;431589.09375;0.4985733032;;;1.0;1.0;1.2306629419;
;US-RI;1983;p0p100;442508.21875;;418056.21875;0.4814707339;;;1.0;1.0;1.1731731892;
;US-RI;1982;p0p100;460658.625;;400214.0;0.4632197618;;;1.0;1.0;1.1410177946;
;US-RI;1981;p0p100;449525.5;;410136.0;0.4366059899;;;1.0;1.0;1.0903964043;
;US-RI;1980;p0p100;438495.5;;406989.0;0.399116993;;;1.0;1.0;1.0109244585;
;US-RI;1979;p0p100;441345.28125;;401459.0;0.3660068512;;;1.0;1.0;0.9860848188;
;US-RI;1978;p0p100;424678.71875;;396358.0;0.33810094;;;1.0;1.0;0.9547064304;
