Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Pre-tax national income threshold value at a given percentile.  Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages.;Total Pre-tax national income  within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"UYU; Uruguayan peso | local currency | market";"UYU; Uruguayan peso | local currency | market";"UYU; Uruguayan peso | local currency | market";"UYU; Uruguayan peso | local currency | market";;;"UYU; Uruguayan peso | local currency | market";"UYU; Uruguayan peso | local currency | market";"UYU; Uruguayan peso | local currency | market";share;share;"UYU; Uruguayan peso | local currency | market"
Methodological Notes;.;.;.;Individuals aged 20+. Excludes capital gains.;Individuals aged 20+. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Individuals aged 20+. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Individuals aged 20+. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Individuals aged 20+. Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Individuals aged 20+. Excludes capital gains.
Sources;.;.;.;"Burdín, Gabriel; Esponda, Fernando and Vigorito, Andrea (2013). Inequality and Top Incomes in Uruguay: A comparison between household surveys and income tax micro-data. WTID Working Paper 2014/1. Series updated by G. Burdín, M. de Rosa, and A. Vigorito.";"Burdín, Gabriel; Esponda, Fernando and Vigorito, Andrea (2013). Inequality and Top Incomes in Uruguay: A comparison between household surveys and income tax micro-data. WTID Working Paper 2014/1. Series updated by G. Burdín, M. de Rosa, and A. Vigorito.";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Burdín, Gabriel; Esponda, Fernando and Vigorito, Andrea (2013). Inequality and Top Incomes in Uruguay: A comparison between household surveys and income tax micro-data. WTID Working Paper 2014/1. Series updated by G. Burdín, M. de Rosa, and A. Vigorito.";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Burdín, Gabriel; Esponda, Fernando and Vigorito, Andrea (2013). Inequality and Top Incomes in Uruguay: A comparison between household surveys and income tax micro-data. WTID Working Paper 2014/1. Series updated by G. Burdín, M. de Rosa, and A. Vigorito.";WID.world computations using fiscal and net national income.;"Burdín, Gabriel; Esponda, Fernando and Vigorito, Andrea (2013). Inequality and Top Incomes in Uruguay: A comparison between household surveys and income tax micro-data. WTID Working Paper 2014/1. Series updated by G. Burdín, M. de Rosa, and A. Vigorito.";WID.world computations using fiscal and net national income.;"Burdín, Gabriel; Esponda, Fernando and Vigorito, Andrea (2013). Inequality and Top Incomes in Uruguay: A comparison between household surveys and income tax micro-data. WTID Working Paper 2014/1. Series updated by G. Burdín, M. de Rosa, and A. Vigorito."
Variable Code;country;year;perc;afiinc992i;afiinc992t;aptinc992i;aptinc992t;bfiinc992i;bptinc992i;tptinc992i;mfiinc999i;mptinc999i;sfiinc992i;sptinc992i;tfiinc992i
;UY;2012;p0p100;281734.28125;281734.28125;496473.125;496473.125;;;;6.79052312576e+11;1.1966283776e+12;;;
;UY;2012;p99p100;3944283.5;;6950630.0;;1.9029331207;1.9029331207;3652587.75;;;0.1400000006;0.1400000006;2072739.0
;UY;2012;p99.9p100;12959943.0;;22838058.0;;2.0805838108;2.0805835724;10976755.0;;;0.0460000001;0.0460000001;6228994.0
;UY;2012;p99.99p100;42253128.0;;74458608.0;;1.9361745119;1.9361747503;38456556.0;;;0.0149999997;0.0149999997;21822996.0
;UY;2012;p90p100;1272895.5;;2243101.0;;1.9344613552;1.9344614744;1159548.0;;;0.4518072307;0.4518072307;658010.3125
;UY;2012;p90p95;758080.0;;1335891.25;;;;1159548.0;;;0.1345381588;0.1345381588;658010.3125
;UY;2012;p95p99;1248568.75;;2200232.0;;;;1711741.125;;;0.1772690713;0.1772690713;971364.0625
;UY;2012;p99.5p99.9;3732971.5;;6578255.5;;;;5023122.0;;;0.0529999994;0.0529999994;2850477.75
;UY;2012;p99.95p99.99;12677828.0;;22340912.0;;;;15638285.0;;;0.0179999992;0.0179999992;8874279.0
;UY;2012;p99.9p99.95;7325622.0;;12909237.0;;;;10976755.0;;;0.0130000003;0.0130000003;6228994.0
;UY;2012;p99.9p99.99;9704498.0;;17101300.0;;;;10976755.0;;;0.0309999995;0.0309999995;6228994.0
;UY;2012;p99p99.5;2310223.25;;4071083.5;;;;3652587.75;;;0.0410000011;0.0410000011;2072739.0
;UY;2012;p95p100;1787711.0;;3150310.5;;1.8404129744;1.8404129744;1711741.125;;;0.3172690868;0.3172690868;971364.0625
;UY;2012;p99.5p100;5578344.0;;9830177.0;;1.9569855928;1.9569854736;5023122.0;;;0.0989999995;0.0989999995;2850477.75
;UY;2012;p99.95p100;18593594.0;;32765694.0;;2.09522295;2.09522295;15638285.0;;;0.0329999998;0.0329999998;8874279.0
;UY;2011;p0p100;273263.46875;273263.46875;507334.84375;507334.84375;;;;6.53342343168e+11;1.21298078925e+12;;;
;UY;2011;p99p100;3934997.5;;7305628.5;;1.9569042921;1.9569044113;3733257.75;;;0.1439999938;0.1439999938;2010827.75
;UY;2011;p99.9p100;13390082.0;;24859726.0;;2.1758365631;2.1758365631;11425365.0;;;0.0489999987;0.0489999987;6153992.5
;UY;2011;p99.99p100;51911440.0;;96377624.0;;2.523624897;2.523624897;38190156.0;;;0.0189999994;0.0189999994;20570190.0
;UY;2011;p90p100;1320773.0;;2452117.75;;2.0740842819;2.0740842819;1182265.25;;;0.4833333194;0.4833333194;636798.125
;UY;2011;p90p95;767740.0;;1425369.0;;;;1182265.25;;;0.140476197;0.140476197;636798.125
