year,ARE,SGP,USA,MWI,ARG,TUR,KEN,KOR,MUS,HUN,NOR,OMN,KWT,GHA,BRA,JOR,EGY,DNK,AUS,NGA,ESP,MYS,IND,QAT,CZE,GBR,THA,UGA,ZAF,SAU,LBN,ZMB,IRQ,YEM,RUS,SYC,ITA,URY,SYR,JPN,FRA,NZL
2016,,,,,,12733.0,,29158.0,,,,,,,,,,,,,,,,,,,6194.0,,,,,,,,,,,,,,,
2015,,,,,,12608.0,,28559.0,,,,,,,11156.0,,5782.0,,57469.0,,,,,,16224.0,,5923.0,,,,,,,,10558.0,,,,,,,
2014,,55799.0,67455.0,,,12459.0,,28137.0,,,,,,,11879.0,,,,57052.0,,,,,,15338.0,49506.0,5802.0,,,,10859.0,,,,11059.0,,,,,,39680.0,44453.0
2013,,55520.0,66211.0,,,12360.0,,27788.0,,,,,49385.0,,12690.0,7942.0,,,56937.0,,,,2179.0,,15068.0,49121.0,5734.0,,,,11168.0,,,,11003.0,,,,,,39446.0,43390.0
2012,,54214.0,65976.0,,,12158.0,,27478.0,,,,,,,12192.0,,5547.0,,56518.0,,25342.0,10896.0,2093.0,14690.0,15214.0,48717.0,5784.0,,9374.0,,12313.0,,,,11046.0,,,16597.0,,,39337.0,41972.0
2011,,54044.0,64269.0,,,12198.0,,27214.0,10434.0,,85350.0,,,,12016.0,,,,54854.0,,25945.0,10927.0,2047.0,,15154.0,49273.0,5619.0,,9444.0,,13171.0,,,,10714.0,,,16960.0,,,39995.0,41443.0
2010,,52161.0,63043.0,,,11395.0,,26661.0,10186.0,,85646.0,47.0,,,11691.0,8234.0,5553.0,58336.0,54129.0,,26513.0,10294.0,1940.0,,14870.0,49030.0,5541.0,,9220.0,,13332.0,,,,9965.0,,,16053.0,,31137.0,39349.0,40509.0
2009,38526.0,45831.0,61246.0,,,10544.0,,24938.0,10514.0,,85463.0,,,,11203.0,,,56364.0,54469.0,,26582.0,9372.0,1812.0,,14669.0,49596.0,5213.0,,8922.0,,13108.0,,,,9550.0,,32276.0,15378.0,,29537.0,38620.0,40803.0
2008,,48140.0,63819.0,,,11517.0,,25382.0,10715.0,11031.0,89467.0,,,,11485.0,9024.0,5752.0,59976.0,54564.0,,27724.0,10832.0,1744.0,,15935.0,52299.0,5322.0,,9053.0,30596.0,12787.0,,,,10558.0,,34390.0,,,31734.0,40559.0,40012.0
2007,,48944.0,65104.0,,,11712.0,,25338.0,10469.0,11096.0,90462.0,,71661.0,,11254.0,,,60190.0,53498.0,,28096.0,9961.0,1695.0,14762.0,15803.0,52386.0,5369.0,,8958.0,,12122.0,,5080.0,,10155.0,,35657.0,,,32610.0,41035.0,41191.0
2006,,45966.0,65751.0,,,11392.0,,24212.0,9872.0,11551.0,89783.0,,,,10776.0,8557.0,,60829.0,52925.0,,27902.0,9325.0,1572.0,,15152.0,52233.0,5117.0,,8771.0,,11024.0,,,4289.0,9321.0,,35524.0,,,32036.0,40418.0,40014.0
2005,,43421.0,64058.0,,,10870.0,,23221.0,9950.0,11246.0,89010.0,,,,10576.0,,,58337.0,52339.0,,27469.0,8872.0,1468.0,,14501.0,51354.0,4884.0,,8427.0,,11116.0,,,,8609.0,,34903.0,,,31516.0,39781.0,40066.0
2004,,41682.0,62586.0,,22308.0,10165.0,,22734.0,9885.0,10934.0,85588.0,,,,10488.0,,4904.0,55878.0,52127.0,,27263.0,8110.0,1380.0,,13622.0,50292.0,4785.0,,8139.0,,,,,,8111.0,,34795.0,,7669.0,31006.0,39432.0,40197.0
