year,AE,BH,BR,CZ,EG,FR,IN,IQ,JO,KW,LB,OM,PS,QA,SA,SY,TH,TR,US,XM,YE
2017,,,,10544422.0,,,,,,,,,,,,,69037512.0,,,,
2016,9266971.0,1396829.0,209567920.0,10537118.0,93383568.0,66142540.0,1326801664.0,37547688.0,7747800.0,4007146.0,5988153.0,4654471.0,4797239.0,2291368.0,32157974.0,18563596.0,68863512.0,79622064.0,323593376.0,408945619.0,27477600.0
2015,9156963.0,1377237.0,207847520.0,10529983.0,91508080.0,65851544.0,1311050496.0,36423396.0,7594547.0,3892115.0,5850743.0,4490541.0,4668466.0,2235355.0,31540372.0,18502412.0,68657600.0,78665832.0,321704000.0,401847547.0,26832216.0
2014,9086139.0,1361930.0,206077904.0,10524783.0,89579672.0,65558808.0,1295291520.0,35273292.0,7416083.0,3753121.0,5612096.0,4236057.0,4542059.0,2172065.0,30886544.0,18772480.0,68416768.0,77523792.0,319233000.0,394542654.0,26183676.0
2013,9039978.0,1349427.0,204259376.0,10510719.0,87613912.0,65263088.0,1279498880.0,34107368.0,7214832.0,3593689.0,5286990.0,3906912.0,4418341.0,2101288.0,30201052.0,19322592.0,68143064.0,76223640.0,316796000.0,387065685.0,25533216.0
2012,8952542.0,1333577.0,202401584.0,10509286.0,85660904.0,64961432.0,1263589632.0,32957622.0,6994451.0,3419581.0,4924257.0,3545192.0,4297826.0,2015624.0,29496048.0,19978756.0,67843976.0,74849184.0,314490000.0,379465332.0,24882792.0
2011,8734722.0,1306014.0,200517584.0,10496672.0,83787632.0,64649780.0,1247446016.0,31867758.0,6760371.0,3239181.0,4591698.0,3210003.0,4181135.0,1905437.0,28788438.0,20501168.0,67530128.0,73517000.0,312169000.0,371809817.0,24234940.0
2010,8329453.0,1261319.0,198614208.0,10517247.0,82040992.0,64325268.8973,1230984448.0,30868156.0,6517912.0,3059473.0,4337156.0,2943747.0,4068780.0,1765513.0,28090648.0,20720602.0,67208808.0,72310416.0,309807000.0,364159515.0,23591972.0
2009,7705423.0,1196774.0,196701296.0,10491492.0,80442440.0,64048540.1992,1214182144.0,29970634.0,6266865.0,2881243.0,4181742.0,2762073.0,3959988.0,1591151.0,27409492.0,20566872.0,66881868.0,71261304.0,307240000.0,356521211.0,22954226.0
2008,6900142.0,1115777.0,194769696.0,10429692.0,78976120.0,63723196.6949,1197070080.0,29163328.0,6010035.0,2705290.0,4109389.0,2652281.0,3854667.0,1388962.0,26742842.0,20097056.0,66545760.0,70344360.0,304543000.0,348913645.0,22322700.0
2007,6010100.0,1026568.0,192784528.0,10322689.0,77605328.0,63387495.9418,1179685632.0,28423538.0,5759424.0,2538591.0,4085426.0,2593750.0,3754693.0,1178955.0,26083522.0,19425596.0,66195616.0,69515488.0,301696000.0,341422939.0,21701104.0
2006,5171255.0,940808.0,190698240.0,10266646.0,76274288.0,62995133.7873,1162088320.0,27716984.0,5530218.0,2389498.0,4057041.0,2553376.0,3662561.0,988448.0,25419994.0,18728200.0,65824164.0,68704720.0,298818000.0,334154531.0,21093972.0
2005,4481976.0,867014.0,188479232.0,10234092.0,74942112.0,62634126.5021,1144326272.0,27017712.0,5332982.0,2263604.0,3986865.0,2506891.0,3579462.0,836924.0,24745230.0,18132842.0,65425472.0,67860616.0,295993000.0,327180726.0,20504384.0
2004,3975945.0,807989.0,186116368.0,10206923.0,73596064.0,62257572.5817,1126419328.0,26320530.0,5171633.0,2166344.0,3863271.0,2448194.0,3507096.0,732096.0,24055572.0,17671912.0,65002232.0,66973560.0,293262000.0,320543774.0,19931616.0
2003,3625798.0,761595.0,183627344.0,10201651.0,72247624.0,61838482.5893,1108369536.0,25630426.0,5042538.0,2095993.0,3701464.0,2385075.0,3443333.0,668165.0,23357888.0,17304340.0,64554952.0,66060120.0,290626000.0,314220443.0,19374012.0
2002,3394060.0,725365.0,181045600.0,10200774.0,70908712.0,61406144.9569,1090189312.0,24943792.0,4938935.0,2042215.0,3522842.0,2323203.0,3380907.0,634388.0,22668102.0,16997520.0,64073164.0,65125768.0,287955000.0,308134585.0,18832096.0
2001,3217865.0,694893.0,178419392.0,10224192.0,69599944.0,60970280.9658,1071888192.0,24258794.0,4850227.0,1990022.0,3359875.0,2272547.0,3309978.0,613720.0,22007936.0,16694414.0,63543320.0,64182696.0,285225000.0,302171935.0,18306288.0
