Country Name,Country Code,Year,Value
Central Europe and the Baltics,CEB,1990,256391119869.734
Central Europe and the Baltics,CEB,1991,242844938128.091
Central Europe and the Baltics,CEB,1992,260069791613.87
Central Europe and the Baltics,CEB,1993,274192522357.49
Central Europe and the Baltics,CEB,1994,311016433450.634
Central Europe and the Baltics,CEB,1995,386483907816.169
Central Europe and the Baltics,CEB,1996,412961998506.857
Central Europe and the Baltics,CEB,1997,409177928370.546
Central Europe and the Baltics,CEB,1998,447675022512.855
Central Europe and the Baltics,CEB,1999,434158663027.362
Central Europe and the Baltics,CEB,2000,427826438350.621
Central Europe and the Baltics,CEB,2001,468434348786.6
Central Europe and the Baltics,CEB,2002,527515753116.019
Central Europe and the Baltics,CEB,2003,634885340805.817
Central Europe and the Baltics,CEB,2004,763009793236.826
Central Europe and the Baltics,CEB,2005,886484956908.554
Central Europe and the Baltics,CEB,2006,1002687667760.64
Central Europe and the Baltics,CEB,2007,1262018642144.73
Central Europe and the Baltics,CEB,2008,1524160100132.74
Central Europe and the Baltics,CEB,2009,1281584484589.85
Central Europe and the Baltics,CEB,2010,1313815361437.81
Central Europe and the Baltics,CEB,2011,1446816247840
Central Europe and the Baltics,CEB,2012,1351348603800.8
Central Europe and the Baltics,CEB,2013,1422416711189.95
Central Europe and the Baltics,CEB,2014,1463360359358.05
Central Europe and the Baltics,CEB,2015,1285572776919.07
Central Europe and the Baltics,CEB,2016,1312157690492.89
East Asia & Pacific,EAS,1960,153611968410.868
East Asia & Pacific,EAS,1961,154058410879.326
East Asia & Pacific,EAS,1962,157634158384.164
East Asia & Pacific,EAS,1963,175902438691.371
East Asia & Pacific,EAS,1964,202099658345.593
East Asia & Pacific,EAS,1965,225097031930.026
East Asia & Pacific,EAS,1966,251654220084.227
East Asia & Pacific,EAS,1967,272677391514.359
East Asia & Pacific,EAS,1968,300494755214.571
East Asia & Pacific,EAS,1969,346159376816.483
East Asia & Pacific,EAS,1970,407482340310.948
East Asia & Pacific,EAS,1971,452155385439.724
East Asia & Pacific,EAS,1972,561124915613.103
East Asia & Pacific,EAS,1973,739677042363.32
East Asia & Pacific,EAS,1974,852154564637.675
East Asia & Pacific,EAS,1975,933155076408.682
East Asia & Pacific,EAS,1976,1026039624283.15
East Asia & Pacific,EAS,1977,1223069163831.1
East Asia & Pacific,EAS,1978,1542745010316.58
East Asia & Pacific,EAS,1979,1675126322202.62
East Asia & Pacific,EAS,1980,1811621650857.12
East Asia & Pacific,EAS,1981,2000329444916.93
East Asia & Pacific,EAS,1982,1959327051346.86
East Asia & Pacific,EAS,1983,2078325205696.09
East Asia & Pacific,EAS,1984,2229496400059.14
East Asia & Pacific,EAS,1985,2363703214005.83
East Asia & Pacific,EAS,1986,3081288169010.05
East Asia & Pacific,EAS,1987,3603282407781.65
East Asia & Pacific,EAS,1988,4336305608499.4
East Asia & Pacific,EAS,1989,4535368154904.11
East Asia & Pacific,EAS,1990,4746999011159.47
East Asia & Pacific,EAS,1991,5345047818273.24
East Asia & Pacific,EAS,1992,5835758398326.51
East Asia & Pacific,EAS,1993,6552477292052.35
East Asia & Pacific,EAS,1994,7313623815311.39
East Asia & Pacific,EAS,1995,8310311039754.74
East Asia & Pacific,EAS,1996,8008587857961.38
East Asia & Pacific,EAS,1997,7662988542672.2
East Asia & Pacific,EAS,1998,6863955800395.99
East Asia & Pacific,EAS,1999,7665318632852.15
East Asia & Pacific,EAS,2000,8291881372201.96
East Asia & Pacific,EAS,2001,7712927229834.08
East Asia & Pacific,EAS,2002,7837074972126.93
East Asia & Pacific,EAS,2003,8617381783014.6
East Asia & Pacific,EAS,2004,9663708744825.51
East Asia & Pacific,EAS,2005,10311337123730.3
East Asia & Pacific,EAS,2006,10939731186788.5
East Asia & Pacific,EAS,2007,12236995324293.9
