,year,AFG,AGO,ALB,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGR,BHR,BIH,BLR,BLZ,BRA,BRB,BRN,BTN,BWA,BGD,BOL,MMR,CAN,CHE,CHL,CHN,CMR,COL,CPV,CUB,CYP,CAF,COM,CRI,CZE,CIV,DEU,DJI,DMA,DNK,DZA,COD,DOM,ECU,EGY,ERI,ESP,EST,ETH,SLV,FIN,FJI,FRA,GAB,GEO,GHA,GIN,GNB,GNQ,GRC,GUY,GTM,HKG,HRV,HTI,HND,HUN,IDN,IND,IRL,IRQ,ISL,ISR,ITA,IRN,JOR,JPN,JAM,KAZ,KEN,KHM,KIR,KWT,XKX,KGZ,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,Laos,MAR,MDG,MDV,MEX,MLI,MLT,MNE,MNG,MRT,MUS,MWI,MAC,MKD,MYS,FSM,MDA,MOZ,NAM,NGA,NOR,NPL,NZL,NLD,NIC,NER,PRK,OMN,PER,PNG,POL,PRT,PAK,PAN,PRY,PHL,QAT,ROU,RWA,COG,RUS,SAU,SEN,SGP,SLB,SLE,SOM,SUR,SVK,SVN,SWE,SWZ,SYC,Serbia ,KOR,SDN,SYR,STP,TCD,TGO,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,THA,BHS,GMB,UGA,UKR,UZB,ARE,GBR,USA,URY,VCT,VUT,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
0,1995,,0.0,34.3,86.6,,53.9,9.6,,,,,,50.5,71.7,,31.5,64.7,74.4,,,,55.1,91.5,60.7,,14.8,,87.0,93.7,89.8,86.0,,0.0,,,,90.8,38.2,86.1,30.6,,,,69.5,97.2,95.3,94.9,53.7,,36.8,63.3,88.5,93.6,,72.5,15.7,76.0,,81.8,86.4,,,55.3,30.3,96.6,93.5,,95.5,83.4,0.0,89.7,92.4,38.7,,,30.0,3.6,,70.6,67.7,76.5,,63.0,,,,,,,,,,,78.3,,,,,,72.8,87.9,,86.8,80.6,51.8,,17.3,,,64.1,,,78.3,,72.1,74.8,,0.0,,,,,75.1,,0.0,52.7,89.5,,9.6,36.0,82.1,84.0,91.5,88.4,,52.2,,,67.1,,,88.1,,91.5,,,22.3,,0.0,69.3,,,85.6,74.6,,,,,,,,,,69.1,63.3,69.9,90.6,92.8,86.9,,89.6,47.1,,,37.3,57.8,79.6,,,76.1,87.1,,73.4,63.3,74.8,65.3
1,1996,,0.0,51.0,89.4,0.0,53.4,0.0,48.8,,7.3,90.5,84.3,30.6,72.5,,0.0,68.7,74.4,71.5,,,46.6,92.0,75.3,81.3,18.3,53.4,85.9,94.6,88.0,99.2,30.9,0.0,67.9,,,90.5,38.2,86.4,27.1,,,0.0,60.7,97.2,89.3,92.5,61.8,,26.8,59.2,88.5,92.0,0.0,74.4,8.3,75.5,61.3,74.8,89.1,,,50.5,37.3,96.6,92.0,50.5,97.7,82.7,0.0,90.0,88.7,39.0,10.2,,27.7,0.1,92.1,62.8,63.9,76.5,,62.6,,,10.9,,,79.9,,73.0,,,78.1,38.7,62.4,37.1,50.8,90.2,73.2,87.3,,93.1,83.4,50.8,,17.3,80.3,,78.8,,,82.7,,72.1,88.6,,0.0,8.9,91.3,48.6,6.6,68.5,92.0,0.0,49.3,93.4,69.3,32.6,31.5,66.3,85.2,92.8,89.4,,64.9,,54.8,66.5,46.3,87.0,90.7,,91.5,,45.8,22.0,34.6,0.0,68.7,,,86.4,74.6,73.5,,,,,,,,77.5,64.3,57.1,70.0,90.6,92.1,83.6,,89.6,47.1,,47.1,37.3,57.8,66.9,,,76.1,79.1,2.2,75.3,62.2,74.1,63.7
2,1997,,0.0,60.3,90.0,41.7,55.1,1.2,61.6,81.5,14.8,88.2,85.3,37.3,73.4,,32.9,88.2,80.8,73.0,,,46.6,94.2,76.1,85.2,25.9,54.4,86.6,95.4,88.8,99.3,17.0,0.0,67.9,,,87.9,35.4,88.9,28.0,44.5,,0.0,65.5,97.2,89.6,91.0,72.3,,32.9,55.5,79.9,92.0,0.0,77.5,9.6,80.5,82.3,70.8,90.8,,,54.4,61.8,97.5,93.0,50.5,98.7,82.9,0.0,90.3,88.7,41.1,10.2,40.6,32.0,10.6,85.1,65.1,63.0,76.6,,71.0,91.8,,0.8,,,78.5,,61.1,,,69.1,35.4,58.0,40.6,56.2,82.4,76.3,88.2,,82.7,77.8,47.8,,41.4,83.9,,85.9,,,83.6,,45.6,71.4,60.5,47.3,12.2,93.5,53.9,14.1,61.1,89.6,0.0,46.3,92.0,74.2,26.8,36.5,71.2,87.1,92.2,87.9,,65.5,92.2,59.8,58.5,56.7,86.8,94.0,,88.9,,61.1,22.0,36.2,0.0,67.5,,,86.9,86.5,75.3,,89.1,,,,,,79.6,65.7,61.8,71.4,92.7,91.3,87.8,80.8,89.6,49.1,,49.1,39.3,60.0,67.1,,,47.1,78.9,25.0,74.8,65.3,69.5,67.1
3,1998,,0.0,66.5,83.3,75.1,54.8,1.5,87.9,79.6,16.4,85.3,86.9,48.8,78.1,16.7,44.5,64.7,74.4,73.0,,,63.0,93.5,77.5,84.3,29.4,56.2,88.1,95.9,92.2,99.1,19.8,0.0,67.7,,,87.0,39.3,88.5,26.8,55.1,,0.0,69.3,97.2,91.8,90.9,76.5,,39.3,50.1,80.6,91.9,0.0,79.6,8.6,78.6,95.5,72.3,90.5,,,52.5,53.7,97.3,92.4,39.5,96.6,85.1,2.9,94.3,89.7,48.3,10.2,42.4,32.3,14.5,84.8,64.3,60.9,73.5,85.7,74.2,91.6,,16.4,,72.6,70.8,,61.1,,,66.3,32.0,59.4,37.9,56.2,85.2,73.7,90.7,,80.9,81.4,49.6,,51.0,82.7,,80.2,,,85.3,,52.7,82.1,60.7,71.7,20.1,89.6,55.8,20.7,58.3,92.9,0.0,42.2,91.4,75.1,33.2,39.3,72.6,87.3,90.0,88.9,,64.3,88.0,67.5,67.3,59.2,88.2,92.1,,93.2,,48.6,35.4,37.3,0.0,73.5,,,87.3,82.7,74.1,,90.2,,89.3,84.1,,,78.5,64.3,68.5,73.7,92.1,91.9,87.4,80.2,91.6,51.0,56.5,51.0,40.3,60.3,69.3,,,67.9,83.0,17.3,80.3,67.3,74.2,55.3
4,1999,,0.0,72.5,83.9,82.1,56.0,3.2,87.5,76.6,15.7,88.6,86.4,46.3,80.8,16.7,45.3,74.9,79.2,67.9,,,59.4,94.5,77.8,95.0,34.9,54.4,87.1,95.1,92.2,98.9,44.8,10.2,62.4,,,85.9,44.8,88.7,24.1,63.9,,0.0,72.8,97.2,91.2,91.4,74.2,,42.7,50.8,78.9,90.3,0.0,73.0,7.6,83.3,86.6,73.5,92.1,65.9,81.4,55.8,54.6,97.3,92.9,38.4,97.2,86.9,12.8,95.4,90.6,53.0,10.2,43.5,28.8,15.1,84.0,67.7,59.8,62.2,89.6,76.1,92.0,,40.6,,83.7,70.0,,61.1,,,71.7,30.0,64.9,37.9,56.7,85.7,95.1,90.5,,86.3,82.9,41.9,,61.1,73.4,85.1,84.3,,,84.7,,55.1,87.4,60.7,78.3,27.4,88.4,58.0,26.2,59.4,95.8,0.0,56.0,91.3,79.2,36.0,37.1,70.6,86.8,90.1,90.6,47.8,65.1,85.1,67.3,65.3,56.9,90.1,93.4,,90.7,,13.8,17.6,39.5,0.0,72.8,,,85.5,78.8,76.5,,90.0,86.6,89.3,92.3,,,79.1,62.0,57.1,78.3,92.5,91.2,87.1,72.5,92.1,43.0,52.5,43.0,44.5,61.3,70.0,,,77.1,81.4,36.8,52.5,66.7,77.6,64.3
5,2000,,0.0,74.8,79.7,86.8,63.3,25.0,76.5,83.3,18.9,97.6,85.5,54.4,79.7,52.0,39.3,74.8,71.2,67.3,,,54.4,90.3,65.3,97.0,41.9,28.0,85.5,90.3,94.1,84.1,52.0,0.0,54.4,,,88.0,49.6,73.0,28.0,63.3,,0.0,63.3,96.4,93.3,78.1,54.4,,47.1,25.0,82.7,94.1,0.0,63.3,12.5,79.7,86.8,84.1,89.2,67.3,81.3,54.4,44.5,96.4,92.3,41.9,90.3,86.8,39.3,76.5,73.0,63.3,10.2,58.9,9.3,22.0,79.7,65.3,63.3,73.0,88.0,78.1,91.3,,39.3,,86.8,41.9,,61.1,,,79.7,30.9,63.3,67.3,47.1,85.5,88.0,84.1,,92.3,82.7,36.5,,63.3,84.1,82.7,82.7,,,81.3,,85.5,82.7,71.2,71.2,41.9,88.0,47.1,28.0,76.5,92.3,0.0,67.3,88.0,73.5,33.7,41.9,78.1,78.1,89.2,89.2,47.1,63.3,96.4,56.7,73.0,82.7,89.2,91.3,,90.3,,56.7,25.0,36.5,0.0,76.5,,,85.5,90.1,65.3,,84.1,86.8,90.3,79.7,,,81.3,71.2,82.7,84.1,94.1,88.0,85.5,90.3,91.3,41.9,65.3,65.7,49.6,69.3,69.3,,,86.8,84.1,56.0,41.9,67.3,81.3,58.9
6,2001,,,71.2,79.7,85.5,67.3,25.0,86.8,,22.0,97.0,76.5,67.3,73.0,0.0,41.9,74.8,71.2,65.3,,,61.1,93.3,74.8,95.7,47.1,22.0,84.1,94.1,89.2,88.0,61.1,0.0,58.9,,,88.0,49.6,82.7,33.7,67.3,,0.0,63.3,,93.3,85.5,54.4,,54.4,67.3,78.1,94.1,28.0,63.3,18.9,63.3,89.2,84.1,92.3,81.3,90.3,54.4,54.4,94.9,91.0,33.7,95.7,86.8,41.9,86.8,76.5,71.2,10.2,58.9,30.9,28.0,82.7,61.1,58.9,84.1,88.0,76.5,94.1,,44.5,,86.8,63.3,,54.6,,,81.3,28.0,73.0,58.9,65.3,81.3,82.7,84.1,,85.5,81.3,41.9,,47.1,79.7,84.1,73.0,,,85.5,,76.5,85.5,69.3,74.8,36.5,88.0,49.6,25.0,71.2,91.3,0.0,67.3,92.3,73.5,44.5,41.9,90.3,74.8,90.3,88.0,47.1,79.7,95.7,89.2,73.0,65.3,89.2,90.3,,,,78.1,39.3,47.1,2.5,74.8,,,79.7,,65.3,,85.5,93.3,92.3,79.7,,,76.5,58.9,73.0,79.7,94.1,90.3,89.2,90.3,92.3,49.6,65.3,51.3,52.0,71.2,71.2,,,88.0,86.8,48.8,33.7,78.1,74.8,61.1
7,2002,,,67.3,76.5,81.3,61.1,18.9,88.0,,28.0,90.3,78.1,49.6,74.8,0.0,36.5,74.8,71.2,65.3,,,44.5,93.3,69.3,95.7,49.6,56.7,82.7,92.3,89.2,89.2,49.6,12.5,58.9,88.0,,85.5,33.7,85.5,36.5,67.3,,5.9,71.2,,93.3,84.1,71.2,,52.0,54.4,71.2,93.3,28.0,76.5,15.7,76.5,85.5,79.7,92.3,79.7,92.3,54.4,47.1,95.7,90.3,25.0,95.7,82.7,28.0,86.8,78.1,69.3,10.2,44.5,33.7,33.7,79.7,63.3,54.4,56.7,84.1,78.1,91.3,,41.9,,61.1,61.1,,64.7,,,81.3,5.9,69.3,52.0,49.6,91.3,69.3,90.3,,85.5,82.7,30.9,74.8,54.4,79.7,84.1,74.8,,63.3,84.1,,76.5,81.3,69.3,74.8,41.9,89.2,49.6,39.3,81.3,90.3,0.0,47.1,91.3,,49.6,39.3,85.5,76.5,92.3,88.0,56.7,58.9,88.0,67.3,58.9,71.2,86.8,90.3,,,,65.3,33.7,41.9,2.5,71.2,,74.8,82.7,,63.3,,89.2,89.2,91.3,81.3,,,76.5,69.3,58.9,82.7,94.1,90.3,89.2,84.1,90.3,58.9,69.3,58.3,58.9,65.3,69.3,,,89.2,90.3,,69.3,79.7,76.5,52.0
8,2003,,,70.4,76.8,84.1,58.9,18.6,87.0,,26.8,87.9,78.1,56.7,79.2,3.2,41.1,60.9,82.7,64.7,,,46.8,94.0,73.0,98.7,47.8,55.3,81.8,90.2,90.9,87.6,36.5,18.3,59.8,92.7,,83.6,45.6,90.2,30.0,67.9,,9.9,74.9,,93.5,85.7,72.8,,52.2,58.3,67.1,93.1,28.0,74.4,15.7,85.7,88.9,77.0,91.6,47.3,96.7,50.3,7.9,95.5,90.2,28.6,96.7,83.6,22.3,91.1,71.9,66.3,,43.0,10.9,29.4,89.6,64.9,56.7,65.3,85.2,85.2,92.5,,48.8,,90.3,65.1,,72.1,,,80.3,25.3,71.5,51.5,58.0,87.9,67.9,90.2,,84.7,83.0,36.8,89.2,50.8,72.5,81.5,70.0,,85.7,82.9,,78.6,77.6,62.0,75.8,41.4,90.9,53.0,35.4,82.3,92.1,0.0,33.7,88.8,,46.1,35.7,83.9,78.3,92.8,88.6,70.2,62.4,89.5,80.5,64.5,66.7,88.0,90.2,,75.3,,48.1,22.3,40.6,2.9,72.5,,89.2,81.8,,71.0,,87.6,88.9,94.0,88.7,,,81.8,67.9,45.0,81.3,92.2,93.1,88.8,85.3,78.5,68.1,72.6,68.1,51.0,63.5,70.2,,,86.3,83.0,,63.5,80.0,72.8,63.5
9,2004,,,72.3,78.8,88.7,60.5,21.0,87.9,,23.5,87.6,84.9,64.5,76.6,18.3,36.8,64.7,68.1,58.9,,,54.6,94.1,69.9,98.7,50.5,55.8,81.5,88.4,89.4,66.9,69.7,14.8,56.2,89.5,,78.1,40.9,91.7,29.4,73.5,,8.3,62.4,,92.8,76.8,76.8,,52.7,55.5,73.4,90.8,25.0,71.7,14.5,84.1,90.1,67.9,89.1,46.8,99.3,53.2,14.5,95.0,89.5,22.9,96.9,79.7,20.1,84.4,77.1,66.3,,37.9,7.6,31.7,80.2,66.3,55.1,61.3,84.1,79.2,91.0,,42.2,,84.4,60.3,,68.1,,,77.3,41.7,70.6,41.4,62.2,87.1,70.4,89.8,,83.1,81.8,11.5,,43.8,80.5,82.9,67.1,,48.1,74.2,,74.2,63.9,61.3,68.9,31.7,88.6,55.8,32.3,82.6,91.6,0.0,58.3,87.5,,35.1,36.2,86.3,76.5,87.8,88.8,69.7,74.8,89.5,70.0,65.1,58.5,85.9,91.1,,72.8,,62.2,42.4,40.6,0.0,71.7,,,80.8,,72.1,,90.3,92.0,93.0,80.8,,,83.1,69.3,56.9,82.3,92.0,91.1,87.1,79.7,88.2,77.8,76.3,58.0,50.1,62.2,60.0,,,79.2,82.1,,66.5,79.7,69.1,63.5
