,year,AFG,AGO,ALB,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGR,BHR,BIH,BLR,BLZ,BRA,BRB,BRN,BTN,BWA,BGD,BOL,MMR,CAN,CHE,CHL,CHN,CMR,COL,CPV,CUB,CYP,CAF,COM,CRI,CZE,CIV,DEU,DJI,DMA,DNK,DZA,COD,DOM,ECU,EGY,ERI,ESP,EST,ETH,SLV,FIN,FJI,FRA,GAB,GEO,GHA,GIN,GNB,GNQ,GRC,GUY,GTM,HKG,HRV,HTI,HND,HUN,IDN,IND,IRL,IRQ,ISL,ISR,ITA,IRN,JOR,JPN,JAM,KAZ,KEN,KHM,KIR,KWT,XKX,KGZ,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,Laos,MAR,MDG,MDV,MEX,MLI,MLT,MNE,MNG,MRT,MUS,MWI,MAC,MKD,MYS,FSM,MDA,MOZ,NAM,NGA,NOR,NPL,NZL,NLD,NIC,NER,PRK,OMN,PER,PNG,POL,PRT,PAK,PAN,PRY,PHL,QAT,ROU,RWA,COG,RUS,SAU,SEN,SGP,SLB,SLE,SOM,SUR,SVK,SVN,SWE,SWZ,SYC,Serbia ,KOR,SDN,SYR,STP,TCD,TGO,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,THA,BHS,GMB,UGA,UKR,UZB,ARE,GBR,USA,URY,VCT,VUT,VEN,VNM,WSM,YEM,ZAF,ZMB,ZWE
0,1995,,0.0,22.1,61.1,,86.7,82.9,,,,,,26.3,86.7,,0.0,86.5,0.0,,,,65.9,72.9,79.5,,85.9,,66.2,68.4,80.9,63.7,,62.9,,,,70.9,69.2,79.7,81.6,,,,59.2,0.0,76.2,46.3,72.0,,75.8,0.0,72.0,69.4,,75.5,80.5,78.9,,66.2,75.9,,,65.3,64.0,66.9,80.8,,52.8,67.8,64.2,70.9,71.7,86.1,,,73.2,81.1,,77.5,87.0,50.9,,50.4,,,,,,,,,,,78.4,,,,,,75.0,74.0,,67.8,82.1,73.4,,0.0,,,60.2,,,82.5,,0.0,43.9,,50.2,,,,,0.0,,0.0,85.7,35.9,,48.7,77.7,69.9,88.7,63.1,76.7,,0.0,,,0.0,,,85.2,,49.9,,,63.3,,81.5,69.3,,,80.1,19.4,,,,,,,,,,81.1,38.2,83.4,58.5,77.7,82.6,,67.1,0.0,,,85.0,83.8,45.2,,,52.0,55.2,,41.8,73.8,12.2,54.7
1,1996,,0.0,42.6,77.5,0.0,86.5,83.6,0.0,,85.0,57.9,59.1,30.0,89.1,,0.0,85.4,0.0,89.0,,,68.1,70.7,81.6,53.3,89.7,91.6,68.0,61.5,72.4,64.1,72.3,62.9,76.0,,,71.9,72.5,62.9,83.5,,,91.4,57.0,0.0,78.0,53.0,70.3,,76.2,17.3,73.4,72.5,82.3,80.5,81.4,59.5,0.0,64.3,80.2,,,67.9,71.5,69.0,81.1,0.0,47.5,63.3,66.6,71.3,65.6,85.6,0.0,,73.1,77.0,51.3,78.2,88.9,52.2,,53.7,,,81.7,,,66.4,,60.2,,,80.5,65.3,12.9,84.7,41.1,62.8,75.6,60.5,,66.6,65.6,72.5,,14.5,69.6,,54.9,,,77.7,,0.0,42.5,,47.7,81.7,67.0,86.0,84.4,68.5,54.5,0.0,86.7,57.9,81.2,52.4,79.7,68.5,88.2,62.0,77.0,,11.9,,50.9,0.0,84.9,55.8,84.4,,56.8,,0.0,65.1,60.5,84.5,67.4,,,79.6,17.9,61.0,,,,,,,,75.9,81.4,28.9,82.6,60.2,76.4,85.8,,77.5,0.0,,75.2,85.2,84.5,50.6,,,44.1,63.3,72.0,38.1,75.4,32.9,58.1
2,1997,,0.0,62.9,82.0,0.0,82.8,84.8,0.0,58.6,86.4,62.3,63.9,36.5,85.2,,0.0,84.6,0.0,87.5,,,74.2,66.1,80.5,51.7,86.8,86.7,75.6,62.7,61.7,65.4,68.3,62.9,78.5,,,67.0,74.4,64.6,85.6,75.5,,91.0,56.0,0.0,74.2,57.7,66.7,,76.3,55.5,71.2,74.1,83.3,80.8,81.5,65.3,0.0,51.2,80.3,,,70.1,72.9,70.7,81.1,0.0,50.0,57.8,63.0,70.8,65.1,85.2,0.0,81.3,74.3,81.1,43.7,79.5,92.0,59.1,,67.8,62.1,,80.1,,,73.9,,61.2,,,81.8,65.3,33.0,85.8,57.4,55.4,74.8,53.5,,57.8,65.8,72.3,,34.5,69.3,,38.6,,,78.1,,10.4,42.9,74.9,43.0,80.6,67.7,83.7,85.4,69.3,59.9,0.0,81.7,68.5,67.9,55.2,81.4,68.0,88.8,65.0,78.1,,39.1,50.8,58.8,0.0,78.1,62.1,85.8,,58.2,,0.0,68.1,64.0,84.8,67.5,,,80.9,27.4,64.9,,62.4,,,,,,78.8,80.0,29.8,82.8,60.8,75.3,86.1,69.9,81.4,0.0,,76.1,84.0,84.5,53.1,,,41.7,61.0,83.6,39.1,76.2,48.9,59.7
3,1998,,0.0,67.7,87.7,0.0,84.0,86.0,0.0,54.2,86.1,69.7,66.9,25.2,89.6,0.0,0.0,80.6,0.0,85.9,,,74.8,71.1,78.6,55.0,86.9,88.5,77.1,68.2,70.1,66.2,69.0,65.4,78.9,,,67.7,75.9,72.7,87.0,77.2,,90.8,60.1,10.0,77.8,63.8,70.6,,77.4,62.3,86.8,75.1,89.5,79.7,81.2,74.4,0.0,51.2,82.8,,,71.4,76.2,69.6,78.0,61.8,54.0,58.3,63.8,71.7,65.6,86.1,0.0,85.8,73.9,81.9,48.0,75.5,92.9,58.0,0.0,71.1,72.0,,78.5,,41.1,75.8,,64.9,,,77.0,65.9,53.9,87.0,66.0,53.1,77.4,61.1,,54.1,70.1,74.6,,48.1,70.7,,45.9,,,78.1,,46.3,45.8,76.3,53.8,82.0,67.3,84.7,80.8,69.0,65.6,0.0,82.9,72.6,67.9,59.6,83.1,69.0,88.1,68.4,77.8,,52.1,62.7,62.4,24.3,80.9,68.6,86.9,,59.0,,29.9,72.7,68.4,88.3,71.5,,,80.9,17.0,65.8,,62.6,,0.0,0.0,,,81.8,81.7,31.8,83.4,64.1,74.8,86.9,74.8,82.4,0.0,0.0,78.0,84.7,84.3,58.5,,,31.1,66.2,77.4,46.0,77.3,53.9,60.4
4,1999,,0.0,57.8,89.8,55.5,87.9,87.2,37.8,51.0,86.7,76.1,72.8,0.0,83.5,0.0,15.9,85.0,71.0,79.6,,,75.8,71.0,83.2,50.3,86.9,89.7,78.7,75.2,74.6,67.3,67.2,69.2,78.4,,,70.4,76.4,76.5,86.6,79.1,,90.7,69.0,10.0,77.1,61.3,74.2,,79.7,70.2,82.9,79.1,88.6,78.6,82.4,77.8,50.9,57.4,85.0,40.6,66.0,73.9,80.5,70.4,79.2,72.1,55.8,60.4,66.3,73.3,67.2,87.1,0.0,86.4,75.3,84.5,54.6,77.7,88.2,65.7,46.5,70.1,72.2,,82.0,,56.9,76.8,,67.1,,,74.0,66.2,65.1,87.4,72.9,52.1,81.2,72.8,,58.2,79.8,73.3,,62.1,71.1,73.6,59.8,,,79.1,,65.9,61.6,76.3,67.3,80.5,66.9,86.8,80.7,70.0,72.1,0.0,87.9,75.5,73.3,63.6,84.8,68.8,87.9,71.8,79.3,72.7,27.0,66.8,72.8,50.3,84.3,75.1,86.4,,58.2,,57.8,74.0,70.8,89.3,72.2,,,81.5,32.1,72.1,,68.3,66.9,0.0,0.0,,,82.8,82.5,31.8,86.8,67.8,74.9,88.4,74.5,83.1,39.3,25.7,78.9,84.1,85.0,64.1,,,39.7,70.8,75.0,62.8,76.7,60.4,61.8
5,2000,,0.0,59.7,89.6,69.1,89.0,88.4,70.7,57.9,87.9,75.6,76.6,0.0,89.2,83.3,32.5,92.0,80.5,88.0,,,77.7,68.1,82.8,43.6,88.1,92.2,80.1,84.0,77.5,67.6,70.1,73.2,79.8,,,72.5,75.0,76.8,88.1,80.2,,91.1,74.0,17.9,79.9,58.3,76.8,,81.0,74.9,81.4,82.9,87.8,76.0,83.9,81.1,67.5,66.2,77.1,50.4,64.0,75.5,81.4,72.2,82.5,70.0,61.4,64.5,69.6,49.4,63.7,85.8,0.0,86.6,78.5,85.7,57.6,78.4,89.0,74.5,62.6,72.0,67.7,,85.0,,65.0,79.9,,67.8,,,74.9,67.0,72.3,88.3,78.5,28.4,80.2,78.2,,67.6,83.7,72.9,,69.4,68.4,73.5,58.1,,,76.6,,69.9,74.5,78.3,73.5,80.4,64.6,87.6,80.9,68.1,72.1,0.0,85.2,77.2,69.0,66.9,84.8,72.3,89.2,69.7,76.8,73.6,38.1,72.4,73.8,57.5,87.7,77.4,90.9,,50.7,,66.0,73.9,71.9,94.2,72.7,,,78.9,47.7,80.1,,70.5,73.8,25.6,15.4,,,81.0,83.5,31.8,86.9,71.0,72.9,87.0,77.2,80.3,63.0,48.5,80.4,83.6,86.3,70.8,,,47.5,69.3,74.8,67.7,77.8,62.6,56.9
6,2001,,,71.8,95.4,77.8,87.9,89.6,65.1,,88.3,81.2,84.6,26.2,90.3,75.2,0.0,88.9,81.3,87.4,,,77.6,68.6,87.7,55.1,87.2,90.2,82.4,84.1,78.6,71.7,71.2,77.0,86.2,,,74.3,81.2,86.0,89.4,84.0,,90.3,78.2,,79.2,51.9,78.3,,80.7,80.6,74.4,87.6,87.9,79.0,85.0,85.3,61.1,71.0,76.6,70.9,75.1,78.3,79.0,74.8,87.4,71.7,64.7,67.2,73.3,56.2,68.2,86.6,0.0,84.6,80.0,86.5,57.2,87.4,92.8,78.3,66.2,78.9,73.2,,80.8,,55.7,86.2,,69.1,,,79.1,66.7,84.8,88.6,83.2,13.8,87.9,76.5,,69.1,87.6,74.5,,69.6,75.7,68.4,51.0,,,78.4,,55.9,79.7,77.1,78.9,80.3,69.8,91.2,85.7,68.6,87.4,0.0,94.0,81.0,87.9,70.9,85.2,75.5,88.3,72.1,73.6,75.2,41.4,83.7,74.9,38.9,83.8,78.8,92.9,,,,36.7,70.8,73.6,91.4,73.9,,,84.5,,74.9,,77.3,78.9,46.6,51.9,,,82.4,84.2,36.4,90.0,70.1,84.6,87.3,73.9,75.8,62.3,44.9,80.7,85.7,85.9,76.9,,,55.9,71.1,91.2,71.5,79.6,62.7,41.2
7,2002,,,86.0,94.3,91.1,83.3,86.4,78.8,,86.0,78.3,89.4,75.8,84.3,77.2,0.0,94.0,79.3,86.3,,,76.9,72.7,81.9,69.6,85.4,88.1,82.7,87.6,82.0,74.5,87.2,72.0,83.5,82.0,,74.2,82.2,85.4,88.0,87.8,,89.6,82.8,,73.1,33.4,79.2,,84.1,87.0,79.7,86.3,84.6,81.7,82.7,89.5,67.4,65.9,74.4,74.6,72.3,78.7,79.1,74.7,83.7,75.7,67.9,68.6,74.7,72.4,70.8,81.8,0.0,81.7,85.0,85.5,59.5,89.0,90.6,77.4,68.6,76.4,81.6,,80.2,,60.0,92.3,,73.8,,,79.3,73.4,87.7,85.2,84.4,38.1,86.8,74.0,,73.2,86.0,79.1,46.8,72.5,77.5,70.7,53.5,,77.2,80.7,,54.7,70.8,76.2,77.1,79.3,78.2,86.5,84.6,68.5,81.6,0.0,84.7,82.3,,70.4,84.7,76.6,87.8,71.3,75.9,81.2,46.6,79.3,82.8,51.3,83.4,79.4,89.0,,,,39.0,68.8,72.0,89.7,73.4,,46.8,85.2,,73.0,,84.1,82.7,48.9,62.5,,,82.8,84.3,41.0,88.5,73.2,86.4,88.1,81.9,83.2,58.2,42.4,81.9,84.7,84.1,80.1,,,56.9,80.4,,69.7,80.3,57.7,38.5
8,2003,,,85.8,88.5,81.7,82.1,85.1,84.8,,85.2,77.8,78.8,77.5,83.4,77.9,14.1,89.2,78.6,85.1,,,78.0,80.8,85.2,54.3,85.0,88.3,83.0,85.8,80.4,76.5,81.1,68.3,85.0,78.7,,74.0,81.9,78.1,86.6,87.0,,89.9,78.9,,71.7,43.8,80.1,,83.3,85.7,76.5,83.8,84.7,78.5,87.0,82.6,74.8,55.8,79.9,77.2,68.2,78.5,82.4,78.3,85.5,76.3,66.7,74.8,70.6,74.6,77.6,81.2,,84.7,87.3,84.7,62.3,87.4,89.8,78.0,70.4,78.6,86.5,,81.6,,67.6,91.3,,64.1,,,68.6,73.4,88.1,84.7,84.9,55.0,88.9,76.6,,77.0,83.7,79.8,34.2,83.7,76.9,70.5,57.5,,80.9,82.1,,63.4,70.6,75.8,65.4,84.1,79.4,85.3,82.8,71.3,78.7,0.0,83.8,84.8,,73.5,82.6,78.1,89.9,72.5,74.5,87.1,50.8,79.3,86.7,57.0,88.3,80.4,88.6,,81.9,,45.4,71.3,76.7,86.4,72.9,,34.2,83.4,,75.1,,76.6,78.9,46.9,63.3,,,81.1,85.4,42.9,91.3,75.1,87.3,80.4,78.1,84.8,64.0,41.3,85.2,85.9,84.2,81.4,,,61.0,86.5,,68.7,80.1,59.6,32.9
9,2004,,,79.6,64.0,84.5,83.2,85.9,80.2,,81.3,79.0,79.7,78.7,84.7,82.4,31.6,86.5,77.2,88.9,,,77.4,78.9,87.5,41.6,85.4,89.4,84.2,86.4,75.9,78.3,86.4,66.4,84.6,79.5,,75.1,84.6,78.4,87.1,88.7,,85.1,81.1,,69.1,57.6,79.8,,83.6,82.1,84.3,85.2,86.0,81.8,86.4,85.3,75.5,61.6,82.5,77.7,67.5,78.1,81.1,77.4,84.6,79.5,68.7,71.5,73.7,68.9,77.0,81.1,,85.2,82.2,84.8,61.7,86.7,89.2,78.0,73.1,82.9,80.8,,83.2,,76.2,83.5,,61.0,,,69.6,70.0,90.1,85.3,85.8,64.0,85.7,71.9,,79.8,81.5,84.6,,82.0,77.3,69.6,63.1,,83.3,81.8,,71.3,65.9,74.4,66.3,86.3,77.3,84.7,83.2,75.1,79.1,0.0,79.2,88.8,,78.1,82.9,78.4,89.1,70.4,77.3,90.0,56.8,79.7,80.2,63.4,91.9,80.4,93.0,,86.6,,58.1,80.8,77.3,85.8,69.7,,,84.0,,80.5,,78.4,78.7,56.3,65.6,,,81.7,84.9,46.1,94.2,80.1,88.9,82.5,73.4,90.3,74.5,42.3,79.5,86.6,85.9,74.2,,,57.1,80.4,,68.1,77.1,60.1,13.1
