Variable Name;.;.;.;Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Share | Adults | share of total (ratio)
Variable Category;.;.;.;Income inequality;Income inequality
Variable Description;.;.;.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.
Variable Decomposition;.;.;.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;share;share
Methodological Notes;.;.;.;;
Sources;.;.;.;;
Variable Code;country;year;perc;sptinc992j;sfiinc992j
;BG;1945;p99.9p100;0.0120520703;0.0120520703
;BG;1945;p99.99p100;0.0034744963;0.0034744963
;BG;1945;p99.5p100;0.0291371346;0.0291371346
;BG;1945;p99.8p100;0.0175127033;0.0175127033
;BG;1945;p99.95p100;0.0082952492;0.0082952492
;BG;1944;p99.9p100;0.0080784652;0.0080784652
;BG;1944;p99.99p100;0.0018900522;0.0018900522
;BG;1944;p99.5p100;0.0199671593;0.0199671593
;BG;1944;p99.8p100;0.0119302822;0.0119302822
;BG;1944;p99.95p100;0.0053284951;0.0053284951
;BG;1943;p99.9p100;0.0102815414;0.0102815414
;BG;1943;p99.99p100;0.0024206324;0.0024206324
;BG;1943;p99.5p100;0.0245804563;0.0245804563
;BG;1943;p99.8p100;0.0152344787;0.0152344787
;BG;1943;p99.95p100;0.0069056358;0.0069056358
;BG;1942;p99.9p100;0.0142472079;0.0142472079
;BG;1942;p99.99p100;0.0040076985;0.0040076985
;BG;1942;p99.5p100;0.032140933;0.032140933
;BG;1942;p99.8p100;0.0202522464;0.0202522464
;BG;1942;p99.95p100;0.009962217;0.009962217
;BG;1941;p99.9p100;0.0145027004;0.0145027004
