Variable Name;.;.;.;Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency;Fiscal income  | equal-split adults | Share | Adults | share of total (ratio);Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio);Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over a given percentile. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over a given percentile. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Pre-tax national income threshold value at a given percentile.  Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household) but resources are split equally within couples.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"BRL; Brazilian real | local currency | market";"BRL; Brazilian real | local currency | market";;;"BRL; Brazilian real | local currency | market";share;share;"BRL; Brazilian real | local currency | market"
Methodological Notes;.;.;.;;;;;;;;
Sources;.;.;.;http://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/ (Marc Morgan (2017), Extreme and Persistent Inequality: New Evidence for Brazil Combining National Accounts, Surveys and Fiscal Data, 2001-2015);http://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/ (Marc Morgan (2017), Extreme and Persistent Inequality: New Evidence for Brazil Combining National Accounts, Surveys and Fiscal Data, 2001-2015);http://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/ (Marc Morgan (2017), Extreme and Persistent Inequality: New Evidence for Brazil Combining National Accounts, Surveys and Fiscal Data, 2001-2015);http://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/ (Marc Morgan (2017), Extreme and Persistent Inequality: New Evidence for Brazil Combining National Accounts, Surveys and Fiscal Data, 2001-2015);http://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/ (Marc Morgan (2017), Extreme and Persistent Inequality: New Evidence for Brazil Combining National Accounts, Surveys and Fiscal Data, 2001-2015);http://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/ (Marc Morgan (2017), Extreme and Persistent Inequality: New Evidence for Brazil Combining National Accounts, Surveys and Fiscal Data, 2001-2015);http://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/ (Marc Morgan (2017), Extreme and Persistent Inequality: New Evidence for Brazil Combining National Accounts, Surveys and Fiscal Data, 2001-2015);http://wid.world/document/extreme-persistent-inequality-new-evidence-brazil-combining-national-accounts-surveys-fiscal-data-2001-2015-wid-world-working-paper-201712/ (Marc Morgan (2017), Extreme and Persistent Inequality: New Evidence for Brazil Combining National Accounts, Surveys and Fiscal Data, 2001-2015)
Variable Code;country;year;perc;afiinc992j;aptinc992j;bfiinc992j;bptinc992j;tptinc992j;sfiinc992j;sptinc992j;tfiinc992j
;BR;2015;p0p100;28428.9631928;37113.4815254;;;0.0;1.0;1.0;0.0
;BR;2015;p0p50;7094.49000561;9094.57086248;;;0.0;0.1247757429;0.1225238173;0.0
;BR;2015;p50p90;24240.7167334;30077.2158339;;;17508.1679688;0.3410707111;0.3241648544;14041.2841797
;BR;2015;p90p99;93827.9709455;113359.850113;;;59896.0273438;0.2970405221;0.2748995423;47452.8164062
;BR;2015;p99p100;674087.619346;1033283.23725;2.86945867538;3.48094058037;296840.25;0.2371129805;0.2784118317;234918.046875
;BR;2015;p99.9p100;3122098.60372;5349386.74083;3.61469006538;3.50731873512;1525206.875;0.1098210505;0.1441359464;863725.125
;BR;2015;p99.99p100;15366590.0677;27761924.7282;4.02296686172;3.51246333122;7903833.5;0.054052587;0.0748028047;3819716.0
;BR;2015;p99.999p100;70432874.7675;144145106.662;2.08449697495;3.51345658302;41026580.0;0.0247750417;0.038839015;33788908.0
;BR;2015;p0p10;526.230828848;774.158010917;;;0.0;0.0018510377;0.0020859213;0.0
;BR;2015;p10p20;3572.92123394;5527.89441088;;;966.099731445;0.0125678914;0.0148945725;1480.12390137
;BR;2015;p20p30;8046.98739463;10102.2854546;;;7685.56201172;0.0283055957;0.0272199886;5962.14501953
;BR;2015;p30p40;10774.4483398;13369.2482617;;;12663.5253906;0.0378995473;0.0360226196;10213.4140625
;BR;2015;p40p50;12551.8622308;15699.2681743;;;13895.5908203;0.0441516708;0.0423007153;11064.5322266
;BR;2015;p50p60;15776.8444108;19579.1119553;;;17508.1679688;0.0554956729;0.0527547165;14041.2841797
;BR;2015;p60p70;19790.1009558;24710.1488648;;;21831.3828125;0.0696124611;0.0665799808;17545.125
;BR;2015;p70p80;25149.2470249;31336.3698;;;27488.9453125;0.0884634689;0.0844339267;21817.9960938
;BR;2015;p80p90;36246.6745422;44683.2327156;;;36063.3085938;0.1274991082;0.1203962304;29162.6660156
;BR;2015;p90p100;151854.313224;205353.097143;3.20011162758;3.4284927845;59896.0273438;0.5341535398;0.5533113256;47452.8164062
;BR;2015;p0p1;29.0347166412;194.828372634;;;0.0;1.02131e-05;5.24953e-05;0.0
;BR;2015;p1p2;90.9548516957;584.453105119;;;389.656738281;3.19937e-05;0.0001574773;58.8078460693
;BR;2015;p2p3;162.644621389;786.451463269;;;774.474914551;5.72109e-05;0.0002119045;124.732856751
;BR;2015;p3p4;249.288948362;810.404585103;;;798.428039551;8.76884e-05;0.0002183585;203.052627564
;BR;2015;p4p5;355.84194399;834.357652929;;;822.381103516;0.0001251688;0.0002248126;298.848480225
;BR;2015;p5p6;486.950602184;858.310774762;;;846.334228516;0.0001712868;0.0002312666;416.934570312
;BR;2015;p6p7;646.867013126;882.263896595;;;870.287292481;0.000227538;0.0002377206;561.776184082
;BR;2015;p7p8;839.347617988;906.217018428;;;894.240417481;0.0002952438;0.0002441746;737.395385742
;BR;2015;p8p9;1067.5376223;930.170086254;;;918.193542481;0.0003755106;0.0002506286;947.263671875
;BR;2015;p9p10;1333.84035081;954.12315408;;;942.146606445;0.0004691836;0.0002570826;1194.1784668
;BR;2015;p10p11;1639.76811011;1325.46861513;;;966.099731445;0.0005767949;0.0003571394;1480.12390137
;BR;2015;p11p12;1985.77555195;2294.47810433;;;1753.56542969;0.0006985044;0.0006182331;1806.11291504
;BR;2015;p12p13;2371.0720208;3522.59999492;;;2878.88354492;0.0008340339;0.000949143;2172.01049805
;BR;2015;p13p14;2793.41280291;4839.89148433;;;4181.50195312;0.000982594;0.0013040791;2576.33569336
;BR;2015;p14p15;3248.86712567;6056.99438908;;;5481.92138672;0.0011428018;0.00163202;3016.04125977
;BR;2015;p15p16;3731.56116976;6959.10772262;;;6580.77734375;0.0013125914;0.0018750889;3486.27001953
;BR;2015;p16p17;4233.39576305;7414.35448584;;;7252.8203125;0.0014891137;0.0019977523;3980.0847168
;BR;2015;p17p18;4743.73362657;7578.48805541;;;7528.30664062;0.001668627;0.0020419771;4488.171875
;BR;2015;p18p19;5249.05385572;7625.94096244;;;7610.37890625;0.0018463754;0.002054763;4998.51318359
;BR;2015;p19p20;5732.57231292;7661.6202947;;;7640.92773438;0.0020164549;0.0020643766;5496.02246094
;BR;2015;p20p21;6175.98742418;7755.39498147;;;7685.56201172;0.002172428;0.0020896436;5962.14501953
