Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Population | individuals | Population | All Ages | population;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;National income price index | individuals | Indices | All Ages | constant 2015 local currency;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Average & total income;Average & total income;Average & total income;Average & total income;Other macro;Average & total income;Average & total income;Average & total income;Average & total income;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Average Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Total Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;PPP conversion factor of curent local currency to current PPP EUR.;Official exchange rate of the local currency to EUR.;PPP conversion factor of current local currency to current USD.;Official exchange rate of the local currency to USD.;PPP conversion factor of current local currency to current PPP CNY.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[National income]=[Net domestic product]+[Net foreign income];;;;[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[National income]=[Net domestic product]+[Net foreign income];;;;;;;
Variable Unit;.;.;.;"DKK; Danish krone | local currency | market";"DKK; Danish krone | local currency | market";"DKK; Danish krone | local currency | market";"DKK; Danish krone | local currency | market";population;"DKK; Danish krone | local currency | market";"DKK; Danish krone | local currency | market";"DKK; Danish krone | local currency | market";"DKK; Danish krone | local currency | market";;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency
Methodological Notes;.;.;.;From 1998 to 2017, we impute the value of CFC (see methodological note for details).;GDP level in 2015 from the World Bank. Until 2014, we use the GDP growth rates from the World Bank.  After 2015, we use the GDP growth rates from the value for the previous year.;Calculated as GDP minus CFC. See subcomponents series for additional information.;We assumed zero net foreign income: from 1998 to 2017.;Total 2016 population estimated by extending past year observed population growth rate. Data on other years comes from the UN World Population Prospects (2015);From 1998 to 2017, we impute the value of CFC (see methodological note for details).;GDP level in 2015 from the World Bank. Until 2014, we use the GDP growth rates from the World Bank.  After 2015, we use the GDP growth rates from the value for the previous year.;Calculated as GDP minus CFC. See subcomponents series for additional information.;We assumed zero net foreign income: from 1998 to 2017.;From 1998 to 2004, we use the GDP deflator for the Netherland Antilles drom the UN SNA. From 2005 to 2017, we carry the last inflation value forward.;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP for Denmark.;;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP for Denmark.;;Using the evolution of the price index relative to the reference country, we extrapolate the PPP from the 2011 ICP for Denmark.;
Sources;.;.;.;WID.world computations;WID.world computations using:  http://data.worldbank.org/ (World Bank);WID.world computations using:  http://data.worldbank.org/ (World Bank);WID.world computations using:  http://data.worldbank.org/ (World Bank);WID.world computations using:  https://esa.un.org/unpd/wpp/ (UN World Population Prospects (2015).);WID.world computations;WID.world computations using:  http://data.worldbank.org/ (World Bank);WID.world computations using:  http://data.worldbank.org/ (World Bank);WID.world computations using:  http://data.worldbank.org/ (World Bank);WID.world computations using:  http://unstats.un.org/unsd/snaama/Introduction.asp (United Nations National Accounts Main Aggregates Database);WID.world computations using:  http://stats.oecd.org/Index.aspx?DataSetCode=PPP2011 (OECD);;WID.world computations using:  http://stats.oecd.org/Index.aspx?DataSetCode=PPP2011 (OECD);;WID.world computations using:  http://stats.oecd.org/Index.aspx?DataSetCode=PPP2011 (OECD);
Variable Code;country;year;perc;aconfc999i;agdpro999i;andpro999i;anninc999i;npopul999i;mconfc999i;mgdpro999i;mndpro999i;mnninc999i;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;FO;2017;p0p100;;;;;;;18594674688.0;;;1.0;10.1195669174;7.4385900497;7.6845178604;6.6016497612;2.3588593006;0.9767012596
;FO;2016;p0p100;;;;;;;17877225472.0;;;0.9846326113;10.0712614059;;7.7025895119;6.7317180634;2.3084864616;
;FO;2015;p0p100;52981.265625;351015.84375;298034.59375;298034.59375;48965.0;2594227712.0;17187491840.0;14593263616.0;14593263616.0;0.9695013165;9.9912204742;;7.6809792519;6.7279067039;2.2591888905;
