Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Net personal wealth | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Post-tax national income | individuals | Share | Adults | share of total (ratio);Post-tax national income | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | tax unit | Share | Adults | share of total (ratio);Net personal wealth | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency
Variable Category;.;.;.;Income inequality;Income inequality;Wealth inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Wealth inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Average Net personal wealth within a given percentile group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over a given percentile. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages.;Total Pre-tax national income  within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages.;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Post-tax national income share held by a given percentile group. Post-tax national income is the sum of primary incomes over all sectors (private and public), minus taxes. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Net personal wealth share held by a given percentile group. Net personal wealth is  the total value of non-financial and financial assets (housing, land, deposits, bonds, equities, etc.) held by households, minus their debts. . The personal or household sector - in the national accounts sense - includes all households and private individuals (including those living in institutions), as well as unincorporated enterprises whose accounts are not separated from those of the households who own them. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income threshold value at a given percentile.  Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Post-tax national income]=[Post-tax disposable income]+[Public spending];[Post-tax national income]=[Post-tax disposable income]+[Public spending];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking]
Variable Unit;.;.;.;"GBP; British pound | local currency | market";"GBP; British pound | local currency | market";"GBP; British pound | local currency | market";"GBP; British pound | local currency | market";"GBP; British pound | local currency | market";;"GBP; British pound | local currency | market";"GBP; British pound | local currency | market";share;share;share;share;share;share;share;"GBP; British pound | local currency | market";"GBP; British pound | local currency | market"
Methodological Notes;.;.;.;"The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Excludes capital gains. Adults are individuals aged 15+. Excludes capital gains. The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Tax units are: individuals aged 15+ minus married females until 1989; individuals aged 15+ from 1990. Excludes capital gains.";"The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Excludes capital gains. Adults are individuals aged 15+. Excludes capital gains. The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Tax units are: individuals aged 15+ minus married females until 1989; individuals aged 15+ from 1990. Excludes capital gains.";;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;"The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Excludes capital gains. Adults are individuals aged 15+. Excludes capital gains. The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Tax units are: individuals aged 15+ minus married females until 1989; individuals aged 15+ from 1990. Excludes capital gains.";"The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Excludes capital gains. Adults are individuals aged 15+. Excludes capital gains. The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Tax units are: individuals aged 15+ minus married females until 1989; individuals aged 15+ from 1990. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.;"Estimates relate to the distribution of income net of income tax. Until 1989 original estimates relate to tax units (married couples and single adults), while, from 1990, original estimates relate to adults; they are presented in two distinct columns.";"Estimates relate to the distribution of income net of income tax. Until 1989 original estimates relate to tax units (married couples and single adults), while, from 1990, original estimates relate to adults; they are presented in two distinct columns.";"The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Excludes capital gains. Adults are individuals aged 15+. Excludes capital gains. The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Tax units are: individuals aged 15+ minus married females until 1989; individuals aged 15+ from 1990. Excludes capital gains.";"The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Excludes capital gains. Adults are individuals aged 15+. Excludes capital gains. The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Tax units are: individuals aged 15+ minus married females until 1989; individuals aged 15+ from 1990. Excludes capital gains.";;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;"The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Excludes capital gains. Adults are individuals aged 15+. Excludes capital gains. The series are presented in two distinct columns, following the change in the definition of the tax unit between 1989 and 1990. Tax units are: individuals aged 15+ minus married females until 1989; individuals aged 15+ from 1990. Excludes capital gains.";Fiscal income rescaled to match the macroeconomic aggregates.
Sources;.;.;.;"Atkinson, Anthony B. (2007). The Distribution of Top Incomes in the United Kingdom 1908-2000; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 4. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010; WID.world Technical Note 2012/3. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010: Revised Note on Methods; WID.world Technical Note 2012/5. Atkinson, Anthony B. (2013). UK Estimates of Top Income Shares 2010-2011: Note on Methods; WID.world Technical Note 2013/7. Atkinson, Anthony B. (2014). UK Estimates of Top Income Shares 2011-2012: Note on Methods; WID.world Technical Note 2014/1. Atkinson, Anthony B. and Ooms, Tahnee (2015). UK Estimates of Top Income Shares 2012-2013: Note on Methods; WID.world Technical Note 2015/4. Alvaredo, Facundo (2017). UK Estimates of Top Income Shares 2013-2014 and 2014-2015: Note on Methods; WID.world Technical Note 2017/2.";"Atkinson, Anthony B. (2007). The Distribution of Top Incomes in the United Kingdom 1908-2000; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 4. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010; WID.world Technical Note 2012/3. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010: Revised Note on Methods; WID.world Technical Note 2012/5. Atkinson, Anthony B. (2013). UK Estimates of Top Income Shares 2010-2011: Note on Methods; WID.world Technical Note 2013/7. Atkinson, Anthony B. (2014). UK Estimates of Top Income Shares 2011-2012: Note on Methods; WID.world Technical Note 2014/1. Atkinson, Anthony B. and Ooms, Tahnee (2015). UK Estimates of Top Income Shares 2012-2013: Note on Methods; WID.world Technical Note 2015/4. Alvaredo, Facundo (2017). UK Estimates of Top Income Shares 2013-2014 and 2014-2015: Note on Methods; WID.world Technical Note 2017/2.";"http://wid.world/document/f-alvaredo-b-atkinson-s-morelli-2017-top-wealth-shares-uk-century-wid-world-working-paper/ (Alvaredo, Facundo; Atkinson, Anthony B. and Morelli, Salvatore (2016). Top Wealth Shares in the UK over more than a century)";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2007). The Distribution of Top Incomes in the United Kingdom 1908-2000; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 4. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010; WID.world Technical Note 2012/3. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010: Revised Note on Methods; WID.world Technical Note 2012/5. Atkinson, Anthony B. (2013). UK Estimates of Top Income Shares 2010-2011: Note on Methods; WID.world Technical Note 2013/7. Atkinson, Anthony B. (2014). UK Estimates of Top Income Shares 2011-2012: Note on Methods; WID.world Technical Note 2014/1. Atkinson, Anthony B. and Ooms, Tahnee (2015). UK Estimates of Top Income Shares 2012-2013: Note on Methods; WID.world Technical Note 2015/4. Alvaredo, Facundo (2017). UK Estimates of Top Income Shares 2013-2014 and 2014-2015: Note on Methods; WID.world Technical Note 2017/2.";"Atkinson, Anthony B. (2007). The Distribution of Top Incomes in the United Kingdom 1908-2000; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 4. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010; WID.world Technical Note 2012/3. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010: Revised Note on Methods; WID.world Technical Note 2012/5. Atkinson, Anthony B. (2013). UK Estimates of Top Income Shares 2010-2011: Note on Methods; WID.world Technical Note 2013/7. Atkinson, Anthony B. (2014). UK Estimates of Top Income Shares 2011-2012: Note on Methods; WID.world Technical Note 2014/1. Atkinson, Anthony B. and Ooms, Tahnee (2015). UK Estimates of Top Income Shares 2012-2013: Note on Methods; WID.world Technical Note 2015/4. Alvaredo, Facundo (2017). UK Estimates of Top Income Shares 2013-2014 and 2014-2015: Note on Methods; WID.world Technical Note 2017/2.";WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2007). The Distribution of Top Incomes in the United Kingdom 1908-2000; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 4. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010; WID.world Technical Note 2012/3. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010: Revised Note on Methods; WID.world Technical Note 2012/5. Atkinson, Anthony B. (2013). UK Estimates of Top Income Shares 2010-2011: Note on Methods; WID.world Technical Note 2013/7. Atkinson, Anthony B. (2014). UK Estimates of Top Income Shares 2011-2012: Note on Methods; WID.world Technical Note 2014/1. Atkinson, Anthony B. and Ooms, Tahnee (2015). UK Estimates of Top Income Shares 2012-2013: Note on Methods; WID.world Technical Note 2015/4. Alvaredo, Facundo (2017). UK Estimates of Top Income Shares 2013-2014 and 2014-2015: Note on Methods; WID.world Technical Note 2017/2.";"Atkinson, Anthony B. (2007). The Distribution of Top Incomes in the United Kingdom 1908-2000; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 4. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010; WID.world Technical Note 2012/3. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010: Revised Note on Methods; WID.world Technical Note 2012/5. Atkinson, Anthony B. (2013). UK Estimates of Top Income Shares 2010-2011: Note on Methods; WID.world Technical Note 2013/7. Atkinson, Anthony B. (2014). UK Estimates of Top Income Shares 2011-2012: Note on Methods; WID.world Technical Note 2014/1. Atkinson, Anthony B. and Ooms, Tahnee (2015). UK Estimates of Top Income Shares 2012-2013: Note on Methods; WID.world Technical Note 2015/4. Alvaredo, Facundo (2017). UK Estimates of Top Income Shares 2013-2014 and 2014-2015: Note on Methods; WID.world Technical Note 2017/2.";"Atkinson, Anthony B. (2007). The Distribution of Top Incomes in the United Kingdom 1908-2000; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 4. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010; WID.world Technical Note 2012/3. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010: Revised Note on Methods; WID.world Technical Note 2012/5. Atkinson, Anthony B. (2013). UK Estimates of Top Income Shares 2010-2011: Note on Methods; WID.world Technical Note 2013/7. Atkinson, Anthony B. (2014). UK Estimates of Top Income Shares 2011-2012: Note on Methods; WID.world Technical Note 2014/1. Atkinson, Anthony B. and Ooms, Tahnee (2015). UK Estimates of Top Income Shares 2012-2013: Note on Methods; WID.world Technical Note 2015/4. Alvaredo, Facundo (2017). UK Estimates of Top Income Shares 2013-2014 and 2014-2015: Note on Methods; WID.world Technical Note 2017/2.";"Atkinson, Anthony B. (2007). The Distribution of Top Incomes in the United Kingdom 1908-2000; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 4. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010; WID.world Technical Note 2012/3. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010: Revised Note on Methods; WID.world Technical Note 2012/5. Atkinson, Anthony B. (2013). UK Estimates of Top Income Shares 2010-2011: Note on Methods; WID.world Technical Note 2013/7. Atkinson, Anthony B. (2014). UK Estimates of Top Income Shares 2011-2012: Note on Methods; WID.world Technical Note 2014/1. Atkinson, Anthony B. and Ooms, Tahnee (2015). UK Estimates of Top Income Shares 2012-2013: Note on Methods; WID.world Technical Note 2015/4. Alvaredo, Facundo (2017). UK Estimates of Top Income Shares 2013-2014 and 2014-2015: Note on Methods; WID.world Technical Note 2017/2.";"http://wid.world/document/f-alvaredo-b-atkinson-s-morelli-2017-top-wealth-shares-uk-century-wid-world-working-paper/ (Alvaredo, Facundo; Atkinson, Anthony B. and Morelli, Salvatore (2016). Top Wealth Shares in the UK over more than a century)";WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;"Atkinson, Anthony B. (2007). The Distribution of Top Incomes in the United Kingdom 1908-2000; in Atkinson, A. B. and Piketty, T. (editors) Top Incomes over the Twentieth Century. A Contrast Between Continental European and English-Speaking Countries, Oxford University Press, chapter 4. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010; WID.world Technical Note 2012/3. Atkinson, Anthony B. (2012). UK Estimates of Top Income Shares 2009-2010: Revised Note on Methods; WID.world Technical Note 2012/5. Atkinson, Anthony B. (2013). UK Estimates of Top Income Shares 2010-2011: Note on Methods; WID.world Technical Note 2013/7. Atkinson, Anthony B. (2014). UK Estimates of Top Income Shares 2011-2012: Note on Methods; WID.world Technical Note 2014/1. Atkinson, Anthony B. and Ooms, Tahnee (2015). UK Estimates of Top Income Shares 2012-2013: Note on Methods; WID.world Technical Note 2015/4. Alvaredo, Facundo (2017). UK Estimates of Top Income Shares 2013-2014 and 2014-2015: Note on Methods; WID.world Technical Note 2017/2.";WID.world computations using fiscal and net national income.
Variable Code;country;year;perc;afiinc992i;afiinc992t;ahweal992i;aptinc992i;aptinc992t;bfiinc992i;mfiinc999i;mptinc999i;sdiinc992i;sdiinc992t;sfiinc992i;sfiinc992t;shweal992i;sptinc992i;sptinc992t;tfiinc992i;tptinc992i
;GB;2014;p0p100;20959.0756659;20958.13369;;32403.9201272;35040.32659;;1.1147463192e+12;1.72346104553e+12;;;;;;;;;
;GB;2014;p99p100;290898.888363;;;;;2.33546042442;;;0.1045;;0.1388;;;0.1388;;124557.398438;167262.828125
;GB;2014;p99.9p100;1148505.71928;;;;;2.48982262611;;;0.0391;;0.0548;;;0.0548;;461280.15625;619433.5
