Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Pre-tax national income threshold value at a given percentile.  Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages.;Total Pre-tax national income  within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"GHS; Ghana cedi | local currency | market";"GHS; Ghana cedi | local currency | market";"GHS; Ghana cedi | local currency | market";"GHS; Ghana cedi | local currency | market";;;"GHS; Ghana cedi | local currency | market";"GHS; Ghana cedi | local currency | market";"GHS; Ghana cedi | local currency | market";share;share;"GHS; Ghana cedi | local currency | market"
Methodological Notes;.;.;.;Excludes capital gains.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.
Sources;.;.;.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.;WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.;WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). The distribution of top incomes in former British West Africa. The World Wealth and Income Database WP 3/2015.
Variable Code;country;year;perc;afiinc992i;afiinc992t;aptinc992i;aptinc992t;bfiinc992i;bptinc992i;tptinc992i;mfiinc999i;mptinc999i;sfiinc992i;sptinc992i;tfiinc992i
;GH;1959;p0p100;3636.19433594;5746.44482422;8055.21289062;12730.0224609;;;;13389158400.0;29660825600.0;;;
;GH;1959;p99.9p100;62862.2578125;;139257.921875;;1.1463682652;1.1463682652;121477.476562;;;0.0172877014;0.0172877014;54836.0078125
;GH;1959;p99.99p100;174678.6875;;386963.375;;1.2526267767;1.2526267767;308921.53125;;;0.0048046843;0.0048046843;139449.90625
