Variable Name;.;.;.;Consumption of fixed capital of national economy | individuals | Average | Adults | constant 2015 local currency;Consumption of fixed capital of national economy | individuals | Average | All Ages | constant 2015 local currency;Gross domestic product | individuals | Average | Adults | constant 2015 local currency;Gross domestic product | individuals | Average | All Ages | constant 2015 local currency;Net domestic product | individuals | Average | Adults | constant 2015 local currency;Net domestic product | individuals | Average | All Ages | constant 2015 local currency;Net foreign income | individuals | Average | Adults | constant 2015 local currency;Net foreign income | individuals | Average | All Ages | constant 2015 local currency;National income | individuals | Average | Adults | constant 2015 local currency;National income | individuals | Average | All Ages | constant 2015 local currency;Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency;Consumption of fixed capital of national economy | individuals | Total | All Ages | constant 2015 local currency;Gross domestic product | individuals | Total | All Ages | constant 2015 local currency;Net domestic product | individuals | Total | All Ages | constant 2015 local currency;Net foreign income | individuals | Total | All Ages | constant 2015 local currency;National income | individuals | Total | All Ages | constant 2015 local currency;Population | female | Population | 0 to 4 | population;Population | individuals | Population | 0 to 4 | population;Population | male | Population | 0 to 4 | population;Population | female | Population | 5 to 9 | population;Population | individuals | Population | 5 to 9 | population;Population | male | Population | 5 to 9 | population;Population | female | Population | 10 to 14 | population;Population | individuals | Population | 10 to 14 | population;Population | male | Population | 10 to 14 | population;Population | female | Population | 100+ | population;Population | individuals | Population | 100+ | population;Population | male | Population | 100+ | population;Population | female | Population | 15 to 19 | population;Population | individuals | Population | 15 to 19 | population;Population | male | Population | 15 to 19 | population;Population | female | Population | 20 to 24 | population;Population | individuals | Population | 20 to 24 | population;Population | male | Population | 20 to 24 | population;Population | female | Population | 20 to 29 | population;Population | individuals | Population | 20 to 29 | population;Population | male | Population | 20 to 29 | population;Population | female | Population | 25 to 29 | population;Population | individuals | Population | 25 to 29 | population;Population | male | Population | 25 to 29 | population;Population | female | Population | 30 to 34 | population;Population | individuals | Population | 30 to 34 | population;Population | male | Population | 30 to 34 | population;Population | female | Population | 30 to 39 | population;Population | individuals | Population | 30 to 39 | population;Population | male | Population | 30 to 39 | population;Population | female | Population | 35 to 39 | population;Population | individuals | Population | 35 to 39 | population;Population | male | Population | 35 to 39 | population;Population | female | Population | 40 to 44 | population;Population | individuals | Population | 40 to 44 | population;Population | male | Population | 40 to 44 | population;Population | female | Population | 40 to 49  | population;Population | individuals | Population | 40 to 49  | population;Population | male | Population | 40 to 49  | population;Population | female | Population | 45 to 49 | population;Population | individuals | Population | 45 to 49 | population;Population | male | Population | 45 to 49 | population;Population | female | Population | 50 to 54 | population;Population | individuals | Population | 50 to 54 | population;Population | male | Population | 50 to 54 | population;Population | female | Population | 50 to 59 | population;Population | individuals | Population | 50 to 59 | population;Population | male | Population | 50 to 59 | population;Population | female | Population | 55 to 59 | population;Population | individuals | Population | 55 to 59 | population;Population | male | Population | 55 to 59 | population;Population | female | Population | 60 to 64 | population;Population | individuals | Population | 60 to 64 | population;Population | male | Population | 60 to 64 | population;Population | female | Population | 60 to 69 | population;Population | individuals | Population | 60 to 69 | population;Population | male | Population | 60 to 69 | population;Population | female | Population | 65 to 69 | population;Population | individuals | Population | 65 to 69 | population;Population | male | Population | 65 to 69 | population;Population | female | Population | 70 to 74 | population;Population | individuals | Population | 70 to 74 | population;Population | male | Population | 70 to 74 | population;Population | female | Population | 70 to 79 | population;Population | individuals | Population | 70 to 79 | population;Population | male | Population | 70 to 79 | population;Population | female | Population | 75 to 79 | population;Population | individuals | Population | 75 to 79 | population;Population | male | Population | 75 to 79 | population;Population | female | Population | 80 to 84 | population;Population | individuals | Population | 80 to 84 | population;Population | male | Population | 80 to 84 | population;Population | female | Population | 80 to 89 | population;Population | individuals | Population | 80 to 89 | population;Population | male | Population | 80 to 89 | population;Population | female | Population | 85 to 89 | population;Population | individuals | Population | 85 to 89 | population;Population | male | Population | 85 to 89 | population;Population | female | Population | 90 to 94 | population;Population | individuals | Population | 90 to 94 | population;Population | male | Population | 90 to 94 | population;Population | female | Population | 90 to 99 | population;Population | individuals | Population | 90 to 99 | population;Population | male | Population | 90 to 99 | population;Population | female | Population | 95 to 99 | population;Population | individuals | Population | 95 to 99 | population;Population | male | Population | 95 to 99 | population;Population | female | Population | Children | population;Population | individuals | Population | Children | population;Population | male | Population | Children | population;Population | female | Population | Adults | population;Population | individuals | Population | Adults | population;Population | male | Population | Adults | population;Population | female | Population | 20 to 39 | population;Population | individuals | Population | 20 to 39 | population;Population | male | Population | 20 to 39 | population;Population | female | Population | 40 to 59 | population;Population | individuals | Population | 40 to 59 | population;Population | male | Population | 40 to 59 | population;Population | female | Population | Over 60 | population;Population | individuals | Population | Over 60 | population;Population | male | Population | Over 60 | population;Population | female | Population | 20 to 64 | population;Population | individuals | Population | 20 to 64 | population;Population | male | Population | 20 to 64 | population;Population | female | Population | Over 65 | population;Population | individuals | Population | Over 65 | population;Population | male | Population | Over 65 | population;Population | female | Population | Over 80 | population;Population | individuals | Population | Over 80 | population;Population | male | Population | Over 80 | population;Population | female | Population | All Ages | population;Population | individuals | Population | All Ages | population;Population | male | Population | All Ages | population;Number of tax units - adults | tax unit | Population | Adults | population;Number of tax returns | tax unit | Population | All Ages | population;National income price index | individuals | Indices | All Ages | population;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Average & total income;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Average Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals over age 20.;Average Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals over age 20.;Average Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals over age 20.;Average Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Net foreign income. Net foreign income is the difference between the total value of a country's citizens and companies earned abroad, and the total value of foreign citizens and overseas companies earned in that country.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals over age 20.;Average Net foreign income. Net foreign income is the difference between the total value of a country's citizens and companies earned abroad, and the total value of foreign citizens and overseas companies earned in that country.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals over age 20.;Average National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Average Pre-tax national income . Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20.;Total Consumption of fixed capital of national economy. Consumption of fixed capital of national economy is the decline in total value of fixed assets (e.g. roads, machines) which are owned and used by a producer. In other words, the amounts required to maintain the quality of fixed assets from a year to another. The decline in  value is a result of physical deterioration, normal obsolescence or normal accidental damage.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Gross domestic product. Gross domestic product is the total value of goods and services produced by the national economy.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Net domestic product. Net domestic product is the total value of the goods and services produced in a country, minus the value of the fixed capital used up in production (e.g. replacement of obsolete machines or maintenance of roads).The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total Net foreign income. Net foreign income is the difference between the total value of a country's citizens and companies earned abroad, and the total value of foreign citizens and overseas companies earned in that country.The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Total National income. National income aims to measure the total income available to the residents of a given country. It is equal to the gross domestic product (the total value of goods and services produced on the territory of a given country during a given year), minus fixed capital used in production processes (e.g. replacement of obsolete machines or maintenance of roads) plus the net foreign income earned by residents in the rest of the world.// National income has many limitations, however it is the only income concept that has an internationally agreed definition (established by the United Nations System of National Accounts, see SNA 2008). We thus use it as our reference concept (after corrections to include income hidden in tax havens). // The national economy - in the national accounts sense - includes all domestic sectors, i.e. all entities that are resident of a given country (in the sense of their economic activity), whether they belong to the private sector, the corporate sector, the governement sector. The population is comprised of individuals of all ages.;Number of individuals in a group. The population is comprised of individuals of in the 0 to 4 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 0 to 4 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 0 to 4 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 5 to 9 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 5 to 9 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 5 to 9 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 10 to 14 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 10 to 14 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 10 to 14 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals over age 99. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals over age 99. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals over age 99. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 15 to 19 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 15 to 19 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 15 to 19 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 24 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 24 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 24 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 29 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 29 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 20 to 29 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 25 to 29 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 25 to 29 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 25 to 29 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 34 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 34 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 34 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 39 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 39 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 30 to 39 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 35 to 39 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 35 to 39 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 35 to 39 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 44 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 44 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 44 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 49  age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 49  age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 40 to 49  age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 45 to 49 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 45 to 49 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 45 to 49 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 54 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 54 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 54 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 59 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 59 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 50 to 59 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 55 to 59 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 55 to 59 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 55 to 59 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 64 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 64 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 64 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 69 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 69 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 60 to 69 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 65 to 69 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 65 to 69 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 65 to 69 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 74 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 74 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 74 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 79 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 79 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 70 to 79 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 75 to 79 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 75 to 79 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 75 to 79 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 84 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 84 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 84 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 89 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 89 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 80 to 89 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 85 to 89 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 85 to 89 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 85 to 89 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 94 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 94 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 94 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 99 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 99 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 90 to 99 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 95 to 99 age group. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of in the 95 to 99 age group. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of in the 95 to 99 age group. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals below age 20. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals below age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals below age 20. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals over age 20. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals over age 20. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 39. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 39. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 39. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 40 and 59. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 40 and 59. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals between ages 40 and 59. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals over age 60. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals over age 60. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals over age 60. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 65. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 65. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals between ages 20 and 65. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals over age 65. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals over age 65. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals over age 65. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals over age 80. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals over age 80. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals over age 80. The population looked at is comprised of male individuals only.;Number of individuals in a group. The population is comprised of individuals of all ages. The population looked at is comprised of female individuals only.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of individuals in a group. The population is comprised of individuals of all ages. The population looked at is comprised of male individuals only.;Number of adults as tax units. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Number of reports filed containing information used to calculate taxes. The population is comprised of individuals of all ages. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;PPP conversion factor of curent local currency to current PPP EUR.;Official exchange rate of the local currency to EUR.;PPP conversion factor of current local currency to current USD.;Official exchange rate of the local currency to USD.;PPP conversion factor of current local currency to current PPP CNY.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;;;[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[Net foreign income]=[Property income received from abroad]-[Property income paid abroad]+[Compensation of employees received from abroad]-[Compensation of employees paid to rest of the world];[Net foreign income]=[Property income received from abroad]-[Property income paid abroad]+[Compensation of employees received from abroad]-[Compensation of employees paid to rest of the world];[National income]=[Net domestic product]+[Net foreign income];[National income]=[Net domestic product]+[Net foreign income];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;;[Net domestic product]=[Gross domestic product]-[Consumption of fixed capital of national economy];[Net foreign income]=[Property income received from abroad]-[Property income paid abroad]+[Compensation of employees received from abroad]-[Compensation of employees paid to rest of the world];[National income]=[Net domestic product]+[Net foreign income];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
