Variable Name;.;.;.;Fiscal income  | individuals | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Average | Adults | constant 2015 local currency;Pre-tax national income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Beta coefficient | Adults | constant 2015 local currency;Pre-tax national income  | individuals | Threshold | Adults | constant 2015 local currency;Fiscal income  | individuals | Total | All Ages | constant 2015 local currency;Pre-tax national income  | individuals | Total | All Ages | constant 2015 local currency;Fiscal income  | individuals | Share | Adults | share of total (ratio);Pre-tax national income  | individuals | Share | Adults | share of total (ratio);Fiscal income  | individuals | Threshold | Adults | constant 2015 local currency
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Average Pre-tax national income within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;The beta coefficient corresponds to the inverted Pareto-Lorenz coefficient. It is equal to mean income over percentile <percentile>. A coefficient b=2=200% for an income level 100 000 EUR means that the average income above 100 000 EUR is 200 000 EUR, a coefficient of 3 or 300% at income level 1 000 000 EUR means that the average income level above 1 000 000 EUR in a given population is 3 000 000 EUR.;Pre-tax national income threshold value at a given percentile.  Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals of all ages.;Total Pre-tax national income  within a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ]
Variable Unit;.;.;.;"SCR; Seychellois rupee | local currency | market";"SCR; Seychellois rupee | local currency | market";"SCR; Seychellois rupee | local currency | market";"SCR; Seychellois rupee | local currency | market";;;"SCR; Seychellois rupee | local currency | market";"SCR; Seychellois rupee | local currency | market";"SCR; Seychellois rupee | local currency | market";share;share;"SCR; Seychellois rupee | local currency | market"
Methodological Notes;.;.;.;Excludes capital gains.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.;Fiscal income rescaled to match the macroeconomic aggregates.;Excludes capital gains.
Sources;.;.;.;Atkinson, Anthony B. (2015). Top incomes in colonial Seychelles. The World Wealth and Income Database WP 5/2015.;Atkinson, Anthony B. (2015). Top incomes in colonial Seychelles. The World Wealth and Income Database WP 5/2015.;WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). Top incomes in colonial Seychelles. The World Wealth and Income Database WP 5/2015.;WID.world computations using fiscal and net national income.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). Top incomes in colonial Seychelles. The World Wealth and Income Database WP 5/2015.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). Top incomes in colonial Seychelles. The World Wealth and Income Database WP 5/2015.;WID.world computations using fiscal and net national income.;Atkinson, Anthony B. (2015). Top incomes in colonial Seychelles. The World Wealth and Income Database WP 5/2015.
Variable Code;country;year;perc;afiinc992i;afiinc992t;aptinc992i;aptinc992t;bfiinc992i;bptinc992i;tptinc992i;mfiinc999i;mptinc999i;sfiinc992i;sptinc992i;tfiinc992i
;SC;1971;p0p100;3836.68774414;4925.21630859;108366.601562;139111.90625;;;;131302424.0;3708614912.0;;;
;SC;1971;p99p100;53894.6328125;;1522244.875;;1.2200802565;1.2200801373;1247659.75;;;0.1404716372;0.1404716372;44173.0234375
;SC;1971;p95p99;21124.75;;596665.0;;;;358700.28125;;;0.2202395648;0.2202395648;12699.6777344
;SC;1971;p99p99.5;33577.3476562;;948386.5;;;;1247659.75;;;0.0437582061;0.0437582061;44173.0234375
;SC;1971;p95p100;27678.71875;;781780.75;;2.1794819832;2.1794819832;358700.28125;;;0.3607112169;0.3607112169;12699.6777344
;SC;1971;p99.5p100;74211.84375;;;;1.2832444906;;1633438.75;;;0.0967134312;0.0967134312;57831.4179688
;SC;1971;p99.75p100;114846.492188;;3243820.0;;;;;;;0.0748343319;0.0748343319;
;SC;1970;p0p100;2865.49780273;3678.48486328;95357.8125;122412.320312;;;;95404728.0;3174870784.0;;;
;SC;1970;p99p100;50388.3828125;;1676820.625;;1.2059292793;1.2059292793;1390480.125;;;0.1758449525;0.1758449525;41783.8632812
;SC;1970;p95p99;18621.8886719;;619697.75;;;;374712.625;;;0.2599464357;0.2599464357;11260.0976562
;SC;1970;p99p99.5;33621.0;;1118837.0;;;;1390480.125;;;0.0586651452;0.0586651452;41783.8632812
;SC;1970;p95p100;24975.1796875;;831122.0625;;2.2180252075;2.2180252075;374712.625;;;0.4357913733;0.4357913733;11260.0976562
;SC;1970;p99.5p100;67155.703125;;;;1.2103691101;;1846380.75;;;0.117179811;0.117179811;55483.65625
;SC;1970;p99.75p100;100690.53125;;3350771.5;;;;;;;0.0878472403;0.0878472403;
;SC;1969;p0p100;2729.26635742;3503.60205078;88400.6640625;113481.320312;;;;88185208.0;2856310016.0;;;
;SC;1969;p99p100;62863.0703125;;2036128.625;;1.3585783243;1.3585783243;1498720.0;;;0.2303293496;0.2303293496;46271.2148438
;SC;1969;p99p99.5;32491.8554688;;1052408.0;;;;1498720.0;;;0.0595248379;0.0595248379;46271.2148438
;SC;1969;p99.5p100;93234.1953125;;;;1.4315930605;;2109430.5;;;0.1708045006;0.1708045006;65126.1835938
;SC;1969;p99.75p100;111797.585938;;3621112.75;;;;;;;0.1024061665;0.1024061665;
;SC;1968;p0p100;2180.71606445;2799.41943359;89645.5234375;115079.367188;;;;68606504.0;2820296448.0;;;
;SC;1968;p99p100;55852.9335938;;2296019.25;;1.5858519077;1.5858519077;1447814.375;;;0.2561217546;0.2561217546;35219.515625
;SC;1968;p99p99.5;44622.8007812;;1834367.5;;;;1447814.375;;;0.1023121774;0.1023121774;35219.515625
;SC;1968;p99.5p100;67083.0078125;;;;1.3284435272;;2075864.0;;;0.1538095921;0.1538095921;50497.4453125
;SC;1968;p99.75p100;99647.234375;;4096328.25;;;;;;;0.1142367274;0.1142367274;
;SC;1967;p0p100;1932.6340332;2480.95288086;83511.9765625;107205.640625;;;;59329416.0;2563711744.0;;;
;SC;1967;p99p100;42915.5039062;;1854442.375;;1.6091762781;1.6091761589;1152417.25;;;0.2220568508;0.2220568508;26669.2382812
;SC;1967;p99p99.5;14723.1025391;;636207.0;;;;1152417.25;;;0.0380907282;0.0380907282;26669.2382812
;SC;1967;p99.5p100;71107.8359375;;;;1.7520591021;;1753750.75;;;0.1839661151;0.1839661151;40585.296875
;SC;1967;p99.75p100;86291.3125;;3728775.25;;;;;;;0.1116238609;0.1116238609;
;SC;1966;p0p100;1748.92553711;2245.12304688;83884.0859375;107683.320312;;;;52514580.0;2518767872.0;;;
