Variable Name;.;.;.;Population | tax unit | Population | Adults | population;Population | individuals | Population | All Ages | population;Number of tax returns | tax unit | Population | Adults | population;National income price index | individuals | Indices | All Ages | population;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Number of individuals in a group. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of reports filed containing information used to calculate taxes. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;PPP conversion factor of curent local currency to current PPP EUR.;Official exchange rate of the local currency to EUR.;PPP conversion factor of current local currency to current USD.;Official exchange rate of the local currency to USD.;PPP conversion factor of current local currency to current PPP CNY.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;;;;;;;;
Variable Unit;.;.;.;population;population;population;;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency
Methodological Notes;.;.;.;;;;;;;;;;
Sources;.;.;.;WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);;WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015)
Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-CO;2016;p0p100;;;;1.0;1.3099900484;1.1065329313;1.0;1.0;0.299690634;0.1507654935
;US-CO;2015;p0p100;;;;0.9870161414;1.3047451973;;1.0;1.0;0.2940007746;
;US-CO;2014;p0p100;2667503.0;;2553250.0;0.9765984416;1.305574894;;1.0;1.0;0.2891286612;
;US-CO;2013;p0p100;2596768.5;;2502950.0;0.9593613744;1.2936111689;;1.0;1.0;0.285338074;
;US-CO;2012;p0p100;2600551.75;5187582.0;2450150.0;0.9441343546;1.2888070345;;1.0;1.0;0.2862385511;
;US-CO;2011;p0p100;2583608.0;;2420566.0;0.9270407557;1.28186059;;1.0;1.0;0.2852630615;
;US-CO;2010;p0p100;2545057.5;;2369949.0;0.9082964063;1.2697501183;;1.0;1.0;0.3020563126;
;US-CO;2009;p0p100;2491117.0;;2331974.0;0.897295475;1.262617588;;1.0;1.0;0.3190217614;
;US-CO;2008;p0p100;2445256.5;;2340854.0;0.890278697;1.2648955584;;1.0;1.0;0.3120010793;
;US-CO;2007;p0p100;2365468.25;;2455161.0;0.8734274507;1.2665445805;;1.0;1.0;0.3299844563;
;US-CO;2006;p0p100;2294945.25;;2228867.0;0.8507438302;1.2644462585;;1.0;1.0;0.345580399;
;US-CO;2005;p0p100;2269687.5;;2160153.0;0.8253771663;1.2506828308;;1.0;1.0;0.3466525674;
;US-CO;2004;p0p100;2295374.0;;2110355.0;0.7996518016;1.2349227667;;1.0;1.0;0.3501084149;
;US-CO;2003;p0p100;2198931.5;;2079044.0;0.7782691717;1.2250671387;;1.0;1.0;0.3633489013;
;US-CO;2002;p0p100;2157610.0;;2082241.0;0.7630601525;1.2275134325;;1.0;1.0;0.3685450256;
;US-CO;2001;p0p100;2111064.5;;2109160.0;0.7515296936;1.238769412;;1.0;1.0;0.3631632924;
;US-CO;2000;p0p100;2086418.75;;2096280.0;0.7347952127;1.2406071424;;1.0;1.0;0.3614366651;
;US-CO;1999;p0p100;1969280.5;;2029929.0;0.7184196711;1.2302194834;;1.0;1.0;0.3772855997;
;US-CO;1998;p0p100;1958311.375;;1973524.0;0.7082802653;1.2326472998;;1.0;1.0;0.3762110472;
;US-CO;1997;p0p100;1926173.375;;1898354.0;0.7006801367;1.232254982;;1.0;1.0;0.3748629391;
;US-CO;1996;p0p100;1838695.625;;1839481.0;0.688826859;1.2088310719;;1.0;1.0;0.3924251497;
;US-CO;1995;p0p100;1788428.875;;1783379.0;0.6764978766;1.2180724144;;1.0;1.0;0.4256479144;
;US-CO;1994;p0p100;1779157.25;;1737516.0;0.6626616716;;;1.0;1.0;0.4993232191;
;US-CO;1993;p0p100;1728454.5;;1688397.0;0.64887923;;;1.0;1.0;0.6194413304;
;US-CO;1992;p0p100;1640047.25;;1662525.0;0.6337777972;;;1.0;1.0;0.7676845193;
;US-CO;1991;p0p100;1588638.625;;1626650.0;0.6196454167;;;1.0;1.0;0.8222076297;
;US-CO;1990;p0p100;1555938.5;;1564022.0;0.5997613072;;;1.0;1.0;0.8252539039;
;US-CO;1989;p0p100;1514256.625;;1533471.0;0.5782889724;;;1.0;1.0;0.9015800357;
;US-CO;1988;p0p100;1544720.25;;1493390.0;0.5566461682;;;1.0;1.0;1.0285832882;
;US-CO;1987;p0p100;1498990.375;;1465631.0;0.5377940536;;;1.0;1.0;1.1488677263;
;US-CO;1986;p0p100;1496069.25;;1431107.0;0.524953723;;;1.0;1.0;1.1998178959;
;US-CO;1985;p0p100;1469744.5;;1411871.875;0.5145182014;;;1.0;1.0;1.2409015894;
;US-CO;1984;p0p100;1444537.125;;1381026.25;0.4985733032;;;1.0;1.0;1.2306629419;
;US-CO;1983;p0p100;1420150.75;;1337722.875;0.4814707339;;;1.0;1.0;1.1731731892;
;US-CO;1982;p0p100;1325873.875;;1309367.0;0.4632197618;;;1.0;1.0;1.1410177946;
;US-CO;1981;p0p100;1281016.875;;1342760.0;0.4366059899;;;1.0;1.0;1.0903964043;
;US-CO;1980;p0p100;1249700.75;;1296849.0;0.399116993;;;1.0;1.0;1.0109244585;
;US-CO;1979;p0p100;1181075.125;;1261473.0;0.3660068512;;;1.0;1.0;0.9860848188;
