Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency;Fiscal income  | tax unit | Total | Adults | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio)
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking]
Variable Unit;.;.;.;"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";share;share
Methodological Notes;.;.;.;;;;;Assuming the same distribution as fiscal income.
Sources;.;.;.;Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015)
Variable Code;country;year;perc;afiinc992t;tfiinc992t;mfiinc992t;sfiinc992t;sptinc992t
;US-LA;2014;p0p100;52268.4023438;;1.28126959616e+11;;
;US-LA;2014;p99p100;;330742.125;;0.1816845834;0.1816845834
;US-LA;2014;p99.9p100;;1448173.875;;0.0834261999;0.0834261999
;US-LA;2014;p99.99p100;;6821972.5;;0.0379353128;0.0379353128
;US-LA;2014;p90p100;;111193.992188;;0.4633894563;0.4633894563
;US-LA;2014;p90p91;245358.90625;;;;
;US-LA;2014;p95p96;357458.8125;;;;
;US-LA;2014;p90p95;133258.984375;111193.992188;;0.1244985983;0.1244985983
;US-LA;2014;p95p99;206762.90625;140885.328125;;0.1570600271;0.1570600271
;US-LA;2014;p99.5p99.9;783286.5625;520995.46875;;0.0597493276;0.0597493276
;US-LA;2014;p99.9p99.99;2603417.5;1448173.875;;0.0456435643;0.0456435643
;US-LA;2014;p99p99.5;407880.6875;330742.125;;0.0385557488;0.0385557488
;US-LA;2014;p95p100;;140885.328125;;0.3387088478;0.3387088478
;US-LA;2014;p0p90;30813.9003906;;;0.536557436;0.536557436
;US-LA;2014;p0p99;43096.9453125;;;0.8183153868;0.8183153868
;US-LA;2014;p99.5p100;;520995.46875;;0.1431264281;0.1431264281
;US-LA;2014;p99.5p99.6;1512604.375;;;;
;US-LA;2014;p99.99p99.991;20867996.0;;;;
;US-LA;2014;p99.9p99.91;4429875.5;;;;
;US-LA;2014;p99p99.1;960242.5;;;;
;US-LA;2013;p0p100;50745.0078125;;1.21455828992e+11;;
;US-LA;2013;p99p100;;339339.53125;;0.1743265539;0.1743265539
;US-LA;2013;p99.9p100;;1411293.375;;0.0732947811;0.0732947811
;US-LA;2013;p99.99p100;;5966460.0;;0.0305796266;0.0305796266
;US-LA;2013;p90p100;;112893.265625;;0.4633098841;0.4633098841
;US-LA;2013;p90p91;240129.671875;;;;
;US-LA;2013;p95p96;345015.96875;;;;
;US-LA;2013;p90p95;135243.390625;112893.265625;;0.1284083724;0.1284083724
;US-LA;2013;p95p99;206996.046875;142245.453125;;0.1602746993;0.1602746993
;US-LA;2013;p99.5p99.9;781850.4375;522150.1875;;0.0606084168;0.0606084168
;US-LA;2013;p99.9p99.99;2420867.5;1411293.375;;0.0428207703;0.0428207703
;US-LA;2013;p99p99.5;413807.8125;339339.53125;;0.0404381454;0.0404381454
;US-LA;2013;p95p100;;142245.453125;;0.3346375525;0.3346375525
;US-LA;2013;p0p90;29702.2675781;;;0.5368700027;0.5368700027
;US-LA;2013;p0p99;42196.0117188;;;0.825673461;0.825673461
