Variable Name;.;.;.;Fiscal income  | tax unit | Average | Adults | constant 2015 local currency;Fiscal income  | tax unit | Threshold | Adults | constant 2015 local currency;Fiscal income  | tax unit | Total | Adults | constant 2015 local currency;Fiscal income  | tax unit | Share | Adults | share of total (ratio);Pre-tax national income  | tax unit | Share | Adults | share of total (ratio)
Variable Category;.;.;.;Income inequality;Income inequality;Income inequality;Income inequality;Income inequality
Variable Description;.;.;.;Average Fiscal income within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Fiscal income threshold value at a given percentile.  Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Total Fiscal income  within a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20.;Fiscal income share held by a given percentile group. Fiscal income is defined as the sum of all income items reported on income tax returns, before any deduction. It includes labour income, capital income and mixed income. The concept of fiscal income varies with national tax legislations, so in order to make international comparisons it is preferable to use the concept of national income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Pre-tax national income share held by a given percentile group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.
Variable Decomposition;.;.;.;[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];[Fiscal income ]=[Fiscal labour income ]+[Fiscal capital income ];Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking]
Variable Unit;.;.;.;"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";"USD; United States dollar | local currency | market";share;share
Methodological Notes;.;.;.;;;;;Assuming the same distribution as fiscal income.
Sources;.;.;.;Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015)
Variable Code;country;year;perc;afiinc992t;tfiinc992t;mfiinc992t;sfiinc992t;sptinc992t
;US-NY;2014;p0p100;69204.953125;;7.56075462656e+11;;
;US-NY;2014;p99p100;;548793.875;;0.3236083388;0.3236083388
;US-NY;2014;p99.9p100;;3145199.5;;0.1842981577;0.1842981577
;US-NY;2014;p99.99p100;;17984934.0;;0.1017263904;0.1017263904
;US-NY;2014;p90p100;;137055.90625;;0.6003220677;0.6003220677
;US-NY;2014;p90p91;420860.3125;;;;
;US-NY;2014;p95p96;684215.4375;;;;
;US-NY;2014;p90p95;157505.1875;137055.90625;;0.1111385822;0.1111385822
;US-NY;2014;p95p99;289133.625;191036.703125;;0.1658798605;0.1658798605
;US-NY;2014;p99.5p99.9;1548298.0;929706.125;;0.0892008319;0.0892008319
;US-NY;2014;p99.9p99.99;6164390.5;3145199.5;;0.0816258788;0.0816258788
;US-NY;2014;p99p99.5;699025.625;548793.875;;0.0499058105;0.0499058105
;US-NY;2014;p95p100;;191036.703125;;0.4896608591;0.4896608591
;US-NY;2014;p0p90;30132.1386719;;;0.4005226493;0.4005226493
;US-NY;2014;p0p99;47029.828125;;;0.6763916612;0.6763916612
;US-NY;2014;p99.5p100;;929706.125;;0.2737171948;0.2737171948
;US-NY;2014;p99.5p99.6;3830059.75;;;;
;US-NY;2014;p99.99p99.991;74091552.0;;;;
;US-NY;2014;p99.9p99.91;12957107.0;;;;
;US-NY;2014;p99p99.1;2264542.75;;;;
;US-NY;2013;p0p100;67391.0859375;;7.22816663552e+11;;
;US-NY;2013;p99p100;;540121.5;;0.306419462;0.306419462
;US-NY;2013;p99.9p100;;2973911.75;;0.1695674807;0.1695674807
;US-NY;2013;p99.99p100;;16477321.0;;0.0927172899;0.0927172899
;US-NY;2013;p90p100;;138490.296875;;0.5873522162;0.5873522162
;US-NY;2013;p90p91;404279.8125;;;;
;US-NY;2013;p95p96;649115.1875;;;;
;US-NY;2013;p90p95;159444.46875;138490.296875;;0.1139928401;0.1139928401
;US-NY;2013;p95p99;287865.03125;190393.53125;;0.1678350568;0.1678350568
;US-NY;2013;p99.5p99.9;1481299.5;898675.625;;0.0864655226;0.0864655226
;US-NY;2013;p99.9p99.99;5746079.0;2973911.75;;0.076532498;0.076532498
;US-NY;2013;p99p99.5;683823.0;540121.5;;0.0503184311;0.0503184311
;US-NY;2013;p95p100;;190393.53125;;0.4740761518;0.4740761518
;US-NY;2013;p0p90;29959.0078125;;;0.4121383727;0.4121383727
;US-NY;2013;p0p99;46919.125;;;0.6935805678;0.6935805678
