Variable Name;.;.;.;Population | tax unit | Population | Adults | population;Population | individuals | Population | All Ages | population;Number of tax returns | tax unit | Population | Adults | population;National income price index | individuals | Indices | All Ages | population;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Number of individuals in a group. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of reports filed containing information used to calculate taxes. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;PPP conversion factor of curent local currency to current PPP EUR.;Official exchange rate of the local currency to EUR.;PPP conversion factor of current local currency to current USD.;Official exchange rate of the local currency to USD.;PPP conversion factor of current local currency to current PPP CNY.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;;;;;;;;
Variable Unit;.;.;.;population;population;population;;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency
Methodological Notes;.;.;.;;;;;;;;;;
Sources;.;.;.;WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);;WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015)
Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-NY;2016;p0p100;;;;1.0;1.3099900484;1.1065329313;1.0;1.0;0.299690634;0.1507654935
;US-NY;2015;p0p100;;;;0.9870161414;1.3047451973;;1.0;1.0;0.2940007746;
;US-NY;2014;p0p100;10938132.0;;9523840.0;0.9765984416;1.305574894;;1.0;1.0;0.2891286612;
;US-NY;2013;p0p100;10912629.0;;9442850.0;0.9593613744;1.2936111689;;1.0;1.0;0.285338074;
;US-NY;2012;p0p100;10515288.0;19570260.0;9363750.0;0.9441343546;1.2888070345;;1.0;1.0;0.2862385511;
;US-NY;2011;p0p100;10581779.0;;9387780.0;0.9270407557;1.28186059;;1.0;1.0;0.2852630615;
;US-NY;2010;p0p100;10555160.0;;9272053.0;0.9082964063;1.2697501183;;1.0;1.0;0.3020563126;
;US-NY;2009;p0p100;10256942.0;;9116699.0;0.897295475;1.262617588;;1.0;1.0;0.3190217614;
;US-NY;2008;p0p100;10096639.0;;9203531.0;0.890278697;1.2648955584;;1.0;1.0;0.3120010793;
;US-NY;2007;p0p100;10035515.0;;9919336.0;0.8734274507;1.2665445805;;1.0;1.0;0.3299844563;
;US-NY;2006;p0p100;9901110.0;;8964337.0;0.8507438302;1.2644462585;;1.0;1.0;0.345580399;
;US-NY;2005;p0p100;9879899.0;;8715913.0;0.8253771663;1.2506828308;;1.0;1.0;0.3466525674;
;US-NY;2004;p0p100;9863541.0;;8625432.0;0.7996518016;1.2349227667;;1.0;1.0;0.3501084149;
;US-NY;2003;p0p100;10081249.0;;8589932.0;0.7782691717;1.2250671387;;1.0;1.0;0.3633489013;
;US-NY;2002;p0p100;9665300.0;;8613811.0;0.7630601525;1.2275134325;;1.0;1.0;0.3685450256;
;US-NY;2001;p0p100;9612283.0;;8667488.0;0.7515296936;1.238769412;;1.0;1.0;0.3631632924;
;US-NY;2000;p0p100;9546534.0;;8577496.0;0.7347952127;1.2406071424;;1.0;1.0;0.3614366651;
;US-NY;1999;p0p100;9137809.0;;8417974.0;0.7184196711;1.2302194834;;1.0;1.0;0.3772855997;
;US-NY;1998;p0p100;9073000.0;;8268276.5;0.7082802653;1.2326472998;;1.0;1.0;0.3762110472;
;US-NY;1997;p0p100;9103536.0;;8113041.0;0.7006801367;1.232254982;;1.0;1.0;0.3748629391;
;US-NY;1996;p0p100;9059317.0;;8030653.0;0.688826859;1.2088310719;;1.0;1.0;0.3924251497;
;US-NY;1995;p0p100;9083976.0;;7921207.0;0.6764978766;1.2180724144;;1.0;1.0;0.4256479144;
;US-NY;1994;p0p100;9118723.0;;7851157.0;0.6626616716;;;1.0;1.0;0.4993232191;
;US-NY;1993;p0p100;9082093.0;;7844199.0;0.64887923;;;1.0;1.0;0.6194413304;
;US-NY;1992;p0p100;9083804.0;;7950229.0;0.6337777972;;;1.0;1.0;0.7676845193;
;US-NY;1991;p0p100;9088134.0;;8118741.0;0.6196454167;;;1.0;1.0;0.8222076297;
;US-NY;1990;p0p100;9074847.0;;8211711.0;0.5997613072;;;1.0;1.0;0.8252539039;
;US-NY;1989;p0p100;8846049.0;;8179689.0;0.5782889724;;;1.0;1.0;0.9015800357;
;US-NY;1988;p0p100;8834615.0;;8065968.0;0.5566461682;;;1.0;1.0;1.0285832882;
;US-NY;1987;p0p100;8780594.0;;7914981.0;0.5377940536;;;1.0;1.0;1.1488677263;
;US-NY;1986;p0p100;8727045.0;;7659120.0;0.524953723;;;1.0;1.0;1.1998178959;
;US-NY;1985;p0p100;8573484.0;;7556176.0;0.5145182014;;;1.0;1.0;1.2409015894;
;US-NY;1984;p0p100;8426441.0;;7391094.0;0.4985733032;;;1.0;1.0;1.2306629419;
;US-NY;1983;p0p100;8284188.5;;7159339.0;0.4814707339;;;1.0;1.0;1.1731731892;
;US-NY;1982;p0p100;8257231.5;;7258993.0;0.4632197618;;;1.0;1.0;1.1410177946;
;US-NY;1981;p0p100;8291495.0;;7198063.0;0.4366059899;;;1.0;1.0;1.0903964043;
;US-NY;1980;p0p100;8229999.0;;7157005.0;0.399116993;;;1.0;1.0;1.0109244585;
;US-NY;1979;p0p100;8223369.0;;7147126.0;0.3660068512;;;1.0;1.0;0.9860848188;
