Variable Name;.;.;.;Population | tax unit | Population | Adults | population;Population | individuals | Population | All Ages | population;Number of tax returns | tax unit | Population | Adults | population;National income price index | individuals | Indices | All Ages | population;PPP conversion factor, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per EUR | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per USD | individuals | Exchange rates | All Ages | local currency per foreign currency;PPP conversion factor, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency;Market exchange rate, LCU per CNY | individuals | Exchange rates | All Ages | local currency per foreign currency
Variable Category;.;.;.;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro;Other macro
Variable Description;.;.;.;Number of individuals in a group. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Number of individuals in a group. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household). This is equivalent to assuming no sharing of resources within couples.;Number of reports filed containing information used to calculate taxes. The population is comprised of individuals over age 20. The base unit is the tax unit defined by national fiscal administrations to measure personal income taxes.;Current national income adjusted by CPI, divided by national income of the base year adjusted by CPI. It measures the changes in the purchasing power of national income.;PPP conversion factor of curent local currency to current PPP EUR.;Official exchange rate of the local currency to EUR.;PPP conversion factor of current local currency to current USD.;Official exchange rate of the local currency to USD.;PPP conversion factor of current local currency to current PPP CNY.;Official exchange rate of the local currency to CNY.
Variable Decomposition;.;.;.;;;;;;;;;;
Variable Unit;.;.;.;population;population;population;;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency;local currency per foreign currency
Methodological Notes;.;.;.;;;;;;;;;;
Sources;.;.;.;WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);Frank, Sommeiller, Price & Saez (2015);;WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015);WID.world computations using: Frank, Sommeiller, Price & Saez (2015)
Variable Code;country;year;perc;npopul992t;npopul999i;ntaxre992t;inyixx999i;xlceup999i;xlceux999i;xlcusp999i;xlcusx999i;xlcyup999i;xlcyux999i
;US-OR;2016;p0p100;;;;1.0;1.3099900484;1.1065329313;1.0;1.0;0.299690634;0.1507654935
;US-OR;2015;p0p100;;;;0.9870161414;1.3047451973;;1.0;1.0;0.2940007746;
;US-OR;2014;p0p100;2083611.375;;1826550.0;0.9765984416;1.305574894;;1.0;1.0;0.2891286612;
;US-OR;2013;p0p100;2069108.0;;1793890.0;0.9593613744;1.2936111689;;1.0;1.0;0.285338074;
;US-OR;2012;p0p100;2035892.875;3899353.0;1768810.0;0.9441343546;1.2888070345;;1.0;1.0;0.2862385511;
;US-OR;2011;p0p100;2034591.75;;1758128.0;0.9270407557;1.28186059;;1.0;1.0;0.2852630615;
;US-OR;2010;p0p100;2045133.875;;1743270.0;0.9082964063;1.2697501183;;1.0;1.0;0.3020563126;
;US-OR;2009;p0p100;1986849.25;;1732774.0;0.897295475;1.262617588;;1.0;1.0;0.3190217614;
;US-OR;2008;p0p100;1969910.75;;1753860.0;0.890278697;1.2648955584;;1.0;1.0;0.3120010793;
;US-OR;2007;p0p100;1941958.75;;1911229.0;0.8734274507;1.2665445805;;1.0;1.0;0.3299844563;
;US-OR;2006;p0p100;1881404.125;;1695185.0;0.8507438302;1.2644462585;;1.0;1.0;0.345580399;
;US-OR;2005;p0p100;1823233.625;;1645481.0;0.8253771663;1.2506828308;;1.0;1.0;0.3466525674;
;US-OR;2004;p0p100;1844615.75;;1604383.0;0.7996518016;1.2349227667;;1.0;1.0;0.3501084149;
;US-OR;2003;p0p100;1761052.125;;1571871.0;0.7782691717;1.2250671387;;1.0;1.0;0.3633489013;
;US-OR;2002;p0p100;1735552.875;;1572789.0;0.7630601525;1.2275134325;;1.0;1.0;0.3685450256;
;US-OR;2001;p0p100;1700923.5;;1571716.0;0.7515296936;1.238769412;;1.0;1.0;0.3631632924;
;US-OR;2000;p0p100;1681697.75;;1562323.0;0.7347952127;1.2406071424;;1.0;1.0;0.3614366651;
;US-OR;1999;p0p100;1635877.625;;1533824.0;0.7184196711;1.2302194834;;1.0;1.0;0.3772855997;
;US-OR;1998;p0p100;1619348.625;;1522027.0;0.7082802653;1.2326472998;;1.0;1.0;0.3762110472;
;US-OR;1997;p0p100;1623076.25;;1501235.0;0.7006801367;1.232254982;;1.0;1.0;0.3748629391;
;US-OR;1996;p0p100;1556766.5;;1471788.0;0.688826859;1.2088310719;;1.0;1.0;0.3924251497;
;US-OR;1995;p0p100;1518252.5;;1427465.0;0.6764978766;1.2180724144;;1.0;1.0;0.4256479144;
;US-OR;1994;p0p100;1477564.75;;1391549.0;0.6626616716;;;1.0;1.0;0.4993232191;
;US-OR;1993;p0p100;1484585.0;;1357284.0;0.64887923;;;1.0;1.0;0.6194413304;
;US-OR;1992;p0p100;1436582.0;;1348134.0;0.6337777972;;;1.0;1.0;0.7676845193;
;US-OR;1991;p0p100;1399964.375;;1338580.0;0.6196454167;;;1.0;1.0;0.8222076297;
;US-OR;1990;p0p100;1362860.875;;1305875.0;0.5997613072;;;1.0;1.0;0.8252539039;
;US-OR;1989;p0p100;1312245.75;;1271165.0;0.5782889724;;;1.0;1.0;0.9015800357;
;US-OR;1988;p0p100;1278164.375;;1244597.0;0.5566461682;;;1.0;1.0;1.0285832882;
;US-OR;1987;p0p100;1218587.5;;1198779.0;0.5377940536;;;1.0;1.0;1.1488677263;
;US-OR;1986;p0p100;1238280.625;;1139392.0;0.524953723;;;1.0;1.0;1.1998178959;
;US-OR;1985;p0p100;1216491.875;;1124077.75;0.5145182014;;;1.0;1.0;1.2409015894;
;US-OR;1984;p0p100;1195628.0;;1099519.625;0.4985733032;;;1.0;1.0;1.2306629419;
;US-OR;1983;p0p100;1175443.625;;1065043.25;0.4814707339;;;1.0;1.0;1.1731731892;
;US-OR;1982;p0p100;1201277.0;;1024066.0625;0.4632197618;;;1.0;1.0;1.1410177946;
;US-OR;1981;p0p100;1200061.25;;1092321.0;0.4366059899;;;1.0;1.0;1.0903964043;
;US-OR;1980;p0p100;1161891.625;;1128676.0;0.399116993;;;1.0;1.0;1.0109244585;
;US-OR;1979;p0p100;1109905.5;;1100919.0;0.3660068512;;;1.0;1.0;0.9860848188;
